asn,nb_hostnames
395747,3324
215859,925
21664,719
213120,643
394507,302
394192,244
16276,216
207604,187
62567,169
204915,120
8075,93
26496,92
60781,75
141995,73
8585,72
39572,71
8400,62
61065,59
51278,55
48164,54
51859,53
14907,52
41528,51
35779,50
2635,43
46606,41
15982,41
57724,40
12417,39
12322,39
22612,38
61976,36
31936,34
51430,33
59467,32
204800,31
211612,29
5545,29
13092,28
55293,28
13238,27
49714,27
40824,27
47881,25
19551,24
60114,24
49981,24
12178,24
200325,23
207970,22
31080,22
58061,21
59692,21
214455,20
203506,17
8560,17
56682,17
133795,16
63293,15
52130,15
42186,15
200698,15
43037,14
201777,14
208898,13
200608,13
210656,13
29182,13
51577,12
201706,12
31012,12
14853,12
8535,11
48254,11
213306,11
64407,11
198610,10
57788,10
44696,10
34931,10
12644,10
44310,10
49352,10
49665,10
7979,9
20546,9
43128,9
34788,9
24600,9
64437,8
39392,8
56341,8
200514,8
210756,8
198785,8
27589,8
9123,8
29066,8
205696,8
202242,8
9009,8
212531,7
203744,7
25532,7
204601,7
8288,7
26666,7
60009,7
48040,7
42656,7
43298,6
26347,6
44880,6
197248,6
207728,6
42371,6
200440,6
6794,6
44907,6
14441,6
30818,6
30148,6
197540,6
33837,6
34594,6
197664,6
213232,6
17668,6
8705,5
25393,5
200019,5
41336,5
50482,5
29085,5
41722,5
3457,5
36420,5
51025,5
47948,5
202632,5
32338,5
214744,5
5403,5
8839,5
62243,5
6496,5
202115,5
204039,5
205312,5
10753,5
199524,5
214308,4
6698,4
24971,4
57352,4
9121,4
196818,4
60330,4
46844,4
215300,4
9146,4
57595,4
2108,4
202053,4
8708,4
20523,4
48894,4
15958,4
63410,4
25431,4
202425,4
8231,4
6939,4
206542,4
48314,4
203463,4
215322,4
35648,4
17025,4
42240,4
48729,3
2107,3
213980,3
210250,3
60592,3
215740,3
205865,3
59886,3
59939,3
398256,3
201200,3
53667,3
202521,3
12530,3
206264,3
47577,3
27647,3
35425,3
34222,3
52030,3
216154,3
15512,3
51013,3
44901,3
201563,3
400754,3
206575,3
200386,3
205275,3
34772,3
393299,3
32494,3
3844,3
201106,3
14117,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
48571,3
263945,3
8529,3
64126,3
328832,3
8195,3
6057,3
62768,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
28320,3
18377,3
37662,3
262427,3
37251,3
15605,3
19422,3
56696,3
327788,3
1916,3
132602,3
9730,3
139341,3
48287,3
8856,3
57344,3
16145,3
6656,3
51468,3
205762,3
42926,3
199218,3
34619,3
42849,3
204548,3
23421,2
38952,2
202492,2
44143,2
21245,2
51954,2
44112,2
59737,2
43752,2
31424,2
29222,2
201512,2
211922,2
15685,2
205313,2
6697,2
54994,2
39134,2
10480,2
198547,2
19969,2
214685,2
33157,2
59601,2
21051,2
8901,2
197019,2
197642,2
60602,2
49126,2
142592,2
34282,2
201012,2
24961,2
202090,2
213737,2
43608,2
44477,2
6185,2
34131,2
42910,2
203444,2
196752,2
19905,2
49604,2
207517,2
206892,2
401200,2
200928,2
29208,2
24676,2
57775,2
207809,2
42681,2
51852,2
61306,2
12400,2
212490,2
3320,2
58212,2
1897,2
37963,2
207255,2
24611,2
7859,2
47524,2
20522,2
12525,2
39896,2
56898,2
44386,2
20634,2
57152,2
201744,2
35796,2
12640,2
42567,2
25117,2
22653,2
28682,2
62160,2
34362,2
41000,2
60117,2
61098,2
58046,2
203417,2
42432,2
5761,2
39387,2
16178,2
59524,2
200449,2
200356,2
7941,2
60922,2
12678,2
34275,2
34342,2
211642,2
771,2
12578,2
47111,2
7489,1
51644,1
48282,1
42603,1
206972,1
205125,1
35646,1
24482,1
6882,1
6661,1
41075,1
210579,1
206667,1
40975,1
137409,1
198203,1
201085,1
206170,1
42571,1
47381,1
29001,1
201959,1
49172,1
34147,1
35416,1
209150,1
50537,1
