asn,nb_hostnames
395747,336
213120,186
21664,119
394507,55
16276,49
394192,48
8075,20
24600,20
39572,14
8839,13
62567,12
45666,11
12322,11
19551,10
14853,10
63293,8
214455,7
25117,6
2057,6
213232,6
8228,5
31936,5
14907,5
60855,5
57633,5
209349,5
48703,4
48744,4
48140,4
8304,3
204915,3
211612,3
53824,3
215859,3
133795,3
216353,3
205461,3
33392,2
9159,2
2635,2
12565,2
14489,2
60781,2
60362,2
50446,2
6656,2
208128,2
34993,2
54994,2
53589,2
33837,2
1301,2
21000,2
29222,2
51888,2
201085,2
36511,1
48613,1
24611,1
6185,1
7941,1
21351,1
41690,1
26496,1
33664,1
6738,1
44907,1
8560,1
58061,1
60248,1
44880,1
15685,1
50980,1
53303,1
197883,1
62119,1
29169,1
51468,1
42585,1
60550,1
11281,1
50624,1
64437,1
212815,1
28753,1
393874,1
30109,1
44527,1
15699,1
39444,1
61098,1
56798,1
205585,1
50474,1
34655,1
39241,1
40824,1
6496,1
7203,1
36459,1
200325,1
52034,1
33157,1
27781,1
41191,1
23470,1
9009,1
5410,1
44407,1
46475,1
41653,1
48252,1
208353,1
12178,1
