asn,nb_hostnames
395747,3859
21664,1087
213120,769
16276,571
394192,460
394507,392
215859,140
8075,134
62567,111
37054,100
204915,90
50474,86
47846,86
12322,85
39572,63
8560,52
19551,51
37963,50
2057,50
52148,41
29222,41
141995,40
53589,34
31936,33
38369,33
214455,32
210403,31
215322,30
63293,30
14907,28
24600,27
57633,24
40824,23
211612,21
2635,20
37037,20
7979,19
5545,18
3457,18
22612,17
8839,16
60781,16
14853,16
49981,15
30148,15
46606,14
29169,14
26496,14
8228,13
25117,12
200325,12
55293,12
139341,11
328411,11
133795,10
54994,10
36420,10
58061,10
6656,9
12178,9
59692,9
200019,9
37608,9
6496,9
37153,8
44907,8
58521,8
53824,8
55470,8
200356,7
26666,7
23352,7
52167,7
6698,7
60362,6
8304,6
10753,6
28753,6
13238,6
49714,6
210770,6
34993,6
33837,6
45090,6
62979,6
199758,5
48809,5
202425,5
33157,5
150078,5
4200000021,5
13442,5
202492,5
138341,5
6939,5
329072,5
45666,5
6738,5
205072,5
60855,5
12678,5
48040,5
6185,5
61976,5
199218,5
22720,5
44477,4
63410,4
34788,4
39241,4
50583,4
60144,4
8069,4
200449,4
42567,4
26347,4
35425,4
39444,4
397849,4
397273,4
64437,4
29264,4
9009,4
13193,4
57724,4
207970,4
12565,4
2611,4
51888,4
376,4
48729,4
48744,4
199524,4
49287,4
7203,4
1842,4
204800,4
696,3
46864,3
19648,3
30961,3
62243,3
31080,3
139144,3
42848,3
212531,3
35280,3
56898,3
62068,3
199636,3
11807,3
50446,3
27589,3
12640,3
206264,3
53303,3
205461,3
216353,3
10480,3
46475,3
29066,3
3920,3
39072,3
139057,3
216154,3
197540,3
43311,3
23889,3
202053,3
328832,3
198610,3
48703,3
30058,3
214124,3
208128,3
399358,3
7941,3
14441,3
39162,3
30999,3
47836,3
202242,3
3296,3
201188,3
197664,3
8195,3
131138,3
213394,2
26042,2
198993,2
21409,2
6724,2
33191,2
15489,2
4258,2
34655,2
33930,2
34920,2
55688,2
197696,2
15817,2
63199,2
50624,2
23393,2
63993,2
36850,2
15456,2
7396,2
34222,2
44160,2
210274,2
200217,2
23421,2
215845,2
137409,2
213438,2
24898,2
13830,2
51468,2
47447,2
49352,2
59253,2
24961,2
31586,2
57809,2
199777,2
44880,2
29182,2
133618,2
41653,2
20546,2
14489,2
53667,2
31458,2
14472,2
34119,2
205435,2
24482,2
14537,2
148000,2
209003,2
9123,2
7859,2
20068,2
27647,2
30983,2
32338,2
48140,2
51894,2
34235,2
26277,2
60550,2
208488,2
43641,2
55272,2
36786,2
24611,2
14315,2
398256,2
151373,2
5761,2
211187,2
61098,2
36459,2
2665,2
51433,2
207728,2
12617,2
36925,2
36884,2
23576,2
42240,2
9764,2
213232,2
201896,2
51091,2
17025,2
395458,2
204450,2
17668,2
209349,2
771,2
22953,1
3768,1
60922,1
208353,1
201936,1
59796,1
48813,1
8312,1
56341,1
8856,1
203639,1
201012,1
39896,1
49677,1
53332,1
8535,1
35744,1
42400,1
51905,1
328699,1
327712,1
44527,1
35344,1
56798,1
328174,1
29608,1
202368,1
203412,1
58212,1
42422,1
62744,1
39292,1
54467,1
14340,1
15966,1
16128,1
54455,1
61317,1
399265,1
42800,1
19181,1
27264,1
4150,1
30600,1
210032,1
8705,1
61136,1
393845,1
393689,1
57344,1
61251,1
55106,1
35258,1
62904,1
43896,1
13041,1
198032,1
39104,1
30361,1
32,1
1835,1
9505,1
133409,1
20616,1
36666,1
137718,1
4835,1
23299,1
60592,1
211392,1
20523,1
14576,1
197562,1
36066,1
51430,1
41231,1
44932,1
42389,1
17363,1
211864,1
131965,1
52030,1
213535,1
15480,1
215300,1
327956,1
50618,1
394230,1
205762,1
2571,1
212490,1
43424,1
133752,1
39560,1
151734,1
48083,1
22169,1
400275,1
38185,1
25697,1
20580,1
12824,1
140688,1
138650,1
25593,1
680,1
198203,1
207100,1
14466,1
44066,1
34749,1
56682,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
8919,1
396390,1
328137,1
61568,1
45517,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
28320,1
64475,1
6762,1
207841,1
270014,1
136620,1
18881,1
5381,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
36678,1
35598,1
1916,1
264409,1
52025,1
50628,1
205920,1
6057,1
263945,1
15802,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
41191,1
205193,1
52130,1
41003,1
21217,1
42258,1
207569,1
150436,1
34432,1
13571,1
43142,1
34309,1
214677,1
49835,1
214744,1
216071,1
63447,1
31178,1
9159,1
9605,1
8346,1
21351,1
63760,1
30312,1
18905,1
15826,1
62856,1
17841,1
212792,1
37002,1
19969,1
43532,1
394277,1
400513,1
29091,1
46440,1
210250,1
207208,1
32097,1
12993,1
22560,1
207697,1
61210,1
2514,1
22653,1
202669,1
139884,1
200532,1
8921,1
33182,1
48594,1
200713,1
35206,1
37611,1
197816,1
50980,1
46130,1
36894,1
20641,1
51852,1
62563,1
199867,1
400940,1
202321,1
7616,1
1152,1
5408,1
42745,1
208561,1
200651,1
28977,1
397423,1
397666,1
152880,1
31708,1
203976,1
37492,1
211522,1
210644,1
208276,1
3208,1
200107,1
205149,1
5410,1
47293,1
44128,1
31577,1
15318,1
48130,1
47300,1
132779,1
1776,1
209922,1
9752,1
58791,1
59467,1
51806,1
29104,1
399250,1
208789,1
56872,1
56851,1
42845,1
46844,1
20900,1
211922,1
400754,1
36818,1
611,1
8262,1
52034,1
54641,1
14824,1
200195,1
41690,1
8884,1
39134,1
25540,1
142592,1
215740,1
205215,1
29110,1
204846,1
61144,1
3320,1
9370,1
15685,1
40244,1
214390,1
395906,1
207143,1
204657,1
200487,1
214308,1
62016,1
12091,1
63362,1
32780,1
24971,1
3387,1
36057,1
401348,1
42656,1
58487,1
23816,1
24572,1
198792,1
59774,1
39029,1
201085,1
200508,1
206192,1
216194,1
14956,1
198983,1
212815,1
51269,1
49073,1
199167,1
36352,1
9583,1
39506,1
198913,1
203417,1
44386,1
15703,1
19853,1
53724,1
393874,1
2516,1
200514,1
140290,1
11281,1
9074,1
53850,1
40021,1
