asn,nb_hostnames
395747,3553
215859,900
21664,769
213120,667
394507,295
394192,266
16276,215
6821,165
62567,162
47748,111
8075,104
204915,104
34772,100
204800,99
39572,90
26496,89
141995,81
203522,47
14907,43
43612,43
207604,42
2635,39
31936,39
55293,36
40824,35
25467,33
5545,33
211612,32
196752,32
22612,31
61057,31
60781,28
19551,28
46606,28
201200,28
8830,27
51859,27
24961,27
133795,26
214455,25
44021,25
200325,24
8400,24
12322,24
57344,22
34547,22
14853,20
61098,19
63293,19
202602,18
59692,17
49981,16
8560,16
8739,16
147168,16
26347,14
48164,14
49056,13
60114,12
12417,12
47212,12
35779,12
51577,11
27589,11
10480,11
64437,11
31161,11
7979,11
34754,11
30148,10
20546,10
14441,10
52130,10
29066,10
58061,9
204031,9
57724,9
56452,9
34788,9
26666,9
213306,9
37963,9
31012,9
204601,8
48314,8
6496,8
39896,8
41528,8
30961,8
208730,8
31083,8
12178,8
33837,7
53589,7
9121,7
152356,7
34619,7
51278,7
200412,6
200514,6
44880,6
63410,6
200019,6
61065,6
215740,6
3457,6
7203,6
54641,6
56898,5
31080,5
62068,5
202425,5
13238,5
49714,5
29085,5
35425,5
206769,5
42216,5
215300,5
398256,5
43037,5
205762,5
58046,5
6698,5
47948,5
207970,5
12644,5
200449,4
213232,4
8672,4
2107,4
56650,4
3320,4
16557,4
61976,4
8231,4
40699,4
44907,4
34222,4
30818,4
197216,4
9009,4
21245,4
215968,4
44566,4
6794,4
49815,4
198159,4
34342,4
42567,4
62243,4
52148,4
32338,4
8262,4
36420,4
8708,4
51025,4
57116,4
48254,4
34594,4
36080,4
38369,4
199218,4
31586,4
24600,4
197664,4
206575,3
35816,3
39566,3
328832,3
56682,3
6724,3
20634,3
51852,3
57717,3
209972,3
200000,3
197540,3
15958,3
29097,3
48894,3
43227,3
34931,3
47846,3
30083,3
34920,3
212792,3
6764,3
15685,3
215322,3
10753,3
6939,3
50195,3
57352,3
8280,3
42681,3
7859,3
28753,3
53667,3
8705,3
64407,3
42848,3
142594,3
202242,3
206264,3
34735,3
25499,3
5403,3
53824,3
47447,3
34309,3
42585,3
7941,3
17668,3
17025,3
395458,3
6185,3
33664,3
199524,2
399629,2
2108,2
202492,2
14555,2
64999,2
32632,2
59905,2
6799,2
14824,2
197686,2
202968,2
2057,2
209922,2
45090,2
3387,2
20523,2
213737,2
201744,2
57554,2
207728,2
205193,2
59886,2
215845,2
63993,2
202053,2
19969,2
19905,2
59467,2
14576,2
200386,2
14992,2
64427,2
12306,2
57088,2
29141,2
30455,2
3920,2
198785,2
197706,2
43427,2
49604,2
203274,2
63068,2
24971,2
5576,2
30722,2
3844,2
28398,2
18881,2
12956,2
263945,2
8195,2
6057,2
62768,2
132337,2
19653,2
6762,2
328137,2
41722,2
28320,2
37662,2
15605,2
19422,2
56696,2
1916,2
50482,2
59524,2
198610,2
200195,2
60526,2
200928,2
56341,2
39392,2
31424,2
25472,2
47302,2
35744,2
8535,2
23421,2
206311,2
14340,2
32780,2
29222,2
207809,2
209150,2
42910,2
201706,2
48040,2
60009,2
44009,2
36459,2
48256,2
23576,2
34699,2
40994,2
15456,2
44901,2
12824,2
13830,2
213206,2
39387,2
24994,2
24676,2
29015,2
211922,2
47524,2
8692,2
31457,2
12678,2
21409,2
12640,2
5761,2
200651,2
15699,2
210079,2
12874,2
211611,2
401200,2
42846,2
24482,2
15512,2
60117,2
8069,2
137409,2
27647,2
20616,2
5381,2
35648,2
771,2
42656,2
60232,2
204450,2
48282,1
207208,1
50198,1
43351,1
214390,1
41690,1
42371,1
202816,1
47917,1
41653,1
197942,1
989,1
60230,1
44696,1
22720,1
44777,1
42165,1
199973,1
44239,1
206871,1
24898,1
58212,1
42948,1
44224,1
47242,1
21581,1
139341,1
60368,1
12578,1
43896,1
139057,1
8473,1
3330,1
203444,1
50872,1
36057,1
54994,1
212422,1
210728,1
33191,1
393689,1
44925,1
214308,1
33157,1
205373,1
31577,1
208488,1
49352,1
5421,1
213205,1
200719,1
197720,1
27223,1
42312,1
29182,1
49172,1
39505,1
47577,1
49127,1
63905,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
198362,1
8685,1
8585,1
60592,1
9070,1
6428,1
133050,1
205865,1
203744,1
44377,1
23352,1
47616,1
51468,1
207139,1
16793,1
42603,1
213995,1
42004,1
216154,1
57152,1
39798,1
41233,1
44160,1
34798,1
11281,1
43641,1
47881,1
57134,1
203065,1
206648,1
49968,1
210250,1
3361,1
24868,1
395412,1
393874,1
9001,1
