asn,nb_hostnames
395747,3361
394507,1175
21664,1025
213120,659
35540,537
394192,335
62567,152
8075,120
204915,118
215859,104
210403,92
12322,88
50474,84
39572,79
36420,59
30985,46
19551,42
200356,41
53589,41
29222,40
4200000021,40
31936,38
8560,37
214455,36
24600,32
47846,30
63293,29
38369,29
60781,29
37963,29
14907,27
2057,27
22612,26
26496,25
15317,24
2635,23
44976,22
7979,21
14853,21
49981,20
141995,19
133795,18
54641,18
49287,17
40824,17
46606,16
6496,15
8839,14
54994,14
202492,14
57633,13
328284,13
30148,13
14441,13
29169,12
60068,11
26666,11
25117,11
40021,11
21271,11
62068,11
207208,10
12178,10
58061,10
8228,10
59692,9
60362,9
55293,9
52148,9
34993,9
44907,8
210770,8
10753,8
139341,8
201896,8
200325,7
23352,7
6713,7
6185,7
216014,7
200019,7
53824,7
139144,6
3457,6
37153,6
6656,6
328832,6
44534,6
49714,6
10480,6
200107,6
36864,6
17025,6
14466,6
395458,6
17668,6
28753,5
6427,5
60855,5
50446,5
41653,5
30961,5
29608,5
5761,5
49610,5
202053,5
9009,5
24898,5
2665,5
150078,5
29066,4
53755,4
27589,4
13442,4
35744,4
49612,4
9123,4
33387,4
8346,4
151373,4
8069,4
45090,4
8304,4
34119,4
3920,4
139057,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
19653,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
8195,4
6057,4
263945,4
64999,4
32632,4
327712,4
397273,4
34863,4
49352,4
48744,4
60144,4
2611,4
39241,4
216154,4
199524,4
199218,4
47422,4
22720,4
376,3
12640,3
51888,3
32338,3
140688,3
26347,3
17561,3
31586,3
213394,3
200449,3
35425,3
21409,3
58521,3
215300,3
50980,3
35280,3
137409,3
24482,3
14537,3
43311,3
214124,3
7941,3
133618,3
28683,3
65001,3
202425,3
44009,3
696,3
11807,3
199777,3
207970,3
205435,3
61098,3
45666,3
56898,3
3387,3
199729,3
36352,3
209349,3
6698,3
204800,3
397849,2
57352,2
198610,2
8399,2
24961,2
216353,2
24611,2
33191,2
48703,2
138341,2
42846,2
7859,2
48813,2
206264,2
28977,2
65002,2
31178,2
6738,2
202321,2
30983,2
12565,2
50624,2
39072,2
212815,2
61976,2
47836,2
14415,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
205920,2
15802,2
15817,2
399358,2
212490,2
205762,2
36666,2
21449,2
42567,2
42848,2
19983,2
14315,2
33157,2
199758,2
201706,2
29571,2
63410,2
57809,2
20264,2
59467,2
205461,2
36884,2
401200,2
51430,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
1764,2
15456,2
36786,2
26277,2
36459,2
48254,2
206484,2
50989,2
36891,2
13193,2
37649,2
39444,2
64437,2
62243,2
48809,2
328252,2
56341,2
1152,2
213232,2
42240,2
42400,1
15138,1
33828,1
15480,1
8921,1
209853,1
199867,1
199167,1
32903,1
29104,1
24971,1
208353,1
152880,1
31727,1
38631,1
44386,1
13101,1
266444,1
54290,1
400797,1
51970,1
208520,1
2780,1
59796,1
42845,1
212216,1
15964,1
34788,1
328025,1
63199,1
393845,1
44239,1
8705,1
11019,1
214390,1
200960,1
51806,1
37483,1
41410,1
150436,1
203461,1
207326,1
35344,1
48684,1
36850,1
36925,1
13273,1
29110,1
12357,1
15401,1
199636,1
48669,1
206002,1
30058,1
9605,1
198691,1
20989,1
44297,1
205312,1
23299,1
59721,1
398256,1
37385,1
17363,1
55960,1
16839,1
36066,1
205585,1
20580,1
211904,1
25094,1
22953,1
39896,1
207809,1
14489,1
60592,1
210275,1
212552,1
15967,1
36995,1
20900,1
20641,1
48040,1
44696,1
16972,1
58112,1
208128,1
18229,1
42656,1
42730,1
200000,1
60527,1
61323,1
39134,1
40994,1
329523,1
15966,1
42422,1
33930,1
39781,1
9752,1
20546,1
208209,1
41191,1
400754,1
10578,1
51038,1
40699,1
61306,1
15685,1
203178,1
10297,1
62744,1
39020,1
197161,1
62563,1
15703,1
55569,1
47300,1
41231,1
46475,1
39239,1
786,1
22653,1
50517,1
212531,1
149098,1
59689,1
6724,1
34304,1
6127,1
34235,1
35616,1
47160,1
22903,1
39292,1
56798,1
210848,1
16326,1
202242,1
395558,1
47577,1
203544,1
8309,1
14576,1
37107,1
135905,1
210032,1
9121,1
16371,1
46844,1
28810,1
14824,1
135575,1
21840,1
15489,1
8739,1
20994,1
399566,1
14555,1
15318,1
329184,1
61144,1
51269,1
198993,1
28838,1
39029,1
60922,1
45753,1
48426,1
210274,1
202368,1
46864,1
212772,1
393874,1
51468,1
34619,1
37460,1
61251,1
44160,1
393689,1
54467,1
53332,1
49328,1
206504,1
7489,1
18905,1
13601,1
395092,1
20847,1
398017,1
57168,1
37577,1
43962,1
59939,1
55272,1
30340,1
36912,1
18068,1
36818,1
37738,1
8517,1
57580,1
680,1
39686,1
208813,1
60550,1
23470,1
34432,1
58182,1
196645,1
200102,1
7203,1
3208,1
