asn,nb_hostnames
395747,4782
21664,865
213120,431
394192,404
394507,358
139341,210
37963,168
62567,167
35540,136
39572,133
204915,104
8075,92
205585,81
51433,77
215859,73
45558,49
19551,46
7979,45
131392,43
38369,40
31936,40
54994,38
15317,37
22612,37
136465,37
45090,37
214455,34
14907,26
40824,24
60781,23
2635,21
59692,20
27589,20
49981,20
60068,20
60248,19
26496,19
141995,19
201106,19
202492,18
49612,18
58061,17
63293,17
395458,17
136255,16
212216,16
133795,16
14853,15
44534,14
49714,14
6496,14
49676,14
47422,14
202368,13
26666,13
49287,13
17668,13
59587,12
30148,12
139144,12
13442,11
133385,11
328832,11
29066,11
44907,11
24600,11
61976,11
3844,10
28398,10
18881,10
12956,10
263945,10
8195,10
10753,10
6057,10
62768,10
17025,10
132337,10
19653,10
6762,10
328137,10
41722,10
28320,10
37662,10
15605,10
19422,10
56696,10
1916,10
50482,10
60976,10
137409,10
32338,10
394432,10
4134,10
36420,9
4837,9
211505,9
204601,9
43358,8
200019,8
45753,8
45352,8
59467,8
56898,8
200325,8
46606,8
23576,8
24572,8
48434,8
24482,8
207970,8
133384,8
138341,7
25184,7
14441,7
60077,7
8069,7
50989,7
62243,7
63240,7
52468,7
136373,7
6327,7
52320,7
17984,7
9015,7
19782,7
61568,7
29169,7
200039,7
132045,7
20764,7
2027,7
13786,7
51530,7
196753,7
64475,7
207841,7
270014,7
44684,7
35589,7
23520,7
48641,7
35360,7
8708,7
7589,7
15958,7
2614,7
14016,7
35600,7
38726,7
1031,7
29049,7
35598,7
264409,7
52025,7
50628,7
14537,7
205920,7
15802,7
38365,7
202425,6
150436,6
149640,6
12178,6
207728,6
35908,6
34369,6
59253,6
134365,6
133210,6
135360,6
23816,6
140688,6
6698,6
9764,6
151373,5
17841,5
53667,5
150078,5
139057,5
25820,5
138415,5
208161,5
200324,5
26347,5
42337,5
55293,5
3457,5
24961,5
199524,5
9760,4
64437,4
44244,4
216014,4
6427,4
14555,4
135371,4
63199,4
62068,4
63410,4
34119,4
6185,4
139658,4
3920,4
200449,4
198032,4
42567,4
204544,4
9123,4
132148,4
215300,4
58952,4
50722,4
53824,4
35425,4
48040,4
140290,4
200651,3
393299,3
32494,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
43641,3
5761,3
58521,3
23724,3
4808,3
7941,3
38019,3
60144,3
44696,3
8560,3
38631,3
61239,3
20661,3
40065,3
12322,3
42532,3
18310,3
49352,3
44932,3
26277,3
59441,3
204213,3
4835,3
206264,3
7506,3
4694,3
57687,3
7859,3
396986,3
135905,3
214105,3
201706,3
211904,3
40509,3
37936,3
202053,3
135054,3
47846,2
9009,2
19969,2
9481,2
59939,2
9371,2
50855,2
200554,2
58487,2
21419,2
16839,2
139711,2
206980,2
38623,2
207809,2
212552,2
201744,2
40021,2
10480,2
50980,2
7616,2
138160,2
14956,2
204770,2
14576,2
9707,2
399358,2
34947,2
9505,2
207208,2
36352,2
56341,2
33191,2
30058,2
59210,2
137891,2
45898,2
152194,2
7552,2
2497,2
136752,2
205193,2
201012,2
44386,2
4258,2
24611,2
398256,2
50474,2
36459,2
7715,2
27223,2
34222,2
213438,2
212296,2
215845,2
12678,2
46844,2
28753,2
50041,2
136210,2
29264,2
9986,2
214881,2
26042,2
58112,2
136613,2
47330,2
210756,2
52130,2
204800,2
51852,2
4645,2
397273,2
51154,2
133392,2
209227,2
200195,2
43955,2
13767,2
60526,2
199218,2
54641,2
202798,2
135381,2
40728,2
63760,2
137539,2
138152,2
27522,2
42240,2
139591,2
3204,2
7203,2
197540,2
32903,2
786,1
215402,1
59796,1
62442,1
131366,1
9370,1
210644,1
142002,1
34147,1
1659,1
22169,1
210656,1
39020,1
25234,1
58212,1
33664,1
61424,1
10929,1
58269,1
134543,1
51894,1
2107,1
133719,1
213995,1
12824,1
134963,1
46475,1
134840,1
43211,1
30886,1
15149,1
146817,1
42655,1
136168,1
198610,1
12064,1
44477,1
139880,1
131965,1
204039,1
63993,1
210250,1
203866,1
29182,1
205622,1
205762,1
65115,1
198792,1
211381,1
55960,1
216047,1
131623,1
33387,1
31476,1
60922,1
30083,1
29091,1
215708,1
8739,1
141685,1
201512,1
139704,1
205125,1
211922,1
135149,1
2780,1
34871,1
210403,1
394497,1
203616,1
43278,1
47577,1
135300,1
59623,1
2119,1
50313,1
56111,1
215892,1
49796,1
55106,1
14466,1
137560,1
6428,1
397032,1
43487,1
45420,1
44009,1
7630,1
37917,1
149487,1
12640,1
136995,1
30818,1
139014,1
35179,1
43298,1
199867,1
201200,1
7678,1
41231,1
401200,1
44066,1
55688,1
45894,1
148000,1
8312,1
9848,1
57352,1
133752,1
210976,1
54913,1
200000,1
19031,1
214390,1
51431,1
210288,1
9752,1
7684,1
397849,1
45394,1
30361,1
62048,1
142592,1
140766,1
38731,1
36080,1
4792,1
63362,1
200514,1
132866,1
35280,1
400797,1
49099,1
44310,1
58294,1
56309,1
14472,1
55760,1
58062,1
149656,1
205837,1
62082,1
15699,1
10578,1
216154,1
17784,1
134976,1
24711,1
214677,1
136188,1
41690,1
7671,1
206407,1
40034,1
133861,1
54288,1
39571,1
393689,1
56109,1
42106,1
57218,1
152880,1
18403,1
22653,1
61144,1
40850,1
63139,1
21341,1
147168,1
21121,1
212792,1
207304,1
400304,1
62016,1
44901,1
203684,1
216071,1
210630,1
131640,1
136191,1
58563,1
24971,1
23470,1
34655,1
56067,1
35916,1
48282,1
34918,1
51280,1
57088,1
211611,1
34432,1
63989,1
42632,1
204050,1
147303,1
136557,1
44112,1
4,1
132224,1
64999,1
32632,1
2514,1
21840,1
10122,1
134137,1
50214,1
11281,1
134481,1
31586,1
28838,1
53332,1
134402,1
41441,1
44609,1
60527,1
9688,1
36850,1
393874,1
215740,1
48669,1
138650,1
201634,1
211413,1
3361,1
32780,1
133775,1
134238,1
133118,1
197019,1
200296,1
61210,1
142036,1
34788,1
212490,1
400724,1
200386,1
45474,1
39134,1
54801,1
64422,1
136190,1
18068,1
203444,1
208488,1
13830,1
43415,1
57497,1
214225,1
202984,1
213222,1
149621,1
17716,1
54053,1
64050,1
7393,1
48614,1
215206,1
201589,1
