asn,nb_hostnames
395747,3751
21664,1049
213120,628
394192,404
394507,342
152338,339
55408,240
64057,226
55546,196
62567,188
35540,187
39572,117
45237,113
215859,93
8075,89
204915,84
15317,57
40824,48
37963,38
2635,37
38369,37
49612,36
14907,33
46606,32
31936,32
139650,31
7979,31
45090,30
27589,28
61976,27
32338,26
49981,24
56038,23
56194,23
63293,23
58061,22
19551,22
214455,21
150720,21
59467,21
9760,21
14853,21
207728,20
60068,20
23576,20
38818,19
10076,18
202492,18
60781,18
26496,18
207970,17
141995,17
29066,16
24496,16
59692,16
22612,15
151637,15
58598,15
9764,15
49714,14
44534,14
139341,14
54994,13
133795,13
47846,13
9934,13
36420,12
200325,12
10109,11
49352,10
38218,10
24064,10
9123,10
24572,10
17841,10
12178,10
44907,9
134074,9
55293,9
14441,8
42567,8
200019,8
15699,8
56898,8
23816,8
6698,8
30148,7
8560,7
38454,7
9688,7
198610,7
133453,7
24961,7
50989,7
204601,7
44696,7
152337,7
12322,7
24320,6
200449,6
214124,6
9644,6
5761,6
34788,6
210756,6
64437,6
38365,6
48040,6
7203,6
4835,6
4538,5
138341,5
397273,5
201706,5
13442,5
18310,5
55342,5
137511,5
200651,5
215300,5
26666,5
29182,5
199524,5
6185,5
4808,4
401200,4
9371,4
4837,4
18172,4
43298,4
150078,4
151373,4
53824,4
137982,4
210656,4
398256,4
62243,4
30818,4
49287,4
139144,4
139579,3
60144,3
56293,3
38019,3
150436,3
205312,3
57352,3
200107,3
135905,3
206264,3
7859,3
63199,3
198032,3
34119,3
138907,3
62068,3
7941,3
8739,3
56341,3
53667,3
202425,3
142539,3
136936,3
26347,3
205634,3
8920,3
24971,3
211611,3
2514,3
44477,3
204039,3
54641,3
199218,3
4847,2
14113,2
24611,2
6724,2
44310,2
62082,2
139057,2
205516,2
214881,2
9370,2
396986,2
4134,2
216139,2
53755,2
214744,2
400940,2
41722,2
39134,2
45898,2
9321,2
134356,2
34222,2
14824,2
211922,2
4665,2
140688,2
43037,2
205865,2
50482,2
2497,2
50474,2
50980,2
10753,2
13830,2
201012,2
20264,2
15318,2
23352,2
5537,2
213737,2
399358,2
200532,2
10480,2
138650,2
151355,2
53850,2
397849,2
59939,2
4792,2
3920,2
34699,2
14576,2
6427,2
51433,2
203087,2
208488,2
58625,2
135033,2
36459,2
4694,2
64999,2
32632,2
9009,2
40021,2
216154,2
33191,2
51852,2
44901,2
23724,2
201119,2
63760,2
57152,2
6205,2
152692,2
201512,2
3387,2
24482,2
22720,2
204800,2
135054,2
140290,2
42532,2
771,2
40994,1
42730,1
152880,1
51894,1
60922,1
30081,1
200514,1
52184,1
211381,1
395412,1
131240,1
36080,1
8069,1
44014,1
28838,1
39029,1
31577,1
17025,1
136191,1
58563,1
133719,1
3457,1
27223,1
36850,1
203417,1
17964,1
17604,1
199669,1
57580,1
11807,1
197019,1
15149,1
23908,1
18522,1
196763,1
199867,1
215845,1
201755,1
400797,1
14472,1
212136,1
206972,1
44066,1
212363,1
9605,1
17621,1
51468,1
198993,1
139456,1
17589,1
135377,1
197553,1
24600,1
13820,1
399566,1
6496,1
34432,1
9452,1
204846,1
21581,1
48737,1
15535,1
214798,1
198792,1
17686,1
13866,1
30361,1
49127,1
4713,1
32788,1
30083,1
211522,1
210644,1
57088,1
58487,1
137409,1
59673,1
8193,1
214618,1
4258,1
215206,1
196645,1
38631,1
28209,1
213340,1
52030,1
211864,1
58439,1
63993,1
10038,1
9686,1
214196,1
56872,1
58112,1
44672,1
199414,1
9530,1
206407,1
134760,1
58461,1
141681,1
197540,1
34147,1
12357,1
9858,1
55532,1
24806,1
28917,1
2107,1
133050,1
216071,1
56128,1
203444,1
202053,1
140766,1
38731,1
62744,1
49791,1
198547,1
35425,1
58212,1
215402,1
27647,1
9505,1
46844,1
19624,1
44386,1
131366,1
393689,1
397423,1
48096,1
61144,1
21051,1
24365,1
11281,1
214390,1
43641,1
60602,1
48324,1
41690,1
200195,1
213438,1
394230,1
35673,1
7557,1
205193,1
148000,1
24282,1
7393,1
16839,1
48965,1
198983,1
207362,1
133024,1
212792,1
44932,1
17561,1
34655,1
398743,1
9952,1
38185,1
53589,1
32097,1
63362,1
17881,1
57629,1
7678,1
49665,1
139880,1
61306,1
205373,1
18229,1
210976,1
24367,1
18450,1
34309,1
202816,1
393874,1
328832,1
12678,1
19969,1
4850,1
131965,1
31059,1
12739,1
48314,1
207304,1
14315,1
202675,1
48729,1
23033,1
41231,1
9752,1
207104,1
39020,1
62160,1
206871,1
55569,1
30456,1
205125,1
47577,1
9707,1
200928,1
59796,1
198913,1
61210,1
22169,1
52148,1
37153,1
57344,1
205435,1
45894,1
44160,1
7671,1
53332,1
48282,1
200039,1
58182,1
23910,1
37936,1
44256,1
201744,1
208795,1
13041,1
37684,1
7506,1
211642,1
33157,1
61053,1
206980,1
912,1
26441,1
216047,1
210250,1
8262,1
41653,1
205762,1
65115,1
131659,1
200000,1
42868,1
10929,1
47890,1
45576,1
44112,1
212490,1
59601,1
41075,1
2780,1
209847,1
56655,1
