asn,nb_hostnames
395747,2640
21664,1173
213120,905
37963,409
394507,369
7617,326
38369,262
394192,231
45090,182
139341,142
8075,123
140290,118
54994,106
134963,101
4835,100
4837,99
9505,85
38019,75
135054,69
4134,66
7582,62
35540,54
39572,54
38365,44
19551,43
7979,43
132056,42
2635,40
4808,38
62567,38
14853,37
139144,36
14907,35
23724,30
138164,30
31936,29
13442,28
139057,26
215859,24
18182,22
63293,22
131659,22
63521,21
204915,20
9732,19
58441,19
37936,19
4515,18
60068,18
63199,18
201106,18
4847,17
40065,17
133613,17
133849,17
24161,16
214455,16
24572,16
15317,16
26496,16
58563,15
140688,15
133795,14
9440,14
23816,14
23576,14
136190,13
63139,13
133905,13
134543,13
24600,13
131660,12
9924,12
137539,12
63838,11
10099,11
152194,11
4694,11
63835,11
58461,11
35280,11
1659,11
2497,11
58466,11
40824,11
59692,10
8739,10
38277,10
58541,10
150436,10
396986,10
134238,10
137687,10
36420,10
138341,9
133775,9
4538,9
8069,9
134760,9
7203,9
133118,9
53667,8
134768,8
131965,8
4528,8
134773,8
17621,8
46606,8
38631,8
9764,8
45898,7
8796,7
151373,7
401200,7
34309,7
200019,7
137718,7
132363,7
394432,7
135905,6
4780,6
50989,6
134770,6
18310,6
12178,6
131657,6
134550,6
9370,6
23881,6
44907,6
4641,6
200325,6
3457,6
9802,6
131616,5
10032,5
58540,5
58539,5
5761,5
17716,5
7483,5
7538,5
136188,5
63614,5
200596,5
17622,5
63905,5
6185,5
199218,5
9906,4
136167,4
136191,4
32780,4
134766,4
137693,4
137698,4
24396,4
135377,4
60781,4
199524,4
146817,4
24211,4
4760,4
38283,4
136891,4
17794,4
137409,4
1897,4
9760,4
30148,4
134771,4
7532,4
59073,4
26666,4
395458,4
47422,4
63210,3
133776,3
208488,3
24482,3
55720,3
132252,3
54913,3
45474,3
137697,3
131325,3
132153,3
136194,3
24154,3
63629,3
7544,3
328832,3
6496,3
133777,3
63993,3
6427,3
55992,3
