asn,nb_hostnames
395747,3724
21664,719
213120,497
394507,417
394192,251
16276,222
62567,118
204915,112
39572,105
8075,92
215859,89
7979,68
29544,65
31936,51
214455,44
36420,42
5545,41
141995,36
22612,34
19551,31
47846,30
60781,30
63293,28
40824,25
29222,23
14907,22
12322,22
46606,21
12178,21
26496,21
14853,20
27589,19
202492,19
204800,19
50474,18
8560,18
49981,18
6496,17
24600,17
38369,16
30148,13
139341,13
17668,13
62068,12
54994,12
37963,12
2635,12
10753,11
32338,11
207208,11
49287,11
54641,11
395458,11
210403,10
58521,10
14441,10
36057,9
328832,9
211612,9
327712,9
53589,9
29066,9
3844,8
28398,8
18881,8
12956,8
263945,8
8195,8
6057,8
62768,8
17025,8
132337,8
19653,8
6762,8
328137,8
41722,8
28320,8
37662,8
15605,8
19422,8
56696,8
1916,8
50482,8
8839,8
133795,8
216014,8
44907,7
58061,7
2057,7
9009,6
56898,6
25117,6
40699,6
3920,6
59253,6
8228,6
52148,6
3457,6
204450,6
199524,6
36891,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
6939,5
262427,5
37251,5
327788,5
132602,5
9730,5
13442,5
8069,5
26666,5
200019,5
33837,5
6185,5
50980,5
59692,5
151373,4
23352,4
10480,4
328997,4
139144,4
6698,4
137409,4
24482,4
24961,4
60144,4
62243,4
34655,4
34863,4
49714,4
13238,4
215300,4
8346,4
57724,4
199729,4
48040,4
53824,4
60362,3
55293,3
47195,3
5761,3
197540,3
50979,3
30961,3
200325,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
29169,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
57633,3
34993,3
17561,3
216154,3
7941,3
51888,3
42567,3
207970,3
9123,3
150078,3
139057,3
205585,3
34788,3
48729,3
28753,3
214124,3
198993,3
210275,2
37153,2
4258,2
3296,2
15535,2
401200,2
11807,2
212490,2
8304,2
31586,2
33191,2
48744,2
43311,2
7203,2
39072,2
49610,2
34619,2
6713,2
266444,2
49635,2
202425,2
36884,2
48434,2
41653,2
211922,2
30083,2
53667,2
53850,2
2665,2
24971,2
37541,2
206264,2
199218,2
37107,2
44477,2
51433,2
3387,2
199246,2
64437,2
39241,2
14361,2
212531,2
36459,2
24611,2
25354,2
12640,2
35744,2
37649,2
45090,2
46844,2
20756,2
4608,1
63199,1
11019,1
8262,1
203639,1
208710,1
13830,1
36666,1
35425,1
3208,1
213002,1
6879,1
39134,1
200532,1
39020,1
33387,1
216353,1
376,1
30361,1
206192,1
36786,1
58294,1
65002,1
8517,1
39444,1
36066,1
211904,1
150436,1
206648,1
41453,1
40539,1
13601,1
60550,1
60248,1
41690,1
14472,1
39686,1
42422,1
400754,1
40680,1
27897,1
21409,1
29302,1
200195,1
213438,1
19324,1
60527,1
201684,1
28885,1
202368,1
37508,1
13571,1
12678,1
198610,1
47836,1
10098,1
45666,1
200521,1
133861,1
64999,1
32632,1
14824,1
9752,1
27647,1
37728,1
25,1
204601,1
63362,1
14576,1
37738,1
213232,1
34119,1
204544,1
33157,1
196763,1
62856,1
206596,1
53332,1
57352,1
46475,1
34235,1
786,1
212815,1
27473,1
205461,1
56851,1
49127,1
19973,1
401605,1
11281,1
393689,1
196645,1
18229,1
62744,1
8739,1
42848,1
50517,1
216139,1
200651,1
201085,1
61102,1
26277,1
208561,1
56341,1
329523,1
61098,1
40651,1
23470,1
201768,1
41410,1
198913,1
55569,1
49833,1
61969,1
7678,1
59467,1
197902,1
214390,1
15966,1
138341,1
200449,1
13627,1
205435,1
61306,1
63760,1
206281,1
15699,1
55470,1
60855,1
56798,1
200960,1
8705,1
140688,1
44160,1
49352,1
24806,1
30340,1
393874,1
199167,1
15685,1
55960,1
57687,1
18905,1
22720,1
54163,1
8960,1
215845,1
61323,1
208128,1
328147,1
42400,1
212216,1
400797,1
47524,1
2611,1
201896,1
198792,1
48669,1
60368,1
13886,1
208488,1
208520,1
214744,1
197019,1
34920,1
61976,1
15456,1
399358,1
23576,1
42910,1
22169,1
20847,1
27223,1
142592,1
15967,1
61144,1
53038,1
57775,1
44932,1
7393,1
14555,1
152880,1
200107,1
21245,1
25504,1
10578,1
328066,1
398256,1
205312,1
210770,1
211316,1
3320,1
14340,1
37693,1
6848,1
