asn,nb_hostnames
395747,4139
21664,1361
213120,1025
394507,783
394192,403
8075,202
215859,195
16276,146
62567,110
204915,100
2635,74
39572,64
19551,59
60781,48
14907,44
26496,41
14853,34
8560,32
401200,30
31936,30
52148,28
211612,27
46606,27
30148,27
14441,25
5545,24
133795,24
214455,24
42108,24
15892,21
63293,19
202242,19
54641,18
200325,17
12178,17
40824,17
29387,16
7979,15
35425,14
31080,14
204800,14
52030,13
59692,12
57724,11
55293,11
27589,11
197664,11
64437,9
141995,9
200083,9
56682,9
22612,9
8535,9
52130,9
43037,9
12046,9
8400,8
12322,8
6698,8
20522,7
26347,7
27647,7
3457,7
8739,7
46844,7
33837,7
58061,7
20546,7
10753,7
31586,7
30961,6
205111,6
49714,6
13238,6
26666,6
37963,6
48254,6
49981,6
57344,6
31727,6
201595,6
215846,6
207970,6
20521,5
215740,5
30722,5
1897,5
38369,5
399566,5
51859,5
33874,5
53824,5
395458,5
34754,4
6939,4
51577,4
215300,4
44009,4
202448,4
36420,4
36080,4
200019,4
6496,4
61323,4
59467,4
215322,4
7859,4
51468,4
54994,4
213306,4
30818,4
44907,4
212531,4
36066,4
12640,4
14415,4
6185,4
33157,4
42848,4
8839,4
200449,4
201200,4
24600,4
17668,4
5761,3
398256,3
29066,3
206264,3
34309,3
56898,3
200386,3
48314,3
57788,3
7941,3
34699,3
42371,3
18229,3
31577,3
44880,3
211922,3
8231,3
64407,3
399250,3
62068,3
8262,3
12641,3
202425,3
39202,3
45090,3
61049,3
328832,3
42567,3
12874,3
12306,3
39896,3
199218,3
133409,3
42656,3
34342,3
210250,2
133185,2
34920,2
60798,2
34931,2
12353,2
23421,2
8705,2
197248,2
269954,2
47002,2
62243,2
5377,2
13442,2
3920,2
214744,2
7658,2
23576,2
27223,2
202053,2
20523,2
198913,2
200195,2
39392,2
51852,2
132420,2
29686,2
205762,2
57775,2
203612,2
15699,2
48164,2
34772,2
196745,2
44477,2
31083,2
48760,2
14824,2
45644,2
24971,2
137409,2
60550,2
3387,2
34788,2
61098,2
17436,2
29222,2
62016,2
30109,2
28753,2
209634,2
33191,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61573,2
18881,2
12956,2
48571,2
263945,2
8529,2
64126,2
8195,2
6057,2
62768,2
17025,2
132337,2
19653,2
1000,2
6762,2
131073,2
328137,2
41722,2
28320,2
18377,2
37662,2
262427,2
37251,2
15605,2
19422,2
56696,2
327788,2
1916,2
132602,2
50482,2
9730,2
25472,2
18945,2
137978,2
63199,2
12678,2
44696,2
199524,2
399358,2
65054,2
14537,2
10929,2
207728,2
43641,2
24961,2
8708,2
12824,2
47524,2
48825,2
214073,2
197540,2
61976,2
41528,2
9764,2
771,2
34127,1
47381,1
12779,1
47917,1
26752,1
23522,1
21581,1
39239,1
2665,1
196818,1
29003,1
202865,1
3768,1
39737,1
211768,1
208216,1
8361,1
212792,1
8069,1
49102,1
47242,1
202816,1
50980,1
41653,1
29389,1
53332,1
13101,1
33083,1
