asn,nb_hostnames
395747,4217
21664,1099
213120,948
394507,438
394192,362
35540,254
8075,179
204915,130
62567,110
39572,106
36894,105
23889,97
215859,93
19551,61
46606,53
328699,50
2635,50
15317,43
31936,39
12322,38
40824,38
26496,38
3457,35
50474,31
8560,31
48254,30
214455,29
22612,29
14853,26
133795,25
57633,25
7979,23
30148,23
49981,22
63293,22
60068,21
27589,20
14907,19
141995,19
12178,18
24600,17
60781,16
53824,16
8739,15
37153,14
59692,14
29222,14
54641,14
401200,13
30999,13
200325,12
58061,12
14441,12
8839,12
6698,12
204800,12
37963,10
55293,10
53589,10
38369,10
35425,10
200019,9
32338,9
49025,9
36420,9
26666,9
64437,9
215740,8
29169,8
10480,7
39896,7
15699,7
44907,7
397849,7
62068,7
139341,7
202425,7
213232,7
2057,7
45644,6
3920,6
8228,6
50989,6
36868,6
25117,6
36066,6
398256,5
14555,5
54994,5
210403,5
45090,5
21787,5
34993,5
56898,5
20459,5
52130,5
215300,5
49612,5
10753,5
201200,5
199524,5
42567,4
400513,4
46844,4
44534,4
49714,4
32780,4
13442,4
26347,4
39241,4
394695,4
328037,4
37611,4
6427,4
50980,4
328174,4
27223,4
148000,4
328170,4
202053,4
6496,4
211922,4
50583,4
139144,4
327979,3
207728,3
133210,3
135360,3
328832,3
208128,3
60144,3
37002,3
199758,3
29066,3
46475,3
34222,3
215322,3
4258,3
47846,3
7859,3
37251,3
31586,3
15826,3
5761,3
7941,3
47002,3
51852,3
23352,3
212792,3
6185,3
48744,3
62243,3
37096,3
786,3
29141,3
61976,3
206264,3
8304,3
24961,3
16265,3
33157,3
199218,3
56696,3
8195,3
48040,3
197540,3
213737,2
14113,2
60550,2
198993,2
393689,2
53667,2
202492,2
19853,2
214124,2
210770,2
18945,2
216353,2
133096,2
201896,2
329184,2
51888,2
2665,2
151373,2
399358,2
60885,2
137409,2
200651,2
33191,2
47447,2
55532,2
63410,2
204601,2
200195,2
211611,2
15149,2
40009,2
5410,2
31727,2
208488,2
12258,2
18229,2
37037,2
23576,2
44009,2
9730,2
198032,2
42845,2
132224,2
12306,2
37722,2
197696,2
400754,2
200356,2
13830,2
41653,2
60362,2
9370,2
215845,2
31080,2
48140,2
34788,2
14315,2
202521,2
48130,2
59778,2
22720,2
207970,2
24971,2
14576,2
201744,2
200449,2
14824,2
22560,2
3768,2
64515,2
60855,2
14472,2
34306,2
40021,2
205762,2
34309,2
133409,2
37201,2
199167,2
48703,2
36459,2
39072,2
38719,2
201085,2
39162,2
35916,2
209349,2
49287,2
9009,2
17668,2
395458,2
394432,2
59253,1
23724,1
4808,1
60114,1
201188,1
200000,1
15685,1
23393,1
63993,1
56682,1
16972,1
37179,1
215686,1
63362,1
47625,1
37513,1
400797,1
37311,1
200928,1
56341,1
205373,1
53755,1
42730,1
37608,1
60592,1
47748,1
53850,1
397273,1
12565,1
131283,1
56872,1
9123,1
9180,1
38185,1
6352,1
41690,1
131223,1
9583,1
9129,1
21581,1
203020,1
395162,1
394230,1
42970,1
24611,1
63444,1
2516,1
43641,1
15318,1
208216,1
213438,1
212490,1
40630,1
20264,1
8708,1
48968,1
51664,1
23033,1
28753,1
10929,1
206972,1
216071,1
20989,1
133005,1
9760,1
44880,1
27647,1
7658,1
19969,1
30361,1
38365,1
393874,1
39686,1
28917,1
14537,1
40699,1
35744,1
33182,1
13984,1
2018,1
216154,1
55106,1
201755,1
42312,1
51468,1
47543,1
23522,1
203461,1
8705,1
41231,1
327956,1
38926,1
61210,1
