asn,nb_hostnames
395747,4622
21664,1153
213120,889
394192,384
394507,382
62567,197
15317,165
204915,164
35540,136
39572,124
8075,115
215859,89
7642,61
2635,54
32338,53
40824,47
19551,42
14907,35
46606,35
31936,32
7979,32
37963,32
27589,27
214455,26
63293,24
26496,24
29066,23
133795,23
38369,23
14853,23
22612,22
14441,22
60068,18
3457,17
141995,16
59467,15
30148,15
207970,15
60781,14
44534,13
49714,13
58061,13
131173,12
401200,12
26347,11
44907,11
139341,10
26666,10
49612,10
55293,10
49981,10
200325,10
395458,10
8560,9
59692,9
56898,9
148000,9
12178,9
61976,9
204800,9
200019,8
400513,8
45090,8
12322,8
397849,7
63932,7
43037,7
138341,7
132420,7
214124,7
5761,7
45644,7
6185,7
54641,7
36420,6
198610,6
34788,6
202242,6
8069,6
215300,6
54994,6
50989,6
213232,6
3920,5
64437,5
36066,5
136234,5
48254,5
62068,5
9123,5
10753,5
6496,5
6698,5
58521,5
197664,5
53824,5
199218,5
17668,5
202425,4
147303,4
211922,4
132045,4
35280,4
44696,4
42567,4
210756,4
62243,4
50980,4
328832,4
41722,4
50482,4
137409,4
18229,4
198032,4
400754,4
137056,4
13442,4
24600,4
36352,4
7203,4
4769,4
47422,4
210656,3
206264,3
398256,3
24961,3
12306,3
9730,3
24572,3
23816,3
3844,3
28398,3
18881,3
12956,3
263945,3
8195,3
6057,3
62768,3
17025,3
132337,3
19653,3
6762,3
328137,3
28320,3
37662,3
6427,3
15605,3
19422,3
56696,3
1916,3
24482,3
131965,3
52030,3
9583,3
200449,3
38799,3
29182,3
29222,3
31080,3
7941,3
202053,3
55532,3
40009,3
49352,3
205865,3
139144,3
55944,3
136238,3
9009,3
38365,3
49287,3
23576,3
140290,3
59253,2
202492,2
36459,2
207728,2
30961,2
136934,2
4258,2
24971,2
139057,2
132717,2
23889,2
33191,2
32097,2
30818,2
40021,2
24016,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
137978,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
29169,2
200039,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
133185,2
9752,2
30109,2
24611,2
56341,2
27223,2
15149,2
35425,2
207208,2
24389,2
63410,2
215540,2
8839,2
43298,2
14555,2
53667,2
14576,2
133430,2
10480,2
1897,2
7859,2
136762,2
34888,2
215206,2
399358,2
47577,2
32780,2
8960,2
60144,2
9829,2
216154,2
9986,2
63199,2
53850,2
23752,2
20264,2
17436,2
397423,2
394695,2
13284,2
26042,2
133037,2
56325,2
134251,2
9764,2
22720,2
20756,2
211942,2
210250,1
35916,1
29166,1
208561,1
10578,1
12678,1
131283,1
62744,1
211864,1
63467,1
131223,1
58182,1
4872,1
138650,1
41231,1
208488,1
28838,1
39686,1
30058,1
9370,1
199524,1
63444,1
2514,1
400797,1
13830,1
205373,1
54290,1
48040,1
138233,1
58923,1
141504,1
197816,1
7544,1
14824,1
135423,1
200107,1
398743,1
31727,1
132557,1
200928,1
9371,1
208795,1
44880,1
62354,1
397273,1
55106,1
215467,1
152307,1
204050,1
132680,1
51905,1
55470,1
19324,1
133256,1
50448,1
42312,1
11106,1
3361,1
211871,1
23033,1
215845,1
62163,1
64999,1
32632,1
44477,1
202368,1
205193,1
64049,1
7684,1
2832,1
25864,1
46981,1
137687,1
58461,1
137517,1
21840,1
210275,1
42730,1
197019,1
132856,1
18222,1
44160,1
200043,1
61969,1
57352,1
34309,1
27647,1
5403,1
33664,1
41690,1
204770,1
152880,1
394230,1
23999,1
38952,1
200651,1
3768,1
38631,1
45925,1
35179,1
207697,1
44932,1
63914,1
142592,1
15685,1
56452,1
44239,1
53755,1
22560,1
3387,1
8920,1
14113,1
8705,1
16839,1
42656,1
45532,1
213220,1
17564,1
50979,1
202024,1
211522,1
210644,1
46844,1
212490,1
42848,1
31577,1
13984,1
41528,1
215402,1
197540,1
47242,1
63362,1
200440,1
393689,1
39825,1
8473,1
49130,1
201936,1
1624,1
30083,1
45344,1
52012,1
2665,1
6724,1
15699,1
30081,1
58294,1
11281,1
46475,1
24898,1
134481,1
56872,1
135086,1
31586,1
52130,1
196752,1
400275,1
203444,1
43247,1
214685,1
30456,1
36850,1
44094,1
397373,1
26277,1
215740,1
212792,1
53332,1
201012,1
203976,1
395532,1
50517,1
44386,1
214744,1
51433,1
393874,1
23470,1
147314,1
59787,1
4713,1
34655,1
51852,1
33157,1
23876,1
13601,1
59939,1
201512,1
38719,1
15817,1
44310,1
29757,1
48669,1
200195,1
213438,1
58212,1
136891,1
43641,1
20848,1
786,1
199729,1
41185,1
138358,1
204601,1
14466,1
205312,1
61144,1
45894,1
7715,1
139016,1
44133,1
204436,1
393960,1
205762,1
29091,1
198792,1
34147,1
62082,1
201744,1
212136,1
214390,1
140688,1
58112,1
45829,1
45474,1
60114,1
134888,1
36356,1
61306,1
8361,1
200000,1
34119,1
48729,1
205585,1
10929,1
