asn,nb_hostnames
395747,3908
21664,1310
213120,686
394192,542
394507,502
8075,181
204915,179
62567,172
215859,134
22612,95
16276,89
39572,67
37215,57
2635,56
214455,56
204800,51
47846,49
19551,48
37963,43
26496,43
37098,40
37153,39
31936,38
46606,38
26666,37
395458,34
204450,34
63293,30
60781,29
36913,29
327941,27
30148,27
53667,25
38369,25
14555,25
133795,25
141995,23
10753,23
40824,23
14853,22
7979,21
24600,21
54641,21
6496,20
14441,20
49287,20
14907,19
8560,19
401200,19
137409,18
24482,18
328832,18
136620,18
5381,18
139341,17
17025,17
50482,17
63240,17
52468,17
45352,17
136373,17
6327,17
37662,17
41722,17
52320,17
62768,17
12956,17
17984,17
8919,17
396390,17
328137,17
61568,17
29169,17
52167,17
45517,17
20764,17
2027,17
19653,17
13786,17
51530,17
196753,17
28320,17
64475,17
6762,17
207841,17
270014,17
18881,17
23520,17
56696,17
48641,17
35360,17
8708,17
7589,17
17668,17
132337,17
15958,17
2614,17
14016,17
15605,17
28398,17
35600,17
19422,17
38726,17
1031,17
3844,17
29049,17
36678,17
35598,17
1916,17
264409,17
52025,17
50628,17
14537,17
8195,17
205920,17
6057,17
263945,17
15802,17
12178,17
55293,16
211612,16
786,14
37611,14
5545,13
53824,12
58061,12
2018,11
329184,11
58294,10
60144,10
36420,10
27589,9
200325,9
28753,9
3457,9
59692,9
35425,9
215846,8
200019,8
57344,8
44907,8
48254,8
12322,8
55470,7
63410,7
398256,7
37440,7
30083,7
23352,7
13442,7
397849,7
397273,6
44009,6
12488,6
33837,6
150078,6
202425,6
63068,6
34119,6
37532,6
37187,5
47002,5
6185,5
36943,5
9009,5
202492,5
45090,5
55532,5
10480,5
32338,5
26347,5
5761,5
29066,5
199524,5
14466,5
36352,5
22720,5
52130,4
27647,4
18945,4
327979,4
4258,4
31586,4
199867,4
60885,4
46475,4
328403,4
40021,4
329427,4
329278,4
62068,4
200449,4
51852,4
3920,4
329335,4
198032,4
36969,4
36982,4
8069,4
399566,4
210250,4
64437,4
198993,4
6698,4
13830,3
56898,3
41000,3
52148,3
53303,3
206264,3
211611,3
3387,3
214124,3
46864,3
12258,3
50980,3
55960,3
328565,3
7859,3
23522,3
205585,3
394230,3
7941,3
139057,3
6724,3
60230,3
23470,3
200107,3
197540,3
37010,3
212363,3
9760,3
131965,3
28810,3
215300,3
199218,3
139144,3
213232,3
1152,3
42848,2
61976,2
26277,2
142592,2
11106,2
327905,2
55688,2
24192,2
33191,2
58521,2
394695,2
397391,2
14340,2
199729,2
210848,2
33873,2
328300,2
32097,2
53755,2
36459,2
328174,2
48040,2
12678,2
36850,2
46844,2
215740,2
399358,2
49352,2
23421,2
33387,2
24971,2
14315,2
138341,2
148000,2
151373,2
42567,2
19324,2
35280,2
3768,2
24611,2
49714,2
13238,2
200000,2
132680,2
216154,2
399250,2
11807,2
397423,2
54994,2
31727,2
28824,2
50474,2
211922,2
201755,2
59939,2
400940,2
36914,2
53850,2
205435,2
27223,2
208488,2
2514,2
680,2
328252,2
393689,2
696,2
202242,2
140688,2
37251,2
12091,2
196763,2
1842,2
133096,1
19110,1
41528,1
398787,1
205876,1
205373,1
39825,1
8473,1
395532,1
50517,1
1835,1
8739,1
22653,1
132856,1
147303,1
61024,1
8262,1
54290,1
205193,1
10798,1
200514,1
1764,1
396176,1
51905,1
136165,1
202816,1
60897,1
207728,1
34931,1
398743,1
33265,1
51392,1
44160,1
131392,1
23724,1
4808,1
212490,1
11105,1
203461,1
31617,1
63760,1
37096,1
63362,1
52030,1
12644,1
32903,1
37315,1
62016,1
39227,1
395092,1
34989,1
19853,1
59524,1
38913,1
202656,1
400797,1
17001,1
395412,1
131283,1
35258,1
151858,1
328037,1
1776,1
11281,1
14824,1
207208,1
12064,1
7684,1
19648,1
207970,1
202053,1
328172,1
60592,1
397138,1
39686,1
213166,1
34788,1
45894,1
133050,1
205762,1
133861,1
137718,1
4835,1
396930,1
186,1
328654,1
24863,1
152880,1
57633,1
37658,1
17363,1
53264,1
31577,1
42008,1
32,1
29302,1
204846,1
44477,1
33322,1
266444,1
14472,1
7489,1
54801,1
45644,1
40651,1
4872,1
47066,1
56322,1
198913,1
397569,1
2633,1
2516,1
9123,1
51468,1
34309,1
9752,1
203639,1
328882,1
39134,1
24572,1
23816,1
41690,1
214744,1
57687,1
214685,1
4608,1
7506,1
206972,1
201936,1
17436,1
198792,1
10929,1
204436,1
200440,1
38220,1
34960,1
200928,1
56341,1
30340,1
202368,1
55106,1
211499,1
14988,1
13767,1
33472,1
393249,1
21217,1
51894,1
50979,1
49635,1
18978,1
400513,1
60114,1
213192,1
43641,1
101,1
328646,1
206225,1
328854,1
10954,1
11773,1
37154,1
328665,1
15703,1
211864,1
10578,1
30999,1
329035,1
46440,1
56872,1
3361,1
39292,1
19181,1
2665,1
25697,1
214677,1
36057,1
59796,1
59253,1
30058,1
150142,1
53332,1
4738,1
22560,1
10411,1
58487,1
30994,1
214390,1
23576,1
55569,1
59774,1
39029,1
25709,1
2611,1
43962,1
14415,1
37342,1
62243,1
19969,1
18779,1
200428,1
61144,1
59943,1
48729,1
16907,1
62744,1
13041,1
207809,1
327795,1
200195,1
213438,1
30961,1
32780,1
198610,1
5723,1
37028,1
31424,1
27522,1
203417,1
37520,1
12306,1
24961,1
57,1
9605,1
15808,1
393874,1
147168,1
32888,1
29222,1
131429,1
60527,1
201773,1
47521,1
213692,1
58153,1
15318,1
61424,1
7040,1
42400,1
20546,1
133210,1
135360,1
134888,1
215845,1
38185,1
24757,1
35744,1
58611,1
39202,1
18742,1
204548,1
2057,1
20641,1
38719,1
6939,1
36516,1
48109,1
34222,1
56452,1
200713,1
8705,1
398017,1
42800,1
36874,1
62856,1
12833,1
34282,1
13438,1
41231,1
8523,1
39458,1
400724,1
328847,1
55272,1
40539,1
48669,1
212872,1
141518,1
8414,1
10098,1
33182,1
150436,1
17762,1
