asn,nb_hostnames
395747,3442
21664,1483
213120,762
394507,428
28513,382
8075,335
394192,312
19551,211
16276,156
278,124
62567,109
14000,91
17072,88
8560,80
204915,77
13440,63
23352,57
39572,56
3484,49
213232,46
3457,45
2549,44
215859,43
46606,36
26496,35
19373,33
262916,31
211612,29
31936,28
214455,28
2635,26
63293,26
53824,26
6496,24
14853,23
7979,22
30148,22
36420,21
395458,21
30340,19
5545,19
10753,19
22720,19
139144,18
17668,18
22612,17
60781,16
204450,16
52454,15
59692,14
35280,14
18881,14
17025,14
37963,14
205193,13
3844,13
28398,13
12956,13
263945,13
328832,13
8195,13
6057,13
62768,13
132337,13
19653,13
6762,13
328137,13
41722,13
28320,13
37662,13
24600,13
15605,13
19422,13
56696,13
1916,13
50482,13
14441,12
133795,12
39020,12
30083,11
57724,10
28392,10
273584,10
40824,10
200019,9
3728,9
10480,9
137409,9
24482,9
7589,9
14178,9
53667,9
48254,9
16596,9
14907,9
139341,9
49287,9
15236,8
40021,8
200325,8
63240,8
52468,8
45352,8
136373,8
6327,8
52320,8
17984,8
8919,8
396390,8
61568,8
29169,8
52167,8
45517,8
20764,8
2027,8
13786,8
51530,8
196753,8
64475,8
207841,8
270014,8
136620,8
5381,8
23520,8
48641,8
35360,8
8708,8
15958,8
2614,8
14016,8
35600,8
38726,8
1031,8
29049,8
36678,8
35598,8
264409,8
52025,8
50628,8
14537,8
205920,8
15802,8
397273,8
28458,8
7203,8
54641,8
273261,7
265519,7
33182,7
21692,7
8140,7
42612,7
40699,7
202425,6
64437,6
28381,6
27589,6
5708,6
30109,6
6939,6
12322,6
12640,6
272317,6
63648,6
26347,6
33837,6
58521,6
12178,6
44907,6
27673,6
3141,6
31577,6
6698,6
45090,6
28371,5
23470,5
28544,5
2708,5
393299,5
32494,5
201106,5
14117,5
49665,5
13030,5
1273,5
61049,5
61573,5
8231,5
48571,5
8529,5
64126,5
1000,5
131073,5
18377,5
262427,5
37251,5
327788,5
132602,5
9730,5
32098,5
26666,5
206264,5
38369,5
36080,5
272346,5
28477,5
6185,5
4493,4
28400,4
53755,4
55293,4
25354,4
397993,4
215300,4
3454,4
13442,4
42532,4
26618,4
216014,4
49635,4
263149,4
28502,4
265504,4
28391,4
5761,4
23367,4
36352,4
400275,4
19973,4
204800,4
7325,3
63410,3
265608,3
14340,3
61317,3
44901,3
42567,3
28383,3
399566,3
265527,3
28526,3
31586,3
47195,3
204601,3
263134,3
207970,3
14576,3
61976,3
7859,3
62068,3
23576,3
7184,3
14466,3
28421,3
43937,3
397849,3
265531,3
58061,3
24961,3
28417,3
9094,3
263114,2
207728,2
36818,2
30246,2
205796,2
264713,2
15107,2
199968,2
63760,2
13601,2
28382,2
7941,2
141995,2
207809,2
11807,2
18945,2
49714,2
13238,2
214124,2
56958,2
22889,2
263150,2
203119,2
24611,2
8312,2
19785,2
29066,2
24572,2
14824,2
29222,2
4258,2
216154,2
33191,2
138341,2
30961,2
263115,2
9760,2
265524,2
35916,2
34222,2
3596,2
22414,2
50980,2
8001,2
13579,2
265618,2
200960,2
27647,2
27522,2
25970,2
46844,2
199236,2
48083,2
46440,2
32866,2
198993,2
54994,2
215845,2
22653,2
18529,2
265561,2
64501,2
270175,2
3810,2
272397,2
28546,2
265503,2
56898,2
8069,2
401200,2
49981,2
28519,2
200521,2
14555,2
201744,2
19133,2
9059,2
28390,2
28387,2
398787,2
27223,2
7393,2
60144,2
53303,2
32338,2
29182,2
13348,2
12357,2
9764,2
199524,2
771,2
399358,1
18310,1
14113,1
210728,1
57858,1
262191,1
51520,1
265517,1
200651,1
57168,1
19648,1
61144,1
57352,1
52489,1
263173,1
62243,1
8361,1
209984,1
39560,1
37936,1
262914,1
33695,1
33157,1
29014,1
54288,1
28455,1
26752,1
48729,1
393303,1
152880,1
28425,1
36066,1
396524,1
198792,1
9009,1
208769,1
208488,1
212792,1
28463,1
1831,1
400513,1
2514,1
21914,1
200320,1
28524,1
18747,1
201936,1
10420,1
36459,1
393874,1
211922,1
262944,1
11014,1
12488,1
10929,1
57542,1
215402,1
51468,1
40731,1
3387,1
40476,1
16371,1
965,1
265569,1
138650,1
27264,1
4150,1
30600,1
21581,1
214390,1
210630,1
206102,1
23421,1
27640,1
63362,1
3816,1
131965,1
28553,1
53930,1
30058,1
6927,1
131640,1
54552,1
262168,1
8422,1
26277,1
265525,1
398743,1
11281,1
28403,1
14416,1
198032,1
53850,1
272373,1
12993,1
265505,1
9752,1
400655,1
208058,1
19976,1
400754,1
22194,1
202054,1
25697,1
214308,1
11432,1
215740,1
30455,1
206980,1
139057,1
203178,1
28409,1
55593,1
44128,1
51025,1
200107,1
55081,1
41690,1
28478,1
207569,1
19969,1
28493,1
270205,1
33083,1
17249,1
13830,1
53332,1
6352,1
205762,1
65115,1
56872,1
4694,1
398256,1
28476,1
201200,1
197712,1
206216,1
152194,1
35171,1
265627,1
265548,1
205312,1
202242,1
200449,1
63905,1
24971,1
57088,1
18905,1
23816,1
53836,1
393689,1
22033,1
51852,1
151373,1
263812,1
45420,1
42730,1
200514,1
58065,1
30880,1
49127,1
198610,1
27823,1
23522,1
9123,1
40728,1
58212,1
3920,1
27376,1
36666,1
63228,1
12678,1
394432,1
265589,1
272399,1
61210,1
61098,1
18450,1
200195,1
213438,1
39134,1
265556,1
28545,1
265614,1
202492,1
199443,1
26254,1
22049,1
60527,1
262920,1
48040,1
135357,1
46475,1
2665,1
11228,1
39686,1
60550,1
