asn,nb_hostnames
395747,5219
21664,845
213120,467
9986,284
394507,258
394192,217
8075,142
35540,125
39572,121
19551,118
141201,115
4769,96
9930,92
37963,92
17564,89
62567,82
45352,60
204915,54
55720,48
38369,44
201106,39
139341,31
45420,29
40065,26
54994,26
215859,25
2635,25
24514,25
394432,25
17784,24
45090,22
14853,22
31936,21
214455,21
24020,21
7979,20
38182,20
15317,19
138341,17
63293,17
60068,17
60781,16
59692,16
14907,16
26496,15
150172,14
35908,14
32338,13
147168,12
24090,12
55420,12
132688,12
3457,12
40824,12
7203,12
30148,11
27589,11
17992,11
133014,11
200325,11
133795,11
135496,10
65295,10
38868,10
7483,10
55951,10
4134,10
6496,9
132372,9
4634,9
141995,9
395458,9
38365,9
45668,8
45344,8
58061,8
13442,8
17668,8
152899,7
132198,7
4837,7
53667,7
35280,7
22612,7
24572,7
26666,7
139144,7
132241,6
45753,6
8796,6
44907,6
63199,6
50989,6
134963,6
36420,6
23816,6
49612,6
6698,6
42532,6
140224,6
140290,6
24314,5
23576,5
3844,5
28398,5
18881,5
12956,5
263945,5
328832,5
8195,5
10753,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
24600,5
15605,5
19422,5
56696,5
1916,5
50482,5
150436,5
132874,5
49981,5
200019,5
151406,5
133421,5
132111,5
23659,5
151373,5
202425,5
59253,5
44534,5
49714,5
133169,5
215300,5
132494,5
37936,5
6427,4
55856,4
12178,4
59263,4
9505,4
137409,4
133408,4
133210,4
135360,4
396986,4
53850,4
55293,4
58812,4
36080,4
11878,4
61976,4
138391,4
141987,4
45144,4
134107,4
131310,4
134722,4
32780,4
4835,4
47422,4
24961,3
55532,3
393299,3
32494,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
329356,3
132602,3
9730,3
12640,3
63993,3
133936,3
135054,3
6185,3
132035,3
4694,3
207728,3
24482,3
8560,3
138359,3
62068,3
29066,3
132694,3
4818,3
136727,3
152194,3
134066,3
200651,3
132885,3
206264,3
46844,3
138663,3
45121,3
132890,3
56898,3
64437,3
43641,3
49287,3
47384,3
9764,3
398256,3
132170,2
137005,2
137397,2
137978,2
211922,2
38006,2
134809,2
14576,2
134176,2
214124,2
40021,2
63240,2
52468,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
29169,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
9728,2
59524,2
139057,2
33387,2
42106,2
139456,2
2514,2
136412,2
45894,2
12322,2
23820,2
138148,2
7941,2
38466,2
131640,2
25820,2
149656,2
147019,2
213232,2
7616,2
138160,2
18310,2
397273,2
202492,2
63932,2
24161,2
38019,2
58521,2
24068,2
147303,2
30058,2
62243,2
46606,2
906,2
397849,2
5761,2
29085,2
32097,2
10480,2
5377,2
14466,2
42567,2
137539,2
4617,2
134797,1
38005,1
45474,1
131601,1
41690,1
131623,1
8739,1
63210,1
9655,1
38719,1
138997,1
133114,1
4515,1
202242,1
204800,1
2497,1
56109,1
23522,1
139605,1
56163,1
133618,1
49304,1
58182,1
205193,1
137552,1
139880,1
136188,1
34432,1
137510,1
133449,1
133861,1
131659,1
63362,1
138968,1
61144,1
15149,1
207809,1
41528,1
131723,1
9924,1
54641,1
61210,1
30083,1
26347,1
138650,1
58513,1
141004,1
214390,1
59371,1
216047,1
56872,1
200928,1
56341,1
58212,1
59078,1
8069,1
3768,1
9752,1
38472,1
200195,1
213438,1
133905,1
46475,1
55482,1
44009,1
3758,1
18182,1
140928,1
56231,1
48763,1
142288,1
38386,1
60144,1
45721,1
7678,1
20799,1
134543,1
23724,1
140866,1
197540,1
137687,1
58461,1
4808,1
21840,1
10122,1
26042,1
140766,1
38731,1
148000,1
133889,1
215402,1
22560,1
210110,1
54801,1
24611,1
198032,1
201670,1
138008,1
200950,1
136191,1
58563,1
48040,1
137962,1
215845,1
7713,1
136800,1
35179,1
200449,1
393689,1
134573,1
58983,1
400797,1
40394,1
210630,1
23393,1
28673,1
31727,1
7859,1
17666,1
54288,1
58466,1
135967,1
132200,1
9370,1
133847,1
47846,1
33191,1
9760,1
133050,1
199524,1
152644,1
36459,1
9906,1
24971,1
29097,1
3920,1
23876,1
137718,1
46829,1
36642,1
400619,1
138415,1
10929,1
136087,1
142036,1
56111,1
45808,1
29222,1
4645,1
6352,1
17841,1
7715,1
140586,1
401200,1
207970,1
11281,1
49582,1
59210,1
14315,1
131106,1
399358,1
29182,1
150425,1
9009,1
19225,1
40850,1
63139,1
24028,1
24211,1
45664,1
4775,1
208488,1
201744,1
55593,1
204601,1
19969,1
216154,1
204770,1
134760,1
34788,1
40728,1
393874,1
57088,1
210644,1
216014,1
131965,1
7671,1
