asn,nb_hostnames
395747,3832
21664,1413
213120,777
394192,458
394507,444
37153,262
8075,197
215859,152
62567,148
204915,130
20459,81
35540,79
2635,73
39572,69
37096,58
19551,57
22735,57
327979,54
37611,48
214455,42
26496,32
46606,31
31936,31
8560,30
397666,30
14853,28
133795,26
53824,25
63293,25
54641,25
141995,24
36943,24
60068,24
14907,23
30148,23
12258,22
22612,21
40824,21
60781,20
47846,19
7979,18
2018,18
37963,18
328170,18
329184,17
37009,16
26666,16
37513,15
55293,15
48254,15
61317,15
329067,15
15317,14
200325,14
328832,14
36982,12
328037,12
14441,12
204800,11
38369,10
49025,10
12178,10
401200,10
24600,10
139341,9
59692,9
27589,9
64437,9
36420,8
400513,8
37201,8
58061,8
52148,8
37028,8
27647,8
37251,8
10753,8
56696,8
10480,7
54994,7
210250,7
44907,7
34788,7
215740,7
50989,7
6185,7
213232,7
14466,7
37532,6
8094,6
37394,6
11845,6
60144,6
35425,6
13442,6
6496,6
202425,6
58294,6
199524,6
8195,6
45090,6
395458,6
17668,6
12322,6
22720,6
26347,5
40021,5
51852,5
37311,5
48729,5
44534,5
49714,5
214124,5
328513,5
5761,5
397849,5
200019,5
9129,5
139144,5
31586,5
199218,5
328064,4
3457,4
198993,4
200449,4
198610,4
63410,4
150078,4
9009,4
43948,4
200107,4
17025,4
50482,4
37662,4
41722,4
62768,4
12956,4
328137,4
19653,4
28320,4
6762,4
18881,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
6057,4
263945,4
47002,4
46475,4
37026,4
6427,4
398256,4
47422,4
13830,3
62243,3
203639,3
29066,3
50980,3
24482,3
4258,3
61024,3
202492,3
32338,3
7941,3
137409,3
37100,3
44009,3
62068,3
18945,3
328174,3
51468,3
49981,3
15817,3
198913,3
61976,3
205435,3
37130,3
53667,3
327694,3
329166,3
49287,3
6698,3
38365,3
57344,2
15149,2
2514,2
3387,2
3768,2
23576,2
20847,2
37501,2
139057,2
36459,2
54290,2
37691,2
42312,2
200000,2
20264,2
3920,2
6656,2
133096,2
399250,2
34309,2
12306,2
8839,2
28753,2
14315,2
198032,2
328486,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
19782,2
61568,2
29169,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
35589,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
200195,2
55688,2
44880,2
19324,2
52000,2
11807,2
208488,2
61144,2
30961,2
12678,2
53850,2
44716,2
12732,2
151373,2
7203,2
56898,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
329356,2
132602,2
9730,2
14555,2
24611,2
200386,2
52130,2
394230,2
393689,2
328991,2
215300,2
206264,2
328723,2
329523,2
33387,2
204548,2
329042,2
142592,2
12640,2
42567,2
397273,2
49612,2
33191,2
214073,2
33157,2
394297,2
27267,2
771,2
36352,2
14115,1
216154,1
205193,1
53755,1
20580,1
35280,1
46864,1
37520,1
37379,1
198792,1
24961,1
12929,1
25709,1
197540,1
24971,1
34342,1
29024,1
26277,1
202053,1
208561,1
15699,1
132856,1
214390,1
200514,1
216071,1
44477,1
23393,1
32097,1
207970,1
11773,1
39202,1
328114,1
49073,1
41528,1
400754,1
37225,1
398743,1
46981,1
2119,1
205373,1
211922,1
50446,1
37179,1
58182,1
55470,1
9597,1
329510,1
23470,1
328172,1
214685,1
49172,1
394625,1
133950,1
213737,1
58487,1
147168,1
213438,1
29166,1
328150,1
35258,1
46844,1
47577,1
15318,1
38220,1
30896,1
6192,1
36080,1
7859,1
39239,1
204436,1
4872,1
16839,1
29182,1
9752,1
201936,1
18522,1
37235,1
397181,1
62354,1
32903,1
40539,1
23352,1
22386,1
32298,1
23724,1
4808,1
24898,1
329206,1
37204,1
39134,1
11105,1
29222,1
37183,1
48040,1
328374,1
131429,1
205585,1
23522,1
34432,1
55106,1
21787,1
327812,1
206972,1
25354,1
60550,1
60230,1
207139,1
327842,1
33083,1
16075,1
18229,1
38719,1
53332,1
395092,1
196763,1
62082,1
28604,1
10578,1
60009,1
8312,1
37680,1
8070,1
61323,1
15703,1
37172,1
141518,1
63362,1
41690,1
7020,1
395532,1
202368,1
31708,1
55532,1
399358,1
44239,1
12886,1
400797,1
204846,1
205072,1
45894,1
47543,1
207208,1
215540,1
31424,1
60897,1
34360,1
8288,1
4738,1
8705,1
58521,1
8960,1
203976,1
60380,1
62744,1
30083,1
9760,1
37678,1
205762,1
26928,1
12488,1
329305,1
207481,1
14824,1
8657,1
397423,1
786,1
138341,1
14988,1
2516,1
328633,1
10954,1
40651,1
30994,1
23367,1
11106,1
3361,1
14415,1
22653,1
211864,1
328874,1
44160,1
7393,1
36850,1
60592,1
34119,1
57,1
52580,1
24226,1
36066,1
41824,1
25820,1
328266,1
37459,1
7040,1
10929,1
215402,1
2665,1
2633,1
60114,1
328915,1
206407,1
28839,1
9123,1
43641,1
133050,1
11281,1
212792,1
13767,1
33472,1
37515,1
3352,1
200928,1
56341,1
44066,1
15685,1
140874,1
30277,1
12064,1
48669,1
393874,1
33265,1
36874,1
42848,1
59253,1
398787,1
27522,1
34222,1
202961,1
41174,1
34931,1
51905,1
29757,1
32,1
2780,1
63760,1
28810,1
210544,1
33873,1
44901,1
13173,1
152880,1
1776,1
41231,1
14340,1
394695,1
