asn,nb_hostnames
395747,1558
21664,545
213120,435
16276,422
394507,314
131248,133
394192,124
18200,79
39572,70
50474,70
12322,69
8075,65
2057,62
62567,47
19551,42
56055,35
204915,31
56089,28
133795,26
7979,26
57633,23
29222,23
5545,22
215859,22
8839,21
63293,19
24600,19
8228,17
40824,17
31936,16
60855,16
8560,16
25117,15
14853,14
214455,13
211612,12
50583,11
60781,11
45666,10
209349,10
2635,9
8304,9
48744,9
14907,8
34993,8
6656,8
53589,8
24053,7
29169,7
12640,6
200325,6
199636,6
58061,6
50446,5
60362,5
45345,5
213232,5
17025,5
17668,5
210770,4
51888,4
12565,4
14489,4
39162,4
33837,4
59332,4
6496,4
36420,4
54994,4
44907,3
9009,3
41653,3
6185,3
46606,3
48703,3
213394,3
210403,3
199218,3
199777,3
39241,3
33157,3
38220,3
29608,3
205461,3
50980,3
10753,3
200019,3
41233,3
5761,3
42567,3
208128,3
6939,3
64437,3
50624,3
30148,3
27589,3
199524,3
200356,3
62979,3
6724,2
199167,2
56898,2
49981,2
44066,2
6698,2
57809,2
38369,2
140718,2
216353,2
33930,2
8309,2
27647,2
57724,2
25593,2
3259,2
54913,2
201085,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
18881,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
328832,2
8195,2
6057,2
62768,2
395458,2
132337,2
19653,2
1000,2
6762,2
131073,2
328137,2
41722,2
28320,2
18377,2
37662,2
262427,2
37251,2
15605,2
19422,2
56696,2
327788,2
1916,2
132602,2
50482,2
9730,2
201896,2
9159,2
31178,2
202242,2
47625,2
202321,2
12178,2
15456,2
7941,2
53824,2
43311,2
199758,2
35280,2
42845,2
33191,2
13193,2
32338,2
6738,2
214124,2
26496,2
3920,1
398851,1
204142,1
15703,1
36057,1
29110,1
53667,1
15826,1
51038,1
34655,1
60550,1
53332,1
43424,1
202628,1
132680,1
63362,1
22653,1
401200,1
41690,1
213466,1
51091,1
394277,1
5410,1
44407,1
44160,1
39534,1
44477,1
198792,1
12678,1
23576,1
21217,1
211316,1
47384,1
39444,1
53303,1
48669,1
37963,1
393874,1
14537,1
20986,1
13571,1
55293,1
39686,1
208276,1
197540,1
9280,1
197696,1
38544,1
31586,1
15685,1
15401,1
39104,1
15699,1
197788,1
62856,1
20546,1
2514,1
400513,1
44850,1
48426,1
141995,1
34949,1
61098,1
210274,1
14576,1
35344,1
44527,1
62243,1
17409,1
212815,1
61976,1
198978,1
24611,1
30361,1
27264,1
4150,1
30600,1
51269,1
4258,1
46475,1
205541,1
7859,1
54290,1
59692,1
204050,1
207970,1
197161,1
206264,1
40244,1
39239,1
20900,1
13238,1
49714,1
696,1
215845,1
208353,1
41191,1
11281,1
399566,1
399358,1
56798,1
20847,1
9471,1
47846,1
24482,1
43532,1
25540,1
4200000021,1
59925,1
214390,1
197816,1
208789,1
48594,1
24898,1
139341,1
202053,1
36459,1
133050,1
29104,1
34788,1
198610,1
206979,1
35744,1
49287,1
34235,1
44297,1
36786,1
200107,1
59689,1
48140,1
22612,1
30961,1
