asn,nb_hostnames
395747,2211
21664,669
394507,573
213120,450
35540,271
394192,203
8075,102
204915,94
62567,86
39572,71
215859,69
210403,53
214455,43
50474,43
12322,42
47846,41
7979,33
31936,33
19551,29
37385,28
53589,24
63293,24
38369,23
24600,23
36420,22
22612,22
395458,22
47422,22
37963,19
49287,18
8560,17
6496,17
14853,17
14907,16
29169,16
12178,15
60781,15
10753,15
30148,13
29222,13
141995,13
328832,13
2057,13
2635,12
14537,12
44976,12
15317,12
137409,12
24482,12
17025,12
26496,12
200356,11
4200000021,11
50482,11
63240,11
52468,11
45352,11
136373,11
6327,11
37662,11
41722,11
52320,11
62768,11
12956,11
17984,11
9015,11
19782,11
328137,11
61568,11
200039,11
132045,11
20764,11
2027,11
19653,11
13786,11
51530,11
196753,11
28320,11
64475,11
6762,11
207841,11
270014,11
44684,11
18881,11
35589,11
23520,11
56696,11
48641,11
35360,11
8708,11
7589,11
17668,11
132337,11
15958,11
2614,11
14016,11
15605,11
28398,11
35600,11
19422,11
38726,11
1031,11
3844,11
29049,11
4134,11
35598,11
1916,11
264409,11
52025,11
50628,11
8195,11
205920,11
6057,11
263945,11
15802,11
54994,10
133795,9
55293,9
8839,9
46606,9
202492,9
54641,9
44907,8
8228,8
60068,8
3457,8
40824,8
9009,6
49981,6
25117,6
26666,6
2611,6
62068,6
58061,6
139341,6
200107,5
45090,5
14441,5
13442,5
35280,5
34993,5
199524,5
200019,4
60362,4
210770,4
44009,4
8304,4
5761,4
14466,4
6185,4
151373,4
23352,4
10480,4
200325,4
26347,4
207208,4
28683,4
53824,4
65001,3
34863,3
57633,3
12640,3
48254,3
205435,3
30961,3
214124,3
35425,3
7941,3
376,3
59692,3
60144,3
150078,3
8069,3
205585,3
43311,3
46475,3
139057,3
48744,3
199729,3
27589,3
204800,3
51894,3
51888,3
39444,3
52148,3
56898,3
39241,3
201896,3
24611,2
46864,2
14472,2
401200,2
15456,2
6698,2
55960,2
36666,2
53667,2
14315,2
61098,2
4258,2
212216,2
62243,2
216154,2
26277,2
198993,2
202053,2
32338,2
34788,2
6656,2
49714,2
44534,2
3387,2
26130,2
2665,2
11807,2
13193,2
39134,2
12565,2
327712,2
24691,2
328252,2
142592,2
36891,2
696,2
56341,2
202425,2
58521,2
36786,2
30983,2
199777,2
28753,2
22720,2
44160,2
24961,2
31705,2
41653,2
50446,2
45666,2
36459,2
50980,2
3920,2
51468,2
39072,2
33191,2
11878,2
56798,2
205762,2
216014,2
31586,2
37153,2
48040,2
42240,2
152880,1
48813,1
1152,1
8622,1
59467,1
34119,1
214390,1
36850,1
14824,1
329184,1
400797,1
201085,1
55470,1
208276,1
24898,1
328853,1
15703,1
202368,1
393845,1
133409,1
53755,1
35744,1
5403,1
400754,1
35916,1
7203,1
34699,1
24971,1
50517,1
212552,1
29264,1
57687,1
199193,1
55081,1
8399,1
53332,1
13273,1
10098,1
9121,1
6713,1
31264,1
53850,1
40539,1
15318,1
60527,1
208488,1
22653,1
8070,1
36979,1
206264,1
36352,1
208789,1
38365,1
199867,1
43142,1
200532,1
8346,1
61144,1
51038,1
49677,1
29110,1
206672,1
24951,1
23576,1
63993,1
140688,1
399566,1
39104,1
9123,1
13601,1
37637,1
3768,1
20580,1
49582,1
51433,1
40651,1
37649,1
33157,1
40699,1
8659,1
399358,1
393874,1
208128,1
38652,1
212490,1
37018,1
37088,1
37705,1
17363,1
64437,1
208813,1
15826,1
41690,1
200449,1
48669,1
393689,1
138358,1
41231,1
2018,1
34235,1
12678,1
133719,1
207809,1
137,1
8705,1
13571,1
23470,1
57352,1
3208,1
22953,1
205312,1
36066,1
213232,1
209150,1
198792,1
207970,1
34655,1
6738,1
138341,1
206484,1
60550,1
64999,1
32632,1
208675,1
208353,1
18905,1
44477,1
6724,1
11281,1
8262,1
42745,1
29302,1
49610,1
25163,1
8309,1
55569,1
16839,1
39506,1
20264,1
786,1
20616,1
210275,1
37107,1
45753,1
38185,1
35344,1
9752,1
15489,1
32903,1
19983,1
42422,1
203461,1
40021,1
203976,1
29091,1
34304,1
680,1
211904,1
15966,1
51269,1
42567,1
42400,1
212815,1
199218,1
139144,1
57809,1
3058,1
37738,1
29608,1
201936,1
205461,1
204846,1
133618,1
14576,1
34369,1
57344,1
31727,1
37648,1
60922,1
65002,1
17561,1
49612,1
41410,1
199167,1
52030,1
21409,1
398017,1
60855,1
212531,1
150436,1
140290,1
