asn,nb_hostnames
395747,4060
21664,1214
213120,501
394507,412
22612,291
204915,268
394192,220
8075,206
215859,171
62567,158
35540,135
26666,79
19551,76
204800,65
26496,61
46606,58
53824,48
37018,47
39572,47
37963,47
141995,41
329184,41
214455,34
6428,34
8560,33
14441,31
33157,30
2635,29
63293,28
133795,27
397423,23
38369,23
29066,23
54641,23
31936,22
153568,21
139144,21
55293,20
46475,19
202448,18
29465,18
46844,16
52148,16
60068,16
400275,16
14853,16
397849,15
63993,15
30148,15
60781,14
329278,14
397273,14
14907,13
48254,13
786,13
30083,13
59692,13
200325,13
3457,12
53667,12
36352,12
35280,11
44009,10
58294,10
40824,10
37170,9
63410,9
17025,9
45090,8
26347,8
7979,8
40021,8
10480,8
200019,8
139341,8
328854,8
44907,8
200449,8
41000,8
135377,8
206672,8
49025,7
13442,7
328668,7
215740,7
12178,7
58061,7
202425,7
202492,7
22720,7
199524,7
15317,6
14555,6
328401,6
37153,6
398256,6
14415,6
702,6
6496,6
28753,6
32097,5
36420,5
210250,5
36666,5
12322,5
20598,5
19853,5
37148,5
24961,5
58521,5
30988,5
215322,5
37297,5
54994,5
133210,5
135360,5
52130,5
50989,5
6698,5
205544,4
37567,4
23576,4
36970,4
47846,4
150078,4
40699,4
215300,4
400940,4
329023,4
18945,4
10753,4
6185,4
55470,4
5761,4
37686,4
49582,4
329051,4
199218,4
29169,4
395458,4
47422,4
61976,3
3920,3
19648,3
49981,3
206264,3
55532,3
27589,3
7203,3
137,3
398787,3
13830,3
200000,3
400754,3
60885,3
328823,3
49612,3
198993,3
35916,3
37125,3
39832,3
36066,3
9009,3
37088,3
62068,3
137409,3
48729,3
204548,3
328131,3
32780,3
200039,3
48040,3
36979,3
51468,3
36923,3
57344,3
47002,3
24482,3
328832,3
36920,3
64437,3
327729,3
7941,3
50980,3
199729,3
24600,3
15802,3
35425,3
62979,3
51433,2
32338,2
7684,2
395092,2
133618,2
205435,2
33265,2
34119,2
31727,2
14956,2
36459,2
56898,2
23470,2
63760,2
42848,2
201755,2
8987,2
37025,2
393689,2
202053,2
39020,2
44534,2
49714,2
5377,2
60362,2
214124,2
11878,2
30058,2
199867,2
29091,2
32298,2
393960,2
15149,2
12678,2
33191,2
327869,2
50482,2
63240,2
52468,2
45352,2
136373,2
6327,2
37662,2
41722,2
52320,2
62768,2
12956,2
17984,2
9015,2
49287,2
19782,2
328137,2
61568,2
132045,2
20764,2
2027,2
19653,2
13786,2
51530,2
196753,2
28320,2
64475,2
6762,2
207841,2
270014,2
44684,2
18881,2
35589,2
23520,2
56696,2
48641,2
35360,2
8708,2
7589,2
17668,2
132337,2
15958,2
2614,2
14016,2
15605,2
28398,2
35600,2
19422,2
38726,2
1031,2
3844,2
29049,2
4134,2
35598,2
1916,2
264409,2
52025,2
50628,2
14537,2
8195,2
205920,2
6057,2
263945,2
26277,2
135905,2
24971,2
36873,2
393874,2
64236,2
51859,2
141518,2
60144,2
58153,2
328861,2
37443,2
60230,2
37660,2
327953,2
46469,2
14315,2
63447,2
328252,2
51013,2
37637,2
51177,2
62563,2
37328,2
394432,2
197540,2
19973,2
41441,1
216474,1
23352,1
329476,1
37661,1
202575,1
60087,1
3361,1
22991,1
61098,1
46864,1
28704,1
25543,1
142592,1
30886,1
13820,1
32234,1
3209,1
398743,1
9123,1
44880,1
34699,1
199193,1
215402,1
39686,1
38719,1
37058,1
3223,1
7784,1
56872,1
40509,1
10954,1
17841,1
12059,1
201200,1
51970,1
611,1
37280,1
9607,1
202521,1
152194,1
3768,1
201773,1
37936,1
2780,1
198203,1
200356,1
4200000021,1
207728,1
214856,1
211942,1
133201,1
44901,1
44160,1
50517,1
37728,1
37308,1
37565,1
57168,1
202376,1
37347,1
60114,1
399566,1
4770,1
30455,1
11807,1
1152,1
214677,1
196763,1
28673,1
37001,1
36080,1
55569,1
328834,1
208561,1
50979,1
44386,1
211864,1
203639,1
151373,1
198983,1
33387,1
39122,1
20294,1
216395,1
12005,1
12046,1
8517,1
5467,1
14098,1
401254,1
27647,1
22950,1
33182,1
133719,1
395839,1
27267,1
46786,1
400104,1
207970,1
4258,1
209243,1
401200,1
30475,1
196645,1
37056,1
31586,1
401764,1
8069,1
53755,1
394695,1
30340,1
63290,1
17451,1
51905,1
62243,1
146943,1
328742,1
47474,1
203417,1
8669,1
214618,1
43641,1
13041,1
34309,1
327981,1
43948,1
24958,1
45894,1
18621,1
13443,1
12641,1
62005,1
7489,1
36993,1
25279,1
401479,1
26996,1
393249,1
33676,1
214390,1
211922,1
21513,1
13984,1
198032,1
216154,1
202368,1
198913,1
63362,1
327871,1
13324,1
17289,1
20799,1
214685,1
51586,1
328160,1
36922,1
26206,1
52284,1
42567,1
399250,1
36516,1
9371,1
31043,1
42106,1
56798,1
399104,1
51269,1
35258,1
30277,1
15318,1
41690,1
51852,1
30456,1
42730,1
25163,1
23011,1
61144,1
133861,1
57088,1
39134,1
17001,1
9752,1
37587,1
205373,1
9129,1
329275,1
28755,1
24611,1
58487,1
48763,1
37445,1
202242,1
25820,1
202656,1
394727,1
56322,1
203976,1
29614,1
37350,1
42532,1
49474,1
44477,1
328324,1
200195,1
213438,1
399358,1
201936,1
44112,1
200928,1
56341,1
6656,1
49610,1
59253,1
53332,1
201706,1
20264,1
210275,1
327721,1
16839,1
54290,1
50474,1
8705,1
142052,1
18403,1
48753,1
34432,1
395162,1
150436,1
133694,1
14472,1
7040,1
16284,1
20068,1
34222,1
24592,1
29222,1
22653,1
207208,1
32903,1
328497,1
60526,1
36850,1
11281,1
7393,1
45420,1
200514,1
8523,1
39825,1
8473,1
37682,1
205193,1
400797,1
147168,1
3387,1
40065,1
40651,1
47553,1
210734,1
140688,1
12064,1
2665,1
50881,1
328366,1
12488,1
328978,1
34788,1
395111,1
200651,1
40994,1
329404,1
205072,1
53850,1
11041,1
