asn,nb_hostnames
395747,3779
21664,973
213120,679
8075,357
31586,330
394507,277
394192,241
215859,206
16276,148
200995,128
30961,115
62567,110
35744,93
15703,92
60781,92
39572,90
20847,84
213050,62
34920,55
31673,52
1152,42
39292,40
205585,40
31936,34
19551,31
205876,30
62353,30
206281,28
14907,28
59692,27
59467,27
57724,27
51433,26
5545,26
8560,25
49981,25
41887,24
28836,23
59524,23
61976,23
24586,21
58061,21
39704,20
210728,20
204915,20
214455,20
57088,20
13238,19
49714,19
211612,18
9150,17
20559,17
207970,17
2635,16
63293,16
133795,16
48645,15
8195,15
202053,14
12322,14
31080,14
7979,13
40824,13
41441,12
196752,12
27589,12
3223,12
197902,11
3457,11
14853,11
21221,10
208058,10
52130,10
43366,10
6496,10
54994,10
41960,10
202368,10
17668,10
64437,9
6724,9
33157,9
20546,9
32338,9
51468,9
395458,9
200325,8
56682,8
202553,8
49676,8
201706,8
15480,8
200352,8
207728,7
44907,7
42567,7
41722,7
328832,7
39686,7
202425,7
51088,7
24600,7
141995,7
204601,6
210656,6
200019,6
204983,6
17025,6
50482,6
37662,6
10753,6
62768,6
12956,6
328137,6
19653,6
28320,6
6762,6
18881,6
56696,6
132337,6
15605,6
28398,6
19422,6
3844,6
1916,6
6057,6
263945,6
34788,6
62003,6
53667,6
60248,6
33837,6
44696,6
212098,6
15879,6
204450,6
210756,5
48434,5
6939,5
62243,5
48729,5
50295,5
51758,5
43190,5
12640,5
8708,5
28685,5
59943,5
30148,5
215300,5
212216,5
215549,5
56341,5
36420,5
43298,5
6698,5
197540,5
24595,5
199218,5
197731,4
56898,4
8535,4
16298,4
137409,4
198058,4
198203,4
52167,4
24482,4
44477,4
211505,4
25184,4
216014,4
213504,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
327788,4
132602,4
9730,4
12525,4
24971,4
204544,4
8312,4
39591,4
207647,4
35260,4
22612,4
60077,4
36080,4
399566,4
26666,4
49287,4
26496,4
204770,4
37963,3
201401,3
1124,3
16265,3
16074,3
200449,3
201512,3
9123,3
57866,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
29169,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
51008,3
205644,3
59587,3
206264,3
49127,3
44901,3
199524,3
206980,3
60131,3
44310,3
57775,3
49352,3
198352,3
44932,3
44386,3
29001,3
29066,3
43358,3
200386,3
43037,3
200324,3
29182,3
34309,3
215740,3
38369,3
14956,3
209377,3
6185,3
202816,3
51091,3
48105,3
42755,3
14441,3
47447,3
29028,3
34369,3
12313,3
31383,3
5761,3
42656,3
398256,3
213232,3
44009,3
24961,2
58112,2
215402,2
51577,2
50399,2
1897,2
15966,2
30818,2
8901,2
41608,2
8856,2
44880,2
15479,2
27223,2
211316,2
23576,2
18310,2
40509,2
23522,2
133409,2
61306,2
210644,2
14824,2
214881,2
49820,2
62068,2
6816,2
201744,2
200651,2
42894,2
35425,2
211922,2
44112,2
12595,2
55293,2
35332,2
12306,2
205865,2
56517,2
39392,2
63199,2
7203,2
33191,2
60950,2
8694,2
203762,2
47121,2
31624,2
12678,2
7941,2
213438,2
213065,2
34427,2
49494,2
20769,2
207176,2
47577,2
43641,2
24730,2
48040,2
201012,2
47524,2
34432,2
50737,2
196818,2
26347,2
48968,2
48501,2
62370,2
208704,2
25599,2
59601,2
199236,2
6656,2
3920,2
51852,2
39210,2
60976,2
211187,2
8587,2
42337,2
208161,2
51025,2
30880,2
20495,2
207208,2
14576,2
45090,2
9764,2
38913,2
15535,1
12437,1
21388,1
59889,1
41696,1
201791,1
63362,1
8193,1
215708,1
210250,1
198508,1
52120,1
200347,1
61239,1
57168,1
51097,1
34655,1
20799,1
39020,1
211052,1
45420,1
43278,1
10954,1
11281,1
34222,1
201085,1
43487,1
61210,1
8920,1
212792,1
213773,1
15435,1
42532,1
8517,1
23421,1
34342,1
205316,1
47195,1
214653,1
45894,1
34947,1
52148,1
9752,1
56864,1
58010,1
205762,1
65115,1
34147,1
215467,1
196724,1
44521,1
9121,1
21121,1
21245,1
212422,1
35179,1
36057,1
207697,1
53755,1
202242,1
42312,1
211942,1
204754,1
14744,1
45666,1
200514,1
44014,1
46475,1
210977,1
30083,1
29256,1
29014,1
139341,1
59545,1
59840,1
207569,1
2611,1
44812,1
211993,1
39022,1
64422,1
53332,1
203444,1
200554,1
47890,1
14315,1
142592,1
42632,1
50313,1
63410,1
47863,1
26042,1
42400,1
202315,1
50979,1
57687,1
43211,1
41690,1
61065,1
41018,1
207560,1
61351,1
210275,1
393689,1
206775,1
200195,1
207104,1
54288,1
42442,1
47381,1
12178,1
56837,1
47111,1
200318,1
49675,1
44066,1
328174,1
200569,1
34171,1
209145,1
197816,1
39478,1
60580,1
48326,1
207304,1
10480,1
43948,1
37936,1
20523,1
42371,1
46844,1
8262,1
203209,1
198425,1
21474,1
33083,1
51514,1
38952,1
35280,1
47948,1
32780,1
39571,1
214390,1
