asn,nb_hostnames
395747,3149
21664,1368
213120,615
8075,597
394192,365
394507,356
35589,288
215859,186
62567,165
35540,117
31264,104
2119,103
224,89
203733,73
51468,71
42400,71
12929,64
202816,61
50304,55
43948,48
39572,47
50562,41
14907,38
49612,37
28824,37
8523,36
203995,36
19551,35
34989,35
59467,33
12996,33
15688,32
2635,31
401200,30
31936,29
61976,28
59692,26
39029,25
31080,24
196724,23
58061,20
207728,20
207970,20
31020,19
44764,19
49586,19
49981,19
133795,19
56682,18
29486,18
198869,18
60068,18
60781,17
59438,17
49409,17
63293,16
56655,16
204915,15
44534,15
49714,15
44136,14
15317,14
200325,13
14853,13
214455,12
52130,12
29492,12
3457,11
39651,11
8560,11
8535,11
29182,11
40824,10
12322,9
197308,9
27589,9
30950,9
64437,9
41174,9
26496,9
16186,8
50989,8
53667,8
44696,8
201706,8
43200,8
56867,7
44901,7
202425,7
9123,7
44381,7
204027,7
32338,7
141995,7
41216,7
210756,6
56341,6
7979,6
51008,6
41528,6
215740,6
8473,6
56828,6
48680,6
49352,6
43298,6
42649,6
6496,5
51852,5
30148,5
202128,5
58302,5
6698,5
41729,5
44477,5
204601,5
36420,5
200019,5
197332,5
30818,5
210656,5
200449,5
44310,5
204770,5
17668,5
395458,5
29169,5
42656,5
39787,5
211551,4
29024,4
3844,4
10753,4
41722,4
50482,4
48729,4
33157,4
205696,4
55293,4
37963,4
212449,4
48040,4
61213,4
14956,4
35678,4
8856,4
205976,4
205644,4
206980,4
201419,4
62225,4
206557,4
60047,4
1342,4
35132,4
137409,4
8708,4
62243,4
26666,4
43037,4
12525,4
202521,4
6185,4
47422,4
14441,3
28398,3
18881,3
12956,3
263945,3
328832,3
8195,3
6057,3
62768,3
17025,3
132337,3
19653,3
6762,3
328137,3
28320,3
37662,3
6427,3
24600,3
15605,3
19422,3
56696,3
1916,3
30737,3
199218,3
200088,3
206264,3
207208,3
12178,3
24961,3
204074,3
199524,3
44320,3
200139,3
59795,3
204937,3
200651,3
206170,3
201463,3
16839,3
38369,3
54994,3
44907,3
24482,3
42979,3
51577,3
34222,3
211381,3
212531,3
7203,3
205425,3
50217,3
8400,3
12483,3
211899,3
12306,3
12617,3
44386,3
15659,3
16972,3
5761,3
34766,3
49665,3
35425,3
393299,2
32494,2
201106,2
14117,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
39392,2
34309,2
49494,2
15149,2
12640,2
14576,2
201201,2
6724,2
214881,2
44112,2
60248,2
47577,2
14824,2
61306,2
42657,2
51433,2
64526,2
44880,2
206897,2
50272,2
201744,2
44009,2
199867,2
51025,2
36080,2
31590,2
51059,2
51859,2
206260,2
214761,2
26347,2
57352,2
15765,2
35744,2
201078,2
59601,2
5377,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
49287,2
19782,2
61568,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
23520,2
48641,2
35360,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
201012,2
44581,2
42567,2
57629,2
39020,2
200596,2
34369,2
203673,2
41701,2
8901,2
133409,2
48425,2
8001,2
216374,2
202053,2
203417,2
33191,2
23522,2
27223,2
49025,2
7941,2
