asn,nb_hostnames
395747,4691
21664,852
213120,511
394507,355
204915,235
394192,198
139256,169
131341,154
62567,149
39572,129
204800,115
215859,112
136762,112
45845,111
133185,107
8075,92
16276,92
18222,89
23752,66
135337,62
214455,41
137854,38
37963,37
2635,32
24504,31
5545,30
31936,29
22612,29
141177,28
26496,28
19551,26
63293,25
141995,24
7979,23
139922,22
46606,19
60781,19
38369,18
133092,18
40824,18
395458,17
136776,16
59370,16
14853,16
59692,15
139341,15
45090,15
55293,14
26666,14
36420,14
9760,14
58521,14
133795,14
4613,13
48254,13
14907,12
204450,12
32338,11
211612,11
14441,11
27589,11
17668,11
139237,10
30148,10
6496,10
10753,10
49287,10
17025,10
132856,9
8560,9
138605,9
328832,9
54641,9
49981,8
202425,8
33837,8
47846,8
3457,8
58061,8
202492,8
62068,8
50482,8
37662,8
41722,8
62768,8
12956,8
328137,8
19653,8
24600,8
28320,8
6762,8
18881,8
56696,8
132337,8
15605,8
28398,8
19422,8
3844,8
1916,8
8195,8
6057,8
263945,8
55532,8
12178,8
15802,8
148000,8
214124,7
52148,7
3920,7
52167,7
137409,7
24482,7
215740,7
29169,7
54994,6
401200,6
150078,6
151207,6
63240,6
52468,6
45352,6
136373,6
6327,6
52320,6
17984,6
8919,6
396390,6
61568,6
45517,6
20764,6
2027,6
13786,6
51530,6
196753,6
64475,6
207841,6
270014,6
136620,6
5381,6
23520,6
48641,6
35360,6
8708,6
7589,6
15958,6
2614,6
14016,6
35600,6
38726,6
1031,6
29049,6
36678,6
35598,6
264409,6
52025,6
50628,6
14537,6
205920,6
200325,6
59187,6
200019,6
398256,6
57724,5
138341,5
26347,5
399566,5
12322,5
151373,5
138546,5
56898,5
9730,5
29066,5
786,5
152307,5
64437,5
211922,5
53824,5
199524,5
6698,5
44907,4
141240,4
42567,4
150138,4
216014,4
45668,4
140641,4
6939,4
45644,4
63410,4
58504,4
13442,4
215300,4
137978,4
23576,4
42532,4
45424,3
397273,3
133128,3
6185,3
149652,3
139144,3
14576,3
24961,3
206264,3
133618,3
132420,3
9009,3
23352,3
18310,3
132224,3
207728,3
7941,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
35280,3
136979,3
9583,3
8069,3
202024,3
141767,3
213438,3
64049,3
40021,3
200651,3
49714,3
13238,3
200449,3
132270,3
201755,3
135335,3
36459,3
58433,3
7203,3
36352,3
197540,3
135682,2
198203,2
9505,2
3387,2
208096,2
204206,2
7506,2
2497,2
214308,2
139057,2
58456,2
15967,2
135905,2
9370,2
4694,2
205435,2
137035,2
43641,2
146943,2
5761,2
30886,2
138620,2
207208,2
26042,2
134951,2
400353,2
48040,2
63068,2
40009,2
204601,2
134251,2
141504,2
18978,2
42848,2
9752,2
152691,2
61976,2
60144,2
139701,2
55720,2
46844,2
200195,2
142621,2
33191,2
149037,2
54290,2
38617,2
22720,2
30961,2
31586,2
9707,2
9829,2
23816,2
24572,2
400754,2
136219,2
10480,2
149817,2
200000,2
27647,2
397849,2
4738,2
136047,2
36080,2
34788,2
17841,2
8960,2
35425,2
9764,2
20756,2
10929,2
3768,1
58955,1
133278,1
136380,1
8796,1
27267,1
38224,1
11019,1
198032,1
400797,1
34222,1
399250,1
53332,1
198610,1
201200,1
141518,1
137580,1
398493,1
45213,1
150436,1
60976,1
34702,1
32780,1
61969,1
28753,1
46433,1
200928,1
56341,1
42106,1
215845,1
131366,1
201706,1
150780,1
213232,1
133752,1
58611,1
34119,1
396032,1
12129,1
63362,1
36850,1
393689,1
142592,1
138964,1
4837,1
39134,1
131392,1
133179,1
48729,1
16061,1
3320,1
41690,1
137517,1
21840,1
141024,1
58294,1
154096,1
139224,1
23421,1
53755,1
53695,1
149640,1
57687,1
18779,1
133265,1
53038,1
149034,1
133666,1
141477,1
216071,1
48614,1
199729,1
34619,1
17561,1
216382,1
17363,1
22903,1
204436,1
211942,1
58282,1
15479,1
133861,1
197019,1
56111,1
8523,1
152448,1
393874,1
13820,1
7715,1
52012,1
34432,1
17436,1
201744,1
205193,1
51852,1
199218,1
45420,1
14472,1
11281,1
147207,1
63991,1
48763,1
30083,1
53667,1
134926,1
48961,1
8228,1
135303,1
205373,1
212792,1
44477,1
15699,1
273584,1
216047,1
63968,1
131965,1
139261,1
57633,1
56872,1
48896,1
152622,1
61144,1
210630,1
50980,1
203461,1
398743,1
9123,1
214165,1
132335,1
134995,1
62217,1
12929,1
394432,1
48669,1
198913,1
36066,1
26277,1
151798,1
2514,1
62243,1
153566,1
38544,1
46475,1
213166,1
63760,1
137080,1
202242,1
33664,1
56128,1
58212,1
137130,1
7859,1
134963,1
214390,1
142606,1
40476,1
42186,1
17762,1
131660,1
24611,1
211864,1
29221,1
399358,1
63914,1
63905,1
209003,1
13830,1
150331,1
14315,1
40651,1
210275,1
43948,1
30456,1
216154,1
198792,1
51278,1
2665,1
24745,1
28810,1
9371,1
63993,1
15685,1
25577,1
9509,1
18621,1
133719,1
37153,1
7393,1
215402,1
210250,1
271,1
131283,1
138388,1
41231,1
20771,1
62563,1
150691,1
394695,1
24971,1
20068,1
20847,1
207970,1
133231,1
58487,1
196763,1
37936,1
151663,1
35179,1
9986,1
52000,1
59939,1
