asn,nb_hostnames
395747,4195
21664,1643
213120,755
394192,480
8075,456
394507,273
141413,198
45179,192
19551,170
16276,74
62567,61
134433,55
24192,54
2635,53
399566,51
133795,45
132736,37
133162,35
215859,35
14853,34
4770,32
55532,25
39572,23
401200,21
31936,21
38719,20
55936,20
14907,18
37963,18
132692,17
214455,16
63293,16
204915,15
24226,15
211612,15
14537,14
59692,14
200325,14
17668,13
9764,13
139828,12
10753,11
136557,11
9280,11
53824,11
23576,11
132832,11
132680,10
215740,10
213232,10
9431,10
134948,10
3457,9
35280,9
141995,9
30148,8
24398,8
139341,8
24572,8
8560,8
38369,8
55300,8
53667,8
17477,8
5545,8
395458,8
40824,8
45090,8
6496,7
4049,7
133096,7
23816,7
46606,7
38544,7
7979,7
10480,7
135889,7
7203,7
26496,7
64437,6
131193,6
63199,6
27647,6
27589,6
3844,6
26666,6
6698,6
17409,6
55293,6
4768,6
22720,6
38305,5
7859,5
9433,5
60781,5
12322,5
30340,5
6939,5
56216,5
28398,5
18881,5
12956,5
263945,5
328832,5
8195,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
24600,5
15605,5
19422,5
56696,5
1916,5
50482,5
36420,5
134688,5
9760,5
133950,5
33837,5
26347,5
398385,5
131138,5
35425,5
33157,5
51852,4
138908,4
40509,4
133159,4
54994,4
150689,4
55853,4
17705,4
22612,4
133050,4
9688,4
202425,4
63410,4
6185,4
204800,4
55524,4
204450,4
54641,4
140290,4
42532,3
36080,3
136797,3
17649,3
51905,3
14340,3
207970,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
262427,3
37251,3
327788,3
132602,3
9730,3
12178,3
33260,3
29951,3
137409,3
24482,3
7589,3
132231,3
135336,3
200019,3
35744,3
18400,3
5761,3
53755,3
4792,3
133401,3
131239,3
22560,3
45894,3
59524,3
9432,3
7941,3
55752,3
56163,3
23421,2
12678,2
58061,2
30058,2
38880,2
32097,2
33191,2
36352,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
49287,2
396390,2
61568,2
29169,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
5381,2
23520,2
48641,2
35360,2
8708,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
205920,2
15802,2
61210,2
200449,2
196745,2
200195,2
201744,2
18353,2
10200,2
134691,2
148000,2
14824,2
4822,2
44907,2
9371,2
9370,2
14441,2
199218,2
18310,2
27223,2
140089,2
37936,2
215402,2
33265,2
56898,2
30083,2
13601,2
45738,2
49714,2
13238,2
211922,2
9952,2
135905,2
23958,2
215846,2
3768,2
45898,2
56028,2
21513,2
215300,2
393874,2
37979,2
57724,2
786,1
205762,1
65115,1
137687,1
58461,1
44932,1
3223,1
34788,1
134110,1
19969,1
397849,1
4694,1
40065,1
201755,1
200651,1
45753,1
133636,1
65225,1
31708,1
38631,1
48254,1
63444,1
44696,1
34989,1
2571,1
133393,1
989,1
207569,1
55914,1
140766,1
38731,1
24385,1
138973,1
38586,1
21787,1
15703,1
213438,1
399358,1
32780,1
47846,1
19225,1
140874,1
210250,1
39020,1
55884,1
132420,1
20799,1
45370,1
198032,1
9552,1
397060,1
136188,1
44386,1
14315,1
58441,1
132347,1
19084,1
6724,1
1746,1
18159,1
52489,1
263173,1
62016,1
61098,1
57633,1
131106,1
7671,1
34222,1
60114,1
55374,1
207640,1
212792,1
150795,1
133218,1
394432,1
4294836480,1
18945,1
12488,1
152180,1
214685,1
11281,1
61144,1
27264,1
4150,1
30600,1
38437,1
41528,1
42567,1
38220,1
3361,1
131659,1
4149,1
40728,1
210728,1
8070,1
202492,1
46475,1
201936,1
32338,1
133455,1
133853,1
204770,1
55747,1
216071,1
36057,1
4738,1
131291,1
139200,1
21581,1
135606,1
4802,1
36818,1
393689,1
398743,1
34920,1
400275,1
9752,1
199524,1
44239,1
205193,1
213737,1
14744,1
23033,1
152194,1
36459,1
215467,1
54290,1
9123,1
14576,1
131965,1
24611,1
207208,1
35634,1
399647,1
46440,1
16972,1
23522,1
139020,1
37907,1
400797,1
140576,1
133884,1
205373,1
30818,1
53332,1
57775,1
43037,1
395412,1
39392,1
36850,1
132450,1
13041,1
63362,1
54288,1
139006,1
58915,1
395416,1
38881,1
22653,1
9906,1
214390,1
12640,1
17589,1
208058,1
17436,1
22194,1
34309,1
328174,1
200928,1
56341,1
26753,1
62856,1
33083,1
23916,1
31727,1
13909,1
27522,1
138683,1
197816,1
9788,1
8001,1
4515,1
9480,1
64076,1
9471,1
62243,1
39686,1
24971,1
52148,1
13830,1
9440,1
133123,1
17492,1
36666,1
46130,1
57352,1
131173,1
139057,1
41690,1
58921,1
3920,1
9290,1
32788,1
53303,1
40699,1
55516,1
205585,1
15685,1
3330,1
395409,1
132727,1
132255,1
45644,1
