asn,nb_hostnames
395747,5246
21664,875
213120,673
394507,360
28885,322
204915,218
394192,183
35540,144
39572,139
8075,121
215859,104
201684,102
62567,70
15317,53
26496,51
7979,45
214455,42
3457,41
50010,40
19551,39
22612,34
31936,31
60781,28
148000,25
63293,24
37963,23
133795,23
46606,22
14907,22
40824,22
141995,21
395458,21
8960,20
2635,19
36420,18
15679,18
139341,18
30148,18
17668,18
14441,17
55293,16
27589,15
211521,15
38369,14
202655,14
53824,14
6496,13
26666,13
9730,12
62068,12
59692,12
205585,12
14853,12
60068,11
328832,10
10753,10
6427,10
58521,10
32338,10
393299,9
32494,9
3844,9
201106,9
14117,9
49665,9
13030,9
28398,9
1273,9
61049,9
61573,9
18881,9
12956,9
8231,9
48571,9
263945,9
8529,9
64126,9
8195,9
6057,9
62768,9
17025,9
132337,9
19653,9
1000,9
6762,9
131073,9
328137,9
41722,9
28320,9
18377,9
37662,9
24600,9
262427,9
37251,9
15605,9
19422,9
56696,9
329356,9
1916,9
132602,9
50482,9
44534,9
49714,9
12178,9
202425,8
13442,8
29066,8
58061,8
51433,8
56898,8
49981,8
133037,8
205171,8
12322,7
9829,7
3920,7
8560,7
200019,7
54641,7
35280,6
211381,6
139144,6
50989,6
49612,6
63932,6
54994,6
200325,6
204800,6
48728,6
397849,5
60248,5
207970,5
40699,5
204206,5
207208,5
216014,5
215300,5
6698,5
6185,4
210275,4
132224,4
37728,4
45090,4
36080,4
45644,4
8069,4
206350,4
202368,4
64437,4
42567,4
48254,4
209576,4
44907,4
199729,4
398256,4
199524,4
35425,4
200039,3
24961,3
200449,3
49676,3
34369,3
40009,3
7941,3
48434,3
133430,3
26347,3
207728,3
138341,3
211922,3
14466,3
132420,3
43641,3
10480,3
198032,3
32097,3
204601,3
141477,3
207865,3
18229,3
150078,3
17436,3
206264,3
786,3
45773,3
213232,3
15802,3
197540,3
211942,3
202521,3
211904,2
19324,2
131223,2
5761,2
33191,2
147303,2
59253,2
8708,2
63760,2
9583,2
55532,2
40021,2
134251,2
201678,2
16690,2
51182,2
52148,2
33182,2
146943,2
400754,2
49352,2
204974,2
46475,2
47447,2
53667,2
58294,2
61102,2
137409,2
216154,2
137035,2
59939,2
198993,2
204544,2
201896,2
59441,2
215322,2
14824,2
200324,2
215845,2
23576,2
42848,2
46844,2
20264,2
24482,2
50474,2
200195,2
213438,2
33157,2
32903,2
51905,2
63993,2
44932,2
212216,2
201768,2
20756,2
61976,2
49287,2
47422,2
204034,1
214390,1
3208,1
23876,1
137104,1
7203,1
36352,1
59467,1
197482,1
30873,1
12641,1
38193,1
38224,1
133256,1
214073,1
63444,1
47846,1
51088,1
135222,1
10578,1
63210,1
396032,1
12129,1
14113,1
198610,1
43955,1
63199,1
50979,1
29302,1
151373,1
43766,1
328206,1
3387,1
48729,1
197816,1
133185,1
13601,1
34119,1
149528,1
35258,1
150436,1
53850,1
44009,1
8705,1
202492,1
393689,1
62370,1
398493,1
11281,1
202242,1
214881,1
55045,1
210250,1
21345,1
29684,1
197664,1
212552,1
132557,1
328654,1
24863,1
30340,1
13830,1
64049,1
199218,1
31458,1
59323,1
7678,1
211864,1
23352,1
8796,1
9123,1
400797,1
30818,1
211871,1
2514,1
147177,1
200532,1
60976,1
34947,1
3225,1
211505,1
38264,1
62048,1
206980,1
54290,1
21121,1
32780,1
206407,1
212792,1
34400,1
141388,1
138233,1
58212,1
48109,1
134926,1
205762,1
59796,1
55569,1
8622,1
27264,1
4150,1
30600,1
61144,1
8768,1
215740,1
200554,1
52012,1
53332,1
212661,1
60114,1
31727,1
134963,1
30961,1
48669,1
203147,1
27267,1
1625,1
24971,1
202053,1
204050,1
1897,1
19973,1
200000,1
216139,1
5377,1
42532,1
38584,1
7590,1
137670,1
9986,1
34619,1
48763,1
401200,1
35179,1
63362,1
59210,1
200284,1
43211,1
135205,1
131173,1
64422,1
133719,1
198792,1
393874,1
17813,1
56126,1
56655,1
202024,1
205193,1
197019,1
15149,1
23470,1
133666,1
2780,1
57352,1
36459,1
327766,1
141518,1
131283,1
8361,1
328553,1
138358,1
56872,1
29757,1
214618,1
45925,1
41690,1
139016,1
53292,1
399566,1
38799,1
2665,1
395162,1
135905,1
132717,1
134888,1
134909,1
138424,1
4373,1
200928,1
56341,1
201744,1
198913,1
26042,1
7544,1
24572,1
135869,1
136252,1
205373,1
39560,1
132688,1
139057,1
14315,1
29222,1
208161,1
12678,1
50517,1
6738,1
9752,1
7859,1
62243,1
3188,1
397273,1
34222,1
208710,1
137978,1
13984,1
399250,1
139880,1
198503,1
141464,1
33387,1
45894,1
196763,1
60144,1
63410,1
141504,1
22720,1
132193,1
137130,1
38913,1
204770,1
200514,1
215402,1
208488,1
50980,1
200851,1
47524,1
13627,1
24611,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
29169,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
33873,1
51852,1
399358,1
5576,1
9009,1
203417,1
44477,1
