asn,nb_hostnames
395747,3933
21664,1243
213120,776
394507,586
394192,391
8075,222
35540,196
11556,145
62567,133
204915,124
19551,114
215859,96
23352,77
52336,75
26496,74
39572,70
46606,63
27716,58
2635,50
30148,38
133795,37
8560,37
14441,36
3457,35
31936,35
60068,35
22612,33
15317,30
7979,27
14853,27
40021,23
214455,22
63293,22
26347,21
400754,21
40824,21
36420,20
53824,20
213232,19
52468,18
14907,17
37963,17
45090,17
60781,16
10480,16
204800,16
26666,15
141995,15
53667,15
54641,15
59692,14
397849,13
22720,13
401200,12
12322,12
269758,12
39020,12
55293,12
27589,11
200325,11
12178,10
28062,10
42612,10
200019,10
139144,10
400275,10
6698,10
35280,9
205193,9
42532,9
33182,8
31577,8
18747,8
10753,8
23470,7
262211,7
49612,7
139341,7
262248,7
49981,7
58061,7
13442,7
38369,7
50989,7
64437,6
56958,6
48254,6
44907,6
54994,6
214124,6
265654,6
63410,6
202425,6
58521,6
199524,6
14576,5
215740,5
215300,5
206264,5
25354,5
52454,5
52335,5
6496,5
30961,5
8048,5
7203,5
17668,5
18881,5
17025,5
395458,5
25829,4
6427,4
30058,4
42567,4
28081,4
200521,4
65488,4
264713,4
3352,4
61976,4
30277,4
328832,4
33676,4
5761,4
27687,4
36080,4
6185,4
31586,4
24600,4
34699,3
271803,3
54290,3
26505,3
56898,3
205796,3
3790,3
23414,3
27647,3
398787,3
44534,3
49714,3
393960,3
62068,3
207970,3
19373,3
262217,3
197712,3
12640,3
3844,3
28398,3
12956,3
8231,3
263945,3
8195,3
6057,3
62768,3
132337,3
19653,3
6762,3
328137,3
41722,3
28320,3
37662,3
15605,3
19422,3
56696,3
1916,3
50482,3
198934,3
49635,3
32780,3
34119,3
27944,3
27263,3
399566,3
7941,3
46475,3
40699,3
24961,3
211922,3
23576,3
208769,3
50980,3
46844,3
38365,3
49287,3
9094,3
270078,2
27223,2
63993,2
139057,2
200320,2
197540,2
14466,2
265667,2
200449,2
29066,2
202492,2
16371,2
19969,2
32338,2
33191,2
27873,2
25970,2
8065,2
29182,2
63199,2
202054,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
204601,2
216154,2
14824,2
43937,2
25697,2
200960,2
33157,2
14340,2
63760,2
30109,2
199968,2
53589,2
34222,2
138650,2
202053,2
269954,2
4258,2
27823,2
34309,2
201744,2
27928,2
57352,2
203976,2
23520,2
5377,2
60550,2
21581,2
137409,2
29169,2
24482,2
398256,2
207809,2
53755,2
36066,2
24611,2
203178,2
36165,2
54467,2
393874,2
8100,2
215845,2
6306,2
771,2
4134,2
20033,2
9764,2
47422,2
35589,2
13348,2
36352,2
42240,2
45420,1
48324,1
22870,1
397273,1
61144,1
11432,1
27205,1
22056,1
14415,1
199236,1
8987,1
48040,1
198032,1
40476,1
198792,1
9752,1
12993,1
28604,1
9009,1
205275,1
49352,1
43927,1
37936,1
199218,1
39560,1
215402,1
16556,1
61098,1
62243,1
138341,1
200928,1
56341,1
3273,1
198610,1
9123,1
46864,1
206980,1
11915,1
36516,1
30340,1
55081,1
14187,1
23140,1
27264,1
4150,1
30600,1
57088,1
23816,1
24572,1
16839,1
393689,1
46469,1
28299,1
48729,1
44477,1
214390,1
10929,1
200514,1
60114,1
19324,1
60144,1
31617,1
26619,1
23522,1
4769,1
52438,1
30246,1
3387,1
36459,1
22878,1
36850,1
26441,1
26752,1
210630,1
61210,1
8387,1
34920,1
33265,1
11878,1
10954,1
29222,1
200107,1
278,1
42730,1
28103,1
400513,1
394303,1
3920,1
20264,1
18945,1
2514,1
33512,1
40651,1
61497,1
398743,1
44386,1
24971,1
48314,1
11014,1
9505,1
212332,1
8739,1
24898,1
12678,1
267797,1
63240,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
56872,1
39686,1
214273,1
394625,1
61808,1
216014,1
48763,1
65498,1
200195,1
213438,1
22860,1
262237,1
13506,1
132111,1
137718,1
4835,1
265867,1
399358,1
53332,1
211522,1
215322,1
56803,1
198993,1
205762,1
65115,1
214308,1
39134,1
2665,1
200165,1
14821,1
64512,1
12338,1
44998,1
398043,1
206102,1
10843,1
152880,1
10778,1
54913,1
38185,1
22194,1
203280,1
11281,1
262168,1
394684,1
43948,1
6752,1
200000,1
12824,1
395226,1
57994,1
27809,1
15149,1
210250,1
63362,1
200386,1
2553,1
31627,1
12357,1
8312,1
200651,1
26277,1
49127,1
266828,1
29992,1
397423,1
198968,1
41690,1
27862,1
19169,1
265839,1
52488,1
212792,1
58212,1
27651,1
131965,1
47447,1
28513,1
14113,1
200096,1
8473,1
39825,1
42220,1
53107,1
22414,1
30083,1
262185,1
6656,1
52489,1
263173,1
212096,1
30880,1
27956,1
28526,1
59432,1
6147,1
8069,1
207569,1
395412,1
60922,1
28316,1
41231,1
203119,1
52284,1
16496,1
2497,1
18310,1
14555,1
14197,1
48669,1
51852,1
150078,1
208488,1
273584,1
6352,1
262197,1
28753,1
13601,1
27864,1
40100,1
41976,1
50837,1
271891,1
34989,1
9760,1
44239,1
264829,1
59253,1
150436,1
7859,1
22653,1
42422,1
35744,1
396356,1
32413,1
151373,1
52233,1
27552,1
3816,1
23383,1
