asn,nb_hostnames
395747,3408
21664,1460
213120,555
394507,428
394192,282
27843,261
35540,245
8075,240
62567,192
23352,177
12252,163
204915,135
262210,109
6147,106
139144,102
19551,93
14117,93
36420,88
215859,69
3457,65
271814,54
26496,53
3132,52
39572,50
46606,43
213232,37
262253,33
25705,33
60068,32
141995,31
40021,27
31936,26
204800,26
8560,25
2635,25
10753,25
214455,24
30148,24
26666,23
63293,23
15317,21
14441,21
14853,21
133795,19
22612,19
37963,19
63410,18
53824,18
60781,16
26347,14
59692,14
266732,14
7979,13
28032,13
55293,12
205193,12
39020,12
262168,12
10480,11
40824,11
42612,10
14907,10
17668,10
18881,10
265794,9
12178,9
6698,9
7203,9
27823,8
49612,8
395458,8
400275,7
262589,7
199242,7
48254,7
23470,7
47195,7
13442,7
53667,7
12956,7
6496,7
6427,7
54994,7
17025,7
24600,7
64437,6
200325,6
31577,6
30961,6
200019,6
9760,6
3844,6
28398,6
263945,6
328832,6
8195,6
6057,6
62768,6
132337,6
19653,6
6762,6
328137,6
41722,6
28320,6
37662,6
15605,6
19422,6
56696,6
1916,6
50482,6
36080,6
44907,6
271860,6
58061,6
35280,6
46844,6
22720,6
9094,6
27589,5
202492,5
58521,5
64114,5
38369,5
215300,5
12640,5
202425,5
400754,5
206264,5
49635,5
270069,5
199524,5
45090,5
54641,5
42532,5
197540,4
271803,4
265691,4
273000,4
52368,4
270012,4
397273,4
393299,4
32494,4
201106,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
329356,4
132602,4
9730,4
14555,4
25697,4
139341,4
30109,4
202054,4
25354,4
12322,4
266757,4
61482,4
5761,4
29169,4
50989,4
33182,4
27651,4
47422,4
56958,3
62068,3
10983,3
42567,3
8708,3
24482,3
1251,3
52580,3
23576,3
6185,3
398256,3
137409,3
8048,3
40699,3
273133,3
138627,3
200960,3
21575,3
397849,3
30277,3
49714,3
44534,3
61976,3
14340,3
30083,3
44901,3
61317,3
28753,3
214124,3
43641,3
207970,3
33676,3
7589,3
24961,3
48729,3
11807,3
263173,3
35589,3
265839,2
216014,2
45753,2
11014,2
200320,2
53755,2
11432,2
20068,2
267682,2
29182,2
62243,2
54913,2
32780,2
18945,2
264713,2
46475,2
33191,2
208769,2
34699,2
35916,2
50980,2
49981,2
33157,2
8739,2
269803,2
34222,2
63760,2
61969,2
27647,2
29066,2
263224,2
400940,2
29222,2
401200,2
12678,2
200521,2
44477,2
4258,2
11041,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
49287,2
19782,2
61568,2
200039,2
132045,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
23520,2
48641,2
35360,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
7941,2
216154,2
215845,2
273584,2
52278,2
28250,2
4694,2
16371,2
24611,2
32338,2
199968,2
14466,2
20264,2
19648,2
205796,2
262256,2
13348,2
36352,2
9764,2
30950,1
39534,1
3768,1
47447,1
3816,1
138341,1
205544,1
27640,1
64161,1
203178,1
212332,1
41441,1
48669,1
63648,1
12488,1
131965,1
42422,1
12357,1
200000,1
15685,1
214390,1
207569,1
60550,1
205762,1
65115,1
59524,1
39560,1
400513,1
26752,1
207728,1
22653,1
60527,1
139057,1
40065,1
31586,1
55081,1
270068,1
57344,1
208488,1
28526,1
45420,1
394303,1
63362,1
18450,1
267871,1
278,1
52011,1
3920,1
35908,1
24572,1
45985,1
52438,1
207809,1
150078,1
42730,1
394432,1
393874,1
16814,1
15149,1
63199,1
398743,1
54308,1
37936,1
55593,1
57352,1
39686,1
211864,1
54467,1
15083,1
18747,1
52148,1
48040,1
200107,1
198993,1
215402,1
399250,1
53107,1
18801,1
56872,1
3790,1
2514,1
7393,1
198032,1
12993,1
209847,1
200449,1
57542,1
57088,1
265652,1
10954,1
23140,1
27828,1
10439,1
46440,1
204601,1
3387,1
61210,1
35744,1
10929,1
56898,1
396356,1
19969,1
9123,1
58212,1
46529,1
393689,1
26978,1
61144,1
36165,1
19373,1
197712,1
44998,1
6656,1
52341,1
35425,1
198792,1
41976,1
59253,1
395226,1
51852,1
27223,1
212792,1
399937,1
8987,1
7859,1
208119,1
138650,1
42220,1
273993,1
271900,1
30058,1
8069,1
152880,1
39134,1
36066,1
206980,1
399566,1
6306,1
272022,1
263189,1
34953,1
60144,1
3352,1
395299,1
55569,1
33083,1
12521,1
25970,1
151373,1
16556,1
27809,1
41690,1
272816,1
14824,1
22049,1
14576,1
210630,1
197664,1
31617,1
265869,1
132111,1
60526,1
16839,1
60503,1
9752,1
397569,1
6724,1
53332,1
9129,1
22185,1
23876,1
206216,1
28977,1
214308,1
200651,1
54288,1
32866,1
264626,1
201744,1
51520,1
399358,1
54290,1
61098,1
27862,1
24971,1
965,1
396073,1
200195,1
213438,1
55286,1
57,1
19973,1
52489,1
211922,1
17860,1
36459,1
269843,1
56803,1
11281,1
209674,1
203976,1
