asn,nb_hostnames
395747,1840
21664,573
213120,485
35540,446
394507,251
394192,158
50474,124
55943,103
39572,77
12322,77
8075,62
62567,60
204915,55
19551,54
53589,37
2057,36
8560,30
215859,28
7979,27
29222,27
57633,25
15317,23
8839,22
40824,22
24600,22
31936,20
63293,19
60855,18
60068,17
25117,16
14853,16
8228,15
2635,15
214455,13
50583,13
45666,13
200449,12
19648,11
14907,11
209349,11
139263,10
60781,10
29169,9
12640,8
138179,8
6656,8
56017,8
141995,8
199636,8
34993,7
401200,7
48744,7
46606,7
200325,7
6496,7
30148,6
42567,6
4770,6
58061,6
60362,5
53824,5
26347,5
133795,5
14489,5
27589,5
54994,5
200356,5
15685,4
131248,4
214124,4
50989,4
201896,4
199777,4
50446,4
15699,4
37963,4
41653,4
8304,4
51888,4
50624,4
49457,4
17025,4
213232,4
39241,3
43311,3
32338,3
205461,3
203461,3
50980,3
47836,3
7941,3
210770,3
48140,3
56898,3
5761,3
48594,3
12565,3
12178,3
33157,3
57809,3
21217,3
6185,3
210403,3
64437,3
41233,3
6738,3
39162,3
208128,3
48703,3
200019,3
62856,3
44907,3
26496,3
15456,2
34235,2
34863,2
134405,2
216353,2
49612,2
9009,2
42845,2
38369,2
199218,2
48809,2
44297,2
49981,2
213394,2
36420,2
43424,2
201085,2
202053,2
22612,2
44160,2
6427,2
39534,2
24482,2
44534,2
49714,2
34655,2
27647,2
45420,2
139341,2
3259,2
137409,2
61098,2
10753,2
328832,2
4200000021,2
33191,2
199167,2
62000,2
31178,2
202321,2
204601,2
18200,2
199758,2
49287,2
395458,2
47422,2
197505,1
44141,1
197788,1
5410,1
47293,1
39444,1
214943,1
44527,1
25563,1
48669,1
22720,1
40021,1
13601,1
198792,1
10480,1
208276,1
133409,1
51013,1
138506,1
211068,1
4258,1
33930,1
204142,1
60550,1
400513,1
44716,1
12732,1
24611,1
39104,1
29110,1
41528,1
394277,1
197883,1
22653,1
207970,1
47846,1
3457,1
200596,1
20900,1
48684,1
198610,1
9159,1
26752,1
210274,1
208789,1
38719,1
15703,1
8069,1
203639,1
31577,1
202757,1
46475,1
12678,1
36786,1
20546,1
399358,1
13193,1
61976,1
212815,1
51038,1
200107,1
41690,1
18905,1
63362,1
35344,1
214390,1
25593,1
208353,1
39686,1
204050,1
39239,1
50482,1
63240,1
52468,1
45352,1
136373,1
6327,1
37662,1
41722,1
52320,1
62768,1
12956,1
17984,1
9015,1
19782,1
328137,1
61568,1
200039,1
132045,1
20764,1
2027,1
19653,1
13786,1
51530,1
196753,1
28320,1
64475,1
6762,1
207841,1
270014,1
44684,1
18881,1
35589,1
23520,1
56696,1
48641,1
35360,1
8708,1
7589,1
17668,1
132337,1
15958,1
2614,1
14016,1
15605,1
28398,1
35600,1
19422,1
38726,1
1031,1
3844,1
29049,1
4134,1
35598,1
1916,1
264409,1
52025,1
50628,1
14537,1
8195,1
205920,1
6057,1
263945,1
15802,1
15401,1
24898,1
213466,1
199524,1
16839,1
6724,1
30961,1
23576,1
35744,1
59689,1
3695,1
50982,1
36818,1
61144,1
40699,1
393874,1
197540,1
43532,1
197696,1
3920,1
57168,1
13273,1
55293,1
39931,1
47160,1
208488,1
204556,1
209227,1
25540,1
35280,1
62243,1
56798,1
53667,1
6698,1
60047,1
211505,1
53332,1
59692,1
150172,1
12929,1
2514,1
20264,1
27264,1
4150,1
30600,1
212531,1
44477,1
11281,1
206979,1
202425,1
28774,1
197161,1
41191,1
31586,1
696,1
206264,1
47543,1
29104,1
36352,1
14441,1
397849,1
56341,1
133096,1
36459,1
52120,1
13571,1
13733,1
30361,1
29182,1
15826,1
55081,1
