asn,nb_hostnames
395747,4335
21664,1344
213120,701
394507,537
394192,418
204915,160
8075,148
62567,127
39572,112
16276,87
215859,87
2635,79
22612,57
37963,52
19551,51
133795,50
47846,50
31936,48
40824,45
7979,42
5545,39
60781,38
46606,36
26496,34
38369,30
211612,30
63293,29
214455,29
401200,27
14853,27
132680,26
55792,25
27589,21
14907,19
200325,19
38544,18
38719,17
53824,17
30148,15
14441,15
12178,15
32338,15
3457,14
136587,14
36420,13
4738,13
58294,11
204800,11
44907,10
45090,10
139341,10
8560,10
26666,10
54641,10
59692,9
136557,9
9009,9
27647,9
215740,9
202425,9
214124,8
55532,8
58061,8
53667,8
45924,8
10753,8
63945,8
9280,8
399250,7
23352,7
38009,7
64437,7
55293,7
215300,7
10480,7
200019,7
40021,7
138341,6
33837,6
27267,6
26347,6
131603,6
36352,6
12322,6
132016,6
133159,5
60144,5
398256,5
57724,5
151373,5
150078,5
13442,5
56898,5
210250,5
54994,5
39896,5
6698,5
141995,5
22720,5
59778,4
4258,4
266400,4
131073,4
32097,4
49714,4
13238,4
49981,4
200449,4
139898,4
5761,4
134688,4
14576,4
202053,4
6185,4
27223,4
48254,4
46864,4
63410,4
140290,4
7859,3
50980,3
31586,3
14466,3
18945,3
203639,3
3920,3
4822,3
34655,3
139144,3
44009,3
201755,3
135097,3
46130,3
397849,3
40034,3
19648,3
786,3
207728,3
45420,3
24961,3
399566,3
7941,3
206264,3
13601,3
37153,3
215845,3
211922,3
48760,3
14113,3
48040,3
199524,3
131138,3
205585,2
54290,2
133050,2
23421,2
43641,2
48729,2
19853,2
18905,2
61976,2
14315,2
137409,2
30961,2
62243,2
9123,2
400754,2
31727,2
133104,2
40509,2
133096,2
35280,2
36066,2
36459,2
33387,2
47264,2
34119,2
202492,2
11105,2
35425,2
44477,2
13037,2
198993,2
42567,2
45474,2
9371,2
24611,2
28753,2
8705,2
9552,2
12488,2
45179,2
200000,2
142592,2
393689,2
216154,2
4129,2
55960,2
139057,2
213232,2
141825,2
133162,2
9509,2
132193,2
131965,2
138506,2
134605,2
13830,2
15817,2
55688,2
397273,2
398787,2
51852,2
213166,2
20756,2
9986,2
394297,2
9764,2
199218,2
24600,2
49352,2
17409,2
7203,2
17477,2
2057,2
23033,1
132856,1
41690,1
131640,1
14415,1
40545,1
30994,1
34788,1
19153,1
33265,1
32,1
150689,1
51392,1
204018,1
33157,1
45894,1
212792,1
5723,1
20616,1
45213,1
214390,1
35908,1
46981,1
62744,1
329278,1
28917,1
23522,1
395092,1
210032,1
57344,1
399358,1
134433,1
17025,1
51433,1
43937,1
10098,1
60114,1
17561,1
400797,1
23816,1
24572,1
27522,1
15535,1
58487,1
63290,1
141190,1
24192,1
147303,1
24211,1
153568,1
40539,1
63362,1
133618,1
328797,1
11773,1
150436,1
11281,1
42846,1
26753,1
14555,1
54552,1
19181,1
13438,1
64999,1
32632,1
17363,1
21217,1
141518,1
11807,1
17841,1
152880,1
13443,1
212219,1
12678,1
11106,1
3361,1
42465,1
30083,1
29182,1
58613,1
19324,1
4769,1
18779,1
3768,1
393874,1
8069,1
131392,1
397423,1
46475,1
215402,1
207970,1
400940,1
19106,1
20847,1
39134,1
28513,1
45721,1
23693,1
21345,1
400513,1
205072,1
55081,1
46844,1
210520,1
38631,1
38623,1
36666,1
213340,1
6360,1
59943,1
62856,1
6496,1
207809,1
328832,1
12993,1
48669,1
58212,1
12064,1
60362,1
8312,1
200107,1
35179,1
138663,1
39686,1
28839,1
2514,1
204601,1
9752,1
52000,1
25764,1
264254,1
4872,1
18229,1
26277,1
7011,1
132200,1
9930,1
49287,1
48314,1
53038,1
44160,1
56128,1
136620,1
3387,1
38880,1
61144,1
24226,1
24282,1
60592,1
395412,1
29066,1
197019,1
47242,1
56057,1
34304,1
10929,1
23470,1
212490,1
20126,1
138200,1
215846,1
148000,1
200532,1
201936,1
8262,1
30340,1
26928,1
140576,1
202656,1
62563,1
53850,1
6724,1
136165,1
23576,1
51468,1
327979,1
21009,1
137687,1
58461,1
398743,1
394303,1
7544,1
702,1
8739,1
56325,1
39202,1
215206,1
398017,1
198066,1
53332,1
22653,1
204846,1
58460,1
32780,1
15479,1
35916,1
55914,1
59796,1
5793,1
62755,1
20033,1
205193,1
55720,1
133752,1
45753,1
57,1
24482,1
197540,1
198849,1
139736,1
36057,1
329184,1
63199,1
56872,1
6939,1
25184,1
25820,1
5381,1
33191,1
198610,1
30475,1
25697,1
397023,1
59467,1
22560,1
211864,1
40651,1
12926,1
41441,1
131423,1
18563,1
208488,1
208561,1
8796,1
53269,1
202368,1
28810,1
30081,1
203976,1
202242,1
36850,1
15967,1
13820,1
56163,1
38826,1
9760,1
56302,1
45355,1
37130,1
395532,1
138415,1
139360,1
44094,1
396176,1
214685,1
200195,1
213438,1
133905,1
200313,1
38169,1
58153,1
24971,1
45644,1
136521,1
55470,1
42800,1
1916,1
132692,1
148968,1
136921,1
