asn,nb_hostnames
395747,4772
21664,1689
213120,512
394507,355
394192,292
139341,274
8075,214
45664,111
62567,97
204915,83
37963,81
16276,70
19551,59
7544,52
39572,51
215859,50
26496,45
38369,44
4775,40
31936,33
214455,32
3457,25
63293,25
30148,24
38180,22
54994,20
138341,20
141995,20
13442,17
5545,17
45090,16
7979,16
2635,16
55821,16
211612,16
14853,16
133795,14
59692,14
60781,12
14907,12
35280,11
397849,11
38553,11
395458,11
46606,10
26666,10
22612,10
23576,9
55293,9
152584,9
140708,9
36420,8
23996,8
200325,8
10753,8
17668,8
40824,8
204450,8
63966,7
135423,7
27589,7
140878,7
33837,7
6496,7
18310,7
53824,7
6939,7
49981,7
202492,7
23942,7
9764,7
200019,6
139831,6
58061,6
24572,6
44907,6
6698,6
199524,6
45600,6
57724,5
23816,5
202425,5
151373,5
150436,5
4779,5
24482,5
3844,5
28398,5
18881,5
12956,5
263945,5
328832,5
8195,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
24600,5
15605,5
19422,5
56696,5
1916,5
50482,5
137409,5
12178,5
49287,5
36678,5
54641,5
7203,5
27267,4
132905,4
51852,4
132193,4
53303,4
53667,4
45221,4
64437,4
26347,4
139144,4
58521,4
18233,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
8919,4
396390,4
61568,4
29169,4
52167,4
45517,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
5381,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
63199,4
10480,4
398256,4
134481,3
42567,3
36080,3
36516,3
206264,3
13238,3
49714,3
136032,3
64008,3
22720,3
45858,3
139852,3
17452,3
4837,3
6185,3
400275,3
14340,3
9927,3
215740,3
62068,3
4258,3
17448,3
7941,3
401200,3
32338,3
140599,3
5761,3
7684,3
35908,3
201106,3
56898,2
64231,2
8560,2
200651,2
10122,2
202053,2
63410,2
24282,2
207728,2
152135,2
140688,2
150008,2
23820,2
136961,2
34119,2
396986,2
393874,2
394432,2
36459,2
215300,2
18945,2
214124,2
27647,2
9123,2
14441,2
59253,2
26277,2
53850,2
32097,2
200449,2
9707,2
61976,2
206980,2
201744,2
48729,2
33191,2
40034,2
59371,2
24961,2
46475,2
7859,2
18018,2
46864,2
45804,2
12640,2
213232,2
9760,2
23944,2
28753,2
5377,2
42532,2
26042,1
133050,1
131965,1
400104,1
11878,1
55720,1
23421,1
36776,1
26584,1
133905,1
23884,1
29091,1
24256,1
22017,1
134707,1
63993,1
61144,1
50980,1
142594,1
15699,1
395409,1
3768,1
134490,1
131921,1
136191,1
38019,1
135054,1
58563,1
10010,1
135084,1
133068,1
24971,1
397273,1
208488,1
131392,1
209622,1
9688,1
133064,1
23393,1
396458,1
62468,1
18229,1
9059,1
18187,1
208058,1
36850,1
48282,1
393689,1
3387,1
3920,1
20068,1
30340,1
45370,1
13601,1
34309,1
211922,1
393299,1
32494,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
30109,1
34342,1
211316,1
210275,1
45894,1
19324,1
680,1
17841,1
45218,1
18456,1
23522,1
19973,1
207569,1
63760,1
38631,1
132059,1
26978,1
138650,1
53976,1
150078,1
62856,1
54288,1
45753,1
149656,1
212792,1
131138,1
52130,1
63848,1
38183,1
42106,1
12488,1
215402,1
399358,1
131106,1
393400,1
152173,1
18016,1
41690,1
2665,1
62243,1
4835,1
17895,1
25709,1
30475,1
29066,1
199729,1
27522,1
134788,1
136513,1
23033,1
29222,1
39134,1
45324,1
142002,1
7393,1
61210,1
14472,1
7506,1
53332,1
214390,1
205762,1
65115,1
40699,1
56163,1
11281,1
205193,1
31586,1
149027,1
40021,1
32,1
26752,1
211864,1
395092,1
22194,1
55615,1
12678,1
36706,1
32903,1
216154,1
400754,1
9607,1
51905,1
40728,1
199414,1
398493,1
22653,1
45499,1
17477,1
132792,1
48254,1
4694,1
140641,1
45474,1
53292,1
9752,1
207970,1
19976,1
34222,1
40394,1
45974,1
44066,1
48040,1
53755,1
133098,1
2514,1
55532,1
8069,1
23470,1
48763,1
397497,1
63362,1
19225,1
216071,1
37936,1
200195,1
213438,1
17761,1
204800,1
398743,1
577,1
40065,1
24611,1
7671,1
216047,1
57088,1
27653,1
50474,1
36352,1
9009,1
202242,1
46440,1
