asn,nb_hostnames
395747,4983
21664,889
213120,413
204915,388
394507,302
215859,168
8075,160
394192,157
39572,141
59323,129
16276,123
45773,113
62567,95
204034,85
395458,68
23888,67
204450,64
22612,60
214455,57
48254,51
7590,51
37963,49
23674,47
38264,43
24440,43
26496,42
141995,40
17668,37
328832,35
17025,34
50482,34
37662,34
41722,34
10753,34
62768,34
12956,34
328137,34
19653,34
24600,34
28320,34
6762,34
18881,34
56696,34
132337,34
15605,34
28398,34
19422,34
3844,34
1916,34
8195,34
6496,34
6057,34
263945,34
15802,34
49287,33
137409,33
24482,33
8708,33
63240,32
52468,32
45352,32
136373,32
6327,32
52320,32
17984,32
8919,32
396390,32
61568,32
29169,32
52167,32
45517,32
20764,32
2027,32
13786,32
51530,32
196753,32
64475,32
207841,32
270014,32
136620,32
5381,32
23520,32
48641,32
35360,32
7589,32
15958,32
2614,32
14016,32
35600,32
38726,32
1031,32
29049,32
36678,32
35598,32
264409,32
52025,32
50628,32
14537,32
205920,32
139341,31
26666,28
46606,25
7979,24
204800,24
17563,23
31936,22
63293,22
19551,22
38369,22
38193,20
54994,20
135523,20
60781,18
29066,18
2635,17
52148,16
153561,15
133795,15
9940,13
55293,12
139144,12
45090,12
46475,12
30148,11
141450,11
53824,11
8560,10
211612,10
5545,10
3457,10
12322,10
40824,10
13442,9
59692,9
58061,9
14907,9
202425,9
36420,9
62068,9
14853,9
138424,8
49981,8
57724,8
56898,8
200019,8
59257,8
27589,7
138019,7
58521,7
14441,7
397423,7
38196,7
202492,6
10480,6
33837,6
58893,6
150078,6
32338,5
55501,5
200325,5
150350,5
37496,5
136030,5
200449,5
139024,5
152890,5
44907,5
12178,5
397849,4
19969,4
210275,4
152638,4
136184,4
62390,4
18945,4
138453,4
136602,4
6185,4
18779,4
40021,4
63410,4
9730,4
6698,4
213232,4
35425,4
40009,3
56126,3
134963,3
199729,3
27176,3
19324,3
17539,3
3920,3
139057,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6939,3
262427,3
37251,3
327788,3
132602,3
215300,3
23750,3
8960,3
198610,3
136974,3
153354,3
61976,3
7941,3
133719,3
64437,3
141008,3
133933,3
137,3
38547,3
211922,3
54641,3
199524,3
24961,2
30277,2
141711,2
151373,2
203315,2
5761,2
11807,2
136012,2
134489,2
215322,2
18359,2
140594,2
62563,2
51433,2
147055,2
205435,2
138341,2
135377,2
30475,2
53292,2
136174,2
53667,2
141990,2
43641,2
51468,2
63993,2
197540,2
59939,2
45753,2
45748,2
36080,2
49714,2
13238,2
152194,2
17911,2
55816,2
42848,2
9009,2
59253,2
136384,2
48040,2
34119,2
28753,2
206264,2
24572,2
150750,2
398256,2
23576,2
9387,2
26347,2
198032,2
33191,2
397273,2
51905,2
133070,2
23352,2
150784,2
42532,2
20756,2
198983,1
149440,1
27647,1
17787,1
36114,1
7859,1
142120,1
150308,1
211904,1
198993,1
48669,1
200356,1
4200000021,1
32903,1
25820,1
151330,1
149419,1
201755,1
137047,1
400754,1
786,1
131220,1
58609,1
24971,1
207970,1
48763,1
56302,1
9123,1
214390,1
63760,1
10242,1
62243,1
211381,1
58617,1
63173,1
23470,1
40065,1
55106,1
44803,1
22049,1
56872,1
58515,1
39239,1
22194,1
49474,1
138985,1
210848,1
49610,1
52012,1
199218,1
203976,1
58294,1
17762,1
9760,1
38913,1
205139,1
200487,1
150671,1
131275,1
29757,1
7684,1
25668,1
12929,1
204010,1
150371,1
204206,1
13727,1
205193,1
398493,1
34931,1
56111,1
135661,1
5467,1
33387,1
24499,1
36706,1
20847,1
2665,1
200195,1
213438,1
25697,1
38488,1
36352,1
211864,1
35258,1
24435,1
55532,1
55470,1
3320,1
141421,1
14113,1
44477,1
152605,1
214943,1
31458,1
3387,1
61144,1
401200,1
36850,1
131471,1
49352,1
205373,1
201773,1
7203,1
394695,1
29691,1
207728,1
11019,1
60602,1
139879,1
8523,1
44932,1
36459,1
32097,1
59442,1
14315,1
24611,1
23816,1
141372,1
44901,1
30083,1
57168,1
211522,1
53767,1
58062,1
10578,1
29889,1
196763,1
62005,1
147168,1
18456,1
7057,1
136165,1
207713,1
147031,1
201200,1
41690,1
14555,1
201409,1
215402,1
393689,1
13830,1
57629,1
60016,1
33528,1
200928,1
56341,1
141518,1
965,1
42567,1
53755,1
22720,1
397373,1
45894,1
19853,1
56682,1
200000,1
202368,1
216071,1
214744,1
8069,1
9937,1
23421,1
211942,1
34309,1
150436,1
63362,1
28885,1
215740,1
141778,1
15479,1
200851,1
53850,1
198913,1
140900,1
51091,1
62904,1
35280,1
202024,1
9707,1
399358,1
39560,1
39134,1
30886,1
141164,1
43962,1
153525,1
151983,1
26153,1
10840,1
399566,1
140210,1
31577,1
200514,1
50980,1
393874,1
15699,1
198095,1
23033,1
135905,1
11281,1
63954,1
200521,1
20068,1
9752,1
215845,1
205585,1
205111,1
51970,1
56163,1
38584,1
51852,1
60885,1
2514,1
133861,1
213051,1
48729,1
57344,1
147066,1
63068,1
139577,1
