asn,nb_hostnames
395747,3366
35540,705
21664,676
213120,426
34360,411
60047,328
34342,316
215859,263
394507,204
394192,180
12824,177
47544,122
8075,119
48896,86
203417,85
19551,81
62567,81
15967,75
31080,62
12912,58
34275,57
39572,55
8535,55
56682,53
206972,52
50840,48
198547,48
56324,37
21288,37
200088,37
212422,36
12743,30
31936,27
39566,26
14907,26
60781,25
213340,25
59692,23
51025,22
196818,22
47195,21
8364,20
207728,19
15317,19
8267,19
42656,19
25506,18
58061,17
49612,17
63293,17
208058,16
204915,16
214455,16
24971,16
8256,15
141995,14
5550,14
61976,14
198704,13
198921,12
8560,12
40824,12
207970,11
49981,11
60068,11
41464,10
12322,10
49714,10
44534,10
56752,10
210379,10
39392,10
15541,10
207208,10
52130,9
59467,9
21344,9
7979,9
15744,9
8970,9
200325,9
43037,8
6697,8
61158,8
12346,8
60713,7
44477,7
32338,7
34324,7
39599,7
64437,7
47322,7
57305,7
204770,7
14853,7
15396,7
14956,6
202425,6
133795,6
16182,6
27589,6
204601,6
213232,6
61983,6
50989,6
199953,6
395458,6
17668,6
50993,5
30818,5
15685,5
43062,5
199524,5
44696,5
41468,5
201737,5
24929,5
35686,5
29536,5
206980,5
62243,5
35280,5
213530,5
39255,5
51619,5
24600,5
204987,5
197019,5
12618,5
215300,4
2635,4
25523,4
21064,4
197285,4
205644,4
42520,4
53667,4
35744,4
44907,4
211381,4
34656,4
51203,4
29254,4
34222,4
20546,4
28689,4
8856,4
48559,4
35179,4
34409,4
24961,4
200449,4
196890,4
205585,4
200019,4
206566,4
51433,4
3457,4
8288,4
17025,4
50482,4
37662,4
41722,4
10753,4
62768,4
12956,4
328137,4
19653,4
28320,4
6762,4
18881,4
56696,4
132337,4
15605,4
28398,4
19422,4
3844,4
1916,4
8195,4
328832,4
6496,4
6057,4
263945,4
51852,4
21495,4
8865,4
16274,4
24879,4
48428,4
202053,4
202242,4
44896,4
47422,4
204870,3
207311,3
12640,3
206264,3
24482,3
48729,3
7203,3
206548,3
210756,3
48505,3
25234,3
29272,3
60330,3
8726,3
15512,3
48534,3
44514,3
28785,3
26666,3
196899,3
197935,3
8834,3
48040,3
43476,3
36420,3
215740,3
49946,3
6698,3
12464,3
9123,3
57569,3
35787,3
49494,3
25552,3
214349,3
34309,3
51323,3
28950,3
34284,3
9085,3
212792,3
43091,3
44880,3
45026,3
59939,3
29686,3
12178,3
35589,3
45090,3
26496,3
34432,3
34826,3
44044,3
50101,2
212663,2
8766,2
56898,2
47447,2
42194,2
204544,2
12678,2
196935,2
29066,2
35281,2
25154,2
206523,2
199648,2
25393,2
209392,2
60144,2
24756,2
198884,2
57088,2
197124,2
202667,2
205762,2
47888,2
60248,2
5761,2
34339,2
42945,2
29208,2
39686,2
10480,2
46606,2
47577,2
47695,2
197457,2
44901,2
31105,2
60955,2
211922,2
206937,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
9015,2
49287,2
19782,2
61568,2
29169,2
200039,2
132045,2
20764,2
137409,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
44684,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
4134,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
15802,2
206019,2
41660,2
202492,2
3223,2
43962,2
44959,2
7941,2
202368,2
43641,2
205505,2
54994,2
14824,2
205671,2
12642,2
207012,2
55293,2
44112,2
44386,2
35174,2
48565,2
200000,2
50837,2
48707,2
200386,2
2571,2
6724,2
213737,2
49611,2
43932,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
6427,2
262427,2
37251,2
329356,2
132602,2
9730,2
211187,2
198627,2
34369,2
59796,2
39914,2
8193,2
23576,2
202816,2
214813,2
202050,2
199236,2
199218,2
201012,2
210644,2
30813,2
35745,2
49102,2
49352,2
59524,2
200534,2
207325,2
62370,2
