asn,nb_hostnames
395747,3892
21664,1500
213120,1198
394192,517
394507,365
8075,341
16276,121
19551,105
62567,90
2635,68
30148,66
26496,66
39572,61
5786,57
204915,52
211612,42
215859,37
399566,36
14853,36
14441,34
11992,34
53824,34
8560,32
5545,32
31936,30
46606,28
10396,28
3457,23
22720,23
63293,22
13568,20
40824,20
23352,19
401200,18
59692,17
60781,17
18895,17
20372,17
35280,16
200325,15
7979,15
214455,15
213232,15
26666,14
26347,14
13442,13
10480,13
22612,13
55293,13
63410,12
27589,12
10753,12
133795,11
36420,11
400754,11
14907,11
45090,10
33157,10
6698,10
14340,9
48254,9
54641,9
37963,8
31577,8
57724,8
27522,8
204800,8
398787,7
53667,7
22414,7
58061,7
29992,7
33265,7
42567,6
215300,6
205193,6
30526,6
33837,6
215740,6
395471,6
202425,6
27647,6
62627,6
6185,6
36356,6
13601,5
15699,5
46864,5
5761,5
20333,5
206264,5
40021,5
39020,5
397849,5
14415,5
22194,5
30246,5
64437,5
22888,4
140290,4
13788,4
5704,4
200019,4
18881,4
23522,4
23550,4
19110,4
14576,4
53922,4
6496,4
18738,4
6939,4
38369,4
14304,4
46844,4
36080,4
9059,4
62856,4
46269,4
12178,4
32866,4
19973,4
32632,3
7393,3
7859,3
63240,3
8076,3
11653,3
198934,3
398851,3
25354,3
47111,3
27213,3
7941,3
49981,3
12322,3
19324,3
27223,3
30109,3
3387,3
395902,3
36066,3
200521,3
42532,3
393937,3
26752,3
8070,3
44907,3
54994,3
26148,3
11273,3
199218,3
46941,2
204601,2
394931,2
42612,2
216071,2
3728,2
13892,2
23421,2
12678,2
139341,2
62802,2
215845,2
40056,2
32097,2
19785,2
397423,2
201744,2
367,2
22112,2
60114,2
138650,2
26298,2
62068,2
32338,2
216154,2
18905,2
33191,2
36459,2
24611,2
30277,2
24482,2
211922,2
4373,2
32780,2
200449,2
11211,2
14832,2
60550,2
40244,2
4258,2
3768,2
207970,2
11915,2
81,2
56898,2
10857,2
22878,2
39936,2
215402,2
214124,2
23576,2
15147,2
212792,2
271803,2
13450,2
200195,2
14824,2
15130,2
13238,2
49714,2
16371,2
400275,2
46475,2
23470,2
393874,2
26254,2
7203,2
17289,2
771,2
33664,2
14113,2
8195,2
36488,2
12357,2
20033,2
13348,2
5774,1
8103,1
41976,1
210656,1
21633,1
150436,1
29182,1
63444,1
26461,1
20388,1
57833,1
57088,1
394303,1
13866,1
19225,1
28526,1
43520,1
274483,1
13409,1
328832,1
30387,1
53303,1
396377,1
60144,1
29222,1
395605,1
34119,1
58593,1
6181,1
39134,1
30880,1
43043,1
62839,1
34222,1
29066,1
396356,1
30076,1
15083,1
15685,1
200960,1
395226,1
30058,1
36850,1
200044,1
35744,1
400956,1
36776,1
16649,1
137409,1
36352,1
55284,1
19219,1
9009,1
207569,1
58487,1
32903,1
54961,1
48040,1
14959,1
13628,1
62563,1
397497,1
5974,1
11432,1
42730,1
152880,1
17156,1
7116,1
399250,1
264713,1
46505,1
394912,1
21994,1
11019,1
15148,1
12001,1
61098,1
12092,1
49635,1
29919,1
214390,1
54290,1
27267,1
12064,1
40831,1
141995,1
199524,1
26978,1
39686,1
265839,1
14555,1
797,1
26848,1
54020,1
394085,1
4694,1
198425,1
15164,1
401764,1
61976,1
58212,1
4152,1
397373,1
8361,1
5852,1
14985,1
26441,1
63362,1
22109,1
54848,1
23784,1
5381,1
8473,1
39825,1
27064,1
61210,1
203178,1
53697,1
36678,1
6724,1
5972,1
51852,1
16577,1
6208,1
45420,1
8739,1
46896,1
48763,1
200514,1
278,1
35425,1
3262,1
398743,1
3920,1
29691,1
25697,1
42422,1
30464,1
13886,1
1540,1
12640,1
24971,1
15535,1
57352,1
21581,1
40238,1
48729,1
24961,1
62659,1
6621,1
50474,1
54112,1
393689,1
47000,1
5182,1
19181,1
393573,1
36057,1
54649,1
12171,1
202242,1
62243,1
4129,1
23393,1
198968,1
55374,1
2514,1
17251,1
19878,1
197816,1
13041,1
44477,1
16912,1
30340,1
19969,1
197712,1
40428,1
49287,1
131965,1
215846,1
214685,1
207728,1
36114,1
49127,1
2571,1
397187,1
62813,1
17025,1
3816,1
200651,1
50980,1
31586,1
397781,1
22653,1
10297,1
207809,1
21521,1
14197,1
62005,1
41690,1
21787,1
13791,1
200928,1
56341,1
22625,1
12182,1
139144,1
395048,1
36818,1
3129,1
55081,1
52438,1
34309,1
33182,1
15261,1
25864,1
397920,1
64512,1
12338,1
30599,1
198792,1
13506,1
10695,1
53332,1
6352,1
46513,1
18945,1
213438,1
53755,1
42649,1
46600,1
10389,1
8001,1
24898,1
33083,1
33676,1
30818,1
215206,1
11882,1
399358,1
11281,1
396146,1
10929,1
33208,1
398997,1
52489,1
263173,1
395412,1
27264,1
4150,1
30600,1
61144,1
22017,1
205762,1
65115,1
394112,1
24572,1
512,1
15176,1
205796,1
