asn,nb_hostnames
395747,4786
21664,870
213120,550
394507,442
394192,355
215859,259
204915,193
16276,184
31408,156
62567,125
8075,116
39572,112
5545,46
51407,44
26496,44
31936,42
214455,42
141995,41
22612,37
19551,35
61274,34
40824,34
7979,33
213232,31
60781,29
26666,27
37963,24
63293,23
211612,22
42506,21
46606,20
2635,20
14907,20
54641,20
27589,19
14441,19
139341,19
12178,19
49981,18
32338,18
38369,16
59692,15
35656,15
204548,15
200325,14
3457,13
29066,13
30148,13
8560,13
204800,13
12400,12
133795,12
62068,12
57724,12
25586,12
44907,11
12322,11
395458,11
14853,11
8584,10
8203,10
139256,10
36420,10
214124,10
17668,10
58061,9
10753,9
328832,9
209622,9
61976,9
24600,9
8195,8
54994,8
58521,8
8867,8
6496,8
207970,8
204450,8
29310,7
17025,7
50482,7
37662,7
41722,7
62768,7
12956,7
328137,7
19653,7
28320,7
6762,7
18881,7
56696,7
132337,7
15605,7
28398,7
19422,7
3844,7
1916,7
6057,7
263945,7
216014,7
48270,7
207208,7
6698,7
7203,7
13238,6
49714,6
42567,6
64437,6
202425,6
33837,6
59451,6
200019,6
48729,6
53824,6
215300,6
49287,6
13442,5
10480,5
46475,5
48832,5
137409,5
24482,5
62243,5
45090,5
41346,5
24961,5
214920,5
397849,5
60144,5
55293,5
8376,5
56898,5
3920,5
137,5
15802,5
199729,5
6185,5
199218,5
206264,4
23470,4
8069,4
61102,4
51433,4
63410,4
204601,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
8919,4
396390,4
61568,4
29169,4
52167,4
45517,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
5381,4
23520,4
48641,4
35360,4
8708,4
7589,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
36678,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
200449,4
20719,4
35280,4
9038,4
59467,4
207809,4
139057,4
398256,4
50980,4
205435,4
2611,4
40021,4
139144,4
786,3
49610,3
211329,3
63760,3
211922,3
48254,3
199524,3
207728,3
57775,3
211942,3
2561,3
36352,3
35425,3
7941,3
50474,3
4258,3
12754,3
26347,3
400754,3
51605,3
51722,3
205762,3
204626,3
14576,3
53667,3
36057,3
27223,3
65007,3
40699,3
58294,3
151373,3
59394,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6939,3
262427,3
37251,3
327788,3
132602,3
9730,3
200651,3
199979,3
5761,3
46844,3
197540,3
150078,3
22720,3
201768,3
3387,2
397273,2
8697,2
203417,2
42848,2
51468,2
14361,2
53850,2
395092,2
52148,2
14555,2
57344,2
138341,2
24971,2
9123,2
36459,2
207605,2
400275,2
50517,2
211871,2
198610,2
9009,2
150436,2
8517,2
36066,2
197921,2
34119,2
47195,2
13830,2
9524,2
399358,2
212792,2
205544,2
32097,2
212531,2
401200,2
52145,2
33387,2
34655,2
7859,2
14824,2
24611,2
65115,2
14472,2
47887,2
44128,2
50979,2
198032,2
34699,2
13601,2
43641,2
198913,2
54290,2
6879,2
208071,2
24863,2
133719,2
33191,2
44477,2
8739,2
202024,2
31586,2
215845,2
16326,2
378,2
23576,2
20756,2
9764,2
33157,2
46981,2
395409,1
213205,1
24835,1
56872,1
215467,1
140688,1
212490,1
214390,1
51894,1
51182,1
394572,1
135905,1
216154,1
200666,1
198792,1
35704,1
13041,1
47524,1
14466,1
55684,1
14627,1
36666,1
6127,1
6738,1
200784,1
60114,1
57352,1
201713,1
399250,1
394497,1
10929,1
13886,1
32645,1
200107,1
201706,1
38955,1
133618,1
202521,1
21840,1
10122,1
12064,1
208520,1
197019,1
34432,1
212552,1
39020,1
44672,1
20546,1
32780,1
28753,1
8705,1
200000,1
205205,1
48966,1
10578,1
41745,1
3204,1
210275,1
15535,1
43842,1
41231,1
24586,1
12678,1
17561,1
205312,1
6810,1
43948,1
200532,1
49127,1
5467,1
199867,1
328762,1
57542,1
23421,1
201012,1
60302,1
34222,1
50463,1
400797,1
198993,1
216047,1
60885,1
216139,1
134926,1
62082,1
35744,1
196763,1
399566,1
63993,1
59253,1
196752,1
42656,1
48434,1
57702,1
62563,1
44932,1
7396,1
216162,1
7506,1
1213,1
207951,1
59524,1
3208,1
29182,1
63210,1
41690,1
202115,1
42868,1
35179,1
40651,1
134963,1
19973,1
9752,1
59774,1
39029,1
44386,1
43091,1
202368,1
200195,1
213438,1
2514,1
56337,1
131965,1
60362,1
29097,1
7684,1
9121,1
60527,1
48282,1
51336,1
27522,1
3320,1
30340,1
15699,1
397423,1
8228,1
42800,1
152880,1
198503,1
58212,1
34788,1
203147,1
198499,1
18229,1
50041,1
39686,1
207104,1
61053,1
35258,1
31264,1
204544,1
199973,1
39072,1
140290,1
202492,1
8361,1
29222,1
393689,1
27647,1
62744,1
2665,1
7678,1
41653,1
205193,1
36850,1
30818,1
210756,1
63362,1
61144,1
214640,1
53332,1
36483,1
201744,1
13627,1
36080,1
10954,1
10508,1
48669,1
51013,1
47447,1
9059,1
30886,1
38185,1
15703,1
60976,1
30058,1
207304,1
52030,1
29091,1
51852,1
46864,1
215169,1
25516,1
22169,1
49352,1
15318,1
44803,1
51970,1
4769,1
59886,1
59796,1
25234,1
56341,1
63199,1
48314,1
51859,1
33664,1
197350,1
208488,1
29302,1
10368,1
201499,1
208212,1
21051,1
393874,1
27473,1
34282,1
31689,1
31276,1
34309,1
328654,1
16061,1
50330,1
53303,1
205585,1
48040,1
23352,1
27500,1
47253,1
215402,1
11281,1
59441,1
213797,1
211522,1
210644,1
60960,1
