asn,nb_hostnames
395747,3496
21664,1054
213120,731
394507,348
24768,345
394192,315
8657,293
16276,282
8075,252
1897,192
215859,189
12833,163
6656,124
33876,120
19551,103
59787,87
62567,81
62416,74
204915,68
12353,59
5626,58
39572,55
39384,46
49941,38
141995,33
2635,33
211612,32
214455,29
31936,27
8560,27
12926,25
14907,22
12322,20
43887,18
63293,18
34873,18
59692,17
200325,17
203461,16
5545,16
52580,16
28604,16
14853,16
3457,15
34920,15
133795,15
40824,15
197802,14
12640,14
215740,14
60781,14
17668,14
201879,12
10753,12
42612,11
3352,11
30148,11
29066,11
6496,11
31577,11
395458,11
24600,11
35280,10
29003,10
39896,10
57724,10
208058,10
29615,10
8195,10
26496,10
6939,9
31586,9
47784,9
328832,9
55293,9
15201,9
212087,9
3844,9
45090,9
7979,8
34309,8
8069,8
202425,8
28398,8
18881,8
12956,8
263945,8
6057,8
62768,8
17025,8
132337,8
19653,8
6762,8
328137,8
41722,8
28320,8
37662,8
15605,8
19422,8
56696,8
1916,8
50482,8
25253,8
8708,8
64437,7
36080,7
198066,7
202492,7
49981,7
39020,7
27589,7
59690,7
12178,7
199155,6
14441,6
10954,6
47195,6
13156,6
22612,6
54994,6
202277,6
393299,6
32494,6
201106,6
14117,6
49665,6
13030,6
1273,6
61049,6
61573,6
8231,6
48571,6
8529,6
64126,6
1000,6
131073,6
18377,6
262427,6
37251,6
327788,6
132602,6
9730,6
213232,6
6698,6
42567,5
52130,5
51025,5
20546,5
8839,5
49635,5
26347,5
13134,5
30961,5
33813,5
36420,5
33837,5
197540,5
29085,5
58061,5
12357,5
212954,4
38369,4
13238,4
49714,4
53667,4
62370,4
208277,4
51852,4
50474,4
207728,4
24971,4
15457,4
207970,4
57633,4
46606,4
10480,4
26666,4
201170,4
30818,4
37963,4
201782,4
200019,4
16236,4
25117,4
199218,4
204450,4
62068,3
215300,3
266444,3
137409,3
199242,3
32338,3
53107,3
3209,3
9118,3
202242,3
214308,3
6185,3
34222,3
12946,3
57352,3
206264,3
8739,3
204094,3
197712,3
24482,3
3920,3
205762,3
44907,3
211922,3
35369,3
394923,3
44477,3
200386,3
48729,3
15685,3
42848,3
59467,3
31428,3
200449,3
57542,3
203178,3
14340,3
16383,3
202054,3
12527,3
204800,3
12386,3
49287,3
29169,3
397849,2
35112,2
34788,2
328941,2
56898,2
53157,2
35744,2
60114,2
16371,2
12305,2
47447,2
41159,2
211187,2
64407,2
7203,2
57929,2
59524,2
34699,2
205316,2
28299,2
8228,2
207143,2
207660,2
33191,2
24961,2
138341,2
54641,2
12731,2
48314,2
15703,2
15966,2
200669,2
215117,2
401200,2
62243,2
200195,2
58065,2
57305,2
208457,2
44696,2
199524,2
211074,2
14824,2
200320,2
207731,2
51430,2
30109,2
209847,2
207964,2
207208,2
399566,2
46475,2
202341,2
13442,2
42220,2
60550,2
51008,2
216353,2
36666,2
40021,2
201744,2
32780,2
7941,2
53303,2
25060,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
17984,2
8919,2
396390,2
61568,2
52167,2
45517,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
