asn,nb_hostnames
395747,3831
21664,1105
213120,654
394507,476
394192,326
35540,278
62567,222
28008,189
204915,166
27768,142
23352,140
8075,137
27823,122
264705,99
28103,88
215859,85
39572,70
27895,67
11664,63
19551,55
46606,54
14441,53
8560,45
60068,43
3457,37
31936,37
2635,35
141995,35
264722,34
22612,33
26666,31
15317,29
26496,28
30148,25
63293,24
14907,22
26347,22
52580,22
60781,22
14853,20
204800,20
40021,19
214455,19
36420,18
27795,18
55293,17
53107,17
205193,17
27669,17
59692,16
37963,16
10480,14
39020,14
133795,14
40824,14
200325,13
7979,13
48254,12
55045,12
38369,11
262250,11
6057,10
31577,10
49612,10
15699,9
139341,9
27589,9
10954,9
42612,9
12322,9
18747,9
12178,9
54641,9
10753,9
400275,9
200019,8
28604,8
53667,7
40699,7
397849,7
58521,7
58061,7
199524,7
42532,7
139144,6
50989,6
64437,6
28299,6
53824,6
202492,5
16735,5
25354,5
61976,5
63410,5
202425,5
206264,5
44907,5
49981,5
215300,5
61512,5
1916,5
213232,5
45090,5
17668,5
24600,5
29066,4
56958,4
23576,4
205796,4
33182,4
35280,4
27715,4
6427,4
54994,4
36352,4
42567,4
23470,4
269783,4
10983,4
16371,4
52227,4
266444,4
14117,4
49635,4
49714,4
44534,4
10881,4
24572,4
328832,4
6698,4
18881,4
17025,4
395458,4
9764,4
5761,3
216154,3
52418,3
200449,3
63760,3
13442,3
401200,3
267723,3
150078,3
24961,3
7203,3
272021,3
16814,3
274173,3
34222,3
6185,3
214124,3
138341,3
34788,3
7941,3
46844,3
263404,3
3352,3
207970,3
14576,3
60144,3
1251,3
19723,3
23816,3
200521,3
30961,3
263717,3
272154,3
3844,3
28398,3
12956,3
263945,3
8195,3
62768,3
132337,3
19653,3
6762,3
328137,3
41722,3
28320,3
6496,3
37662,3
15605,3
19422,3
56696,3
50482,3
33157,3
22720,3
9094,3
211922,2
22552,2
4258,2
22185,2
57542,2
2514,2
8069,2
212531,2
14315,2
16701,2
131965,2
200000,2
271803,2
268581,2
201744,2
14555,2
36459,2
6121,2
10697,2
16839,2
24971,2
50980,2
197712,2
9760,2
40476,2
22653,2
7393,2
200960,2
199968,2
204601,2
264649,2
11014,2
28753,2
215740,2
139057,2
29169,2
270424,2
12678,2
212792,2
52318,2
32338,2
137409,2
262679,2
33191,2
60550,2
59253,2
400754,2
9123,2
29182,2
200320,2
203976,2
28250,2
19373,2
27967,2
62068,2
62755,2
24611,2
15201,2
273584,2
263094,2
151373,2
53038,2
46475,2
36066,2
264623,2
14824,2
264631,2
262954,2
215845,2
56898,2
34119,2
203178,2
36080,2
264713,2
393299,2
32494,2
201106,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
329356,2
132602,2
9730,2
62243,2
24482,2
27651,2
52489,2
13348,2
35589,2
42240,2
52320,2
771,2
47422,2
54290,1
11432,1
63905,1
268005,1
263235,1
208769,1
11878,1
12357,1
22169,1
19969,1
53057,1
27993,1
35425,1
22194,1
8361,1
52438,1
26277,1
200651,1
62563,1
214308,1
42422,1
6724,1
396356,1
18945,1
206216,1
61098,1
39686,1
36818,1
12993,1
52270,1
27828,1
49127,1
10929,1
262168,1
208488,1
263208,1
56803,1
400940,1
40509,1
7671,1
48324,1
52890,1
207569,1
198610,1
56872,1
34309,1
50474,1
263237,1
28209,1
214390,1
14340,1
57352,1
37153,1
204039,1
206980,1
393544,1
676,1
9009,1
14113,1
13474,1
215402,1
34655,1
13506,1
211864,1
63473,1
60922,1
28177,1
202675,1
198792,1
14466,1
399358,1
137718,1
4835,1
398743,1
43641,1
28526,1
30058,1
9752,1
150436,1
27647,1
3920,1
262756,1
393874,1
140688,1
25411,1
142592,1
12521,1
262897,1
11281,1
57,1
394303,1
138650,1
35744,1
263083,1
14000,1
397273,1
30361,1
45753,1
48763,1
57088,1
266660,1
200195,1
213438,1
39134,1
53157,1
152880,1
26218,1
3387,1
9597,1
134773,1
266876,1
28838,1
39029,1
202242,1
14840,1
41690,1
52455,1
269478,1
17841,1
270797,1
20207,1
270517,1
44477,1
29222,1
16496,1
63993,1
63228,1
55081,1
205762,1
65115,1
8987,1
15149,1
206102,1
262885,1
53755,1
30818,1
28637,1
41541,1
60114,1
263173,1
197540,1
4694,1
23383,1
198913,1
32780,1
48729,1
398787,1
12824,1
400513,1
212096,1
22860,1
262237,1
270530,1
266775,1
30475,1
213737,1
202865,1
11807,1
198968,1
397423,1
27223,1
26752,1
200928,1
56341,1
30083,1
31586,1
2857,1
37936,1
42220,1
52361,1
49493,1
265806,1
8048,1
200386,1
200508,1
208561,1
10277,1
36850,1
17055,1
11097,1
23140,1
263791,1
28291,1
267920,1
34699,1
58212,1
53332,1
393689,1
42730,1
266390,1
201936,1
15685,1
262183,1
19648,1
278,1
3790,1
61144,1
41976,1
2780,1
15479,1
207728,1
263718,1
63240,1
52468,1
45352,1
136373,1
6327,1
17984,1
9015,1
49287,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
399250,1
3597,1
263228,1
18310,1
52236,1
61210,1
