asn,nb_hostnames
395747,5110
21664,966
213120,787
394507,339
8075,247
394192,232
204915,199
211942,155
39572,135
16276,114
215859,88
62567,88
26496,51
19551,49
5545,47
7979,35
214455,32
48728,32
60781,31
31936,28
30148,28
46606,28
3457,28
22612,25
63293,24
2635,24
141995,22
14907,21
139341,19
55293,17
395458,17
27589,16
37963,16
148000,15
40824,15
38369,14
45845,14
14853,14
59692,13
26666,13
211612,13
14441,12
40699,12
133795,11
53824,11
18229,11
62068,11
36420,10
58061,10
198499,10
35280,9
200325,9
6496,9
45090,9
32338,9
9829,9
12178,9
17668,9
54641,9
133185,8
9730,8
12322,8
54994,8
63932,8
49981,8
215740,8
10753,8
35425,8
136762,7
131173,7
8960,7
56898,7
200019,7
64437,7
3920,6
49714,6
13238,6
397849,6
328832,6
6939,6
133037,6
208944,6
33837,6
44907,6
202425,6
24600,6
204800,6
29066,5
13442,5
8069,5
3844,5
28398,5
18881,5
12956,5
263945,5
8195,5
6057,5
62768,5
17025,5
132337,5
19653,5
6762,5
328137,5
41722,5
28320,5
37662,5
15605,5
19422,5
56696,5
1916,5
50482,5
14466,5
33182,5
207208,5
8560,5
215300,5
199524,5
213232,5
29384,5
9583,4
38617,4
51433,4
45644,4
57724,4
42567,4
393299,4
32494,4
201106,4
14117,4
49665,4
13030,4
1273,4
61049,4
61573,4
8231,4
48571,4
8529,4
64126,4
1000,4
131073,4
18377,4
262427,4
37251,4
327788,4
132602,4
46844,4
202053,4
37728,4
210275,4
40009,4
18222,4
45773,4
10480,4
26347,4
23752,4
48254,4
6698,4
398256,4
204450,4
139256,4
52148,3
204206,3
48729,3
7544,3
19324,3
45517,3
58294,3
206264,3
211922,3
58521,3
52167,3
137409,3
24482,3
7941,3
51852,3
13859,3
33157,3
132420,3
137978,3
5099,3
1624,3
138341,3
52130,3
5761,3
202492,3
199729,3
6185,3
207970,3
23576,3
46475,3
22560,3
17984,3
49287,3
29169,3
15802,3
199218,3
197540,3
62243,2
59323,2
57168,2
44009,2
23470,2
59796,2
33191,2
1897,2
45894,2
134251,2
14824,2
327766,2
5377,2
63240,2
52468,2
45352,2
136373,2
6327,2
52320,2
8919,2
396390,2
61568,2
20764,2
2027,2
13786,2
51530,2
196753,2
64475,2
207841,2
270014,2
136620,2
5381,2
23520,2
48641,2
35360,2
8708,2
7589,2
15958,2
2614,2
14016,2
35600,2
38726,2
1031,2
29049,2
36678,2
35598,2
264409,2
52025,2
50628,2
14537,2
205920,2
134888,2
42186,2
51577,2
26277,2
60185,2
33771,2
53667,2
24971,2
394625,2
400754,2
47524,2
14315,2
8705,2
61102,2
34369,2
200449,2
202521,2
40021,2
28753,2
133666,2
9752,2
56126,2
17841,2
42848,2
24961,2
401200,2
215322,2
34222,2
202368,2
17436,2
141504,2
51905,2
38799,2
59253,2
208710,2
200195,2
213438,2
43641,2
137854,2
63760,2
30818,2
9,2
30475,2
139144,2
147303,2
205585,2
132193,2
26042,2
3387,2
32097,2
207728,2
328174,2
42532,2
34400,2
22720,2
201768,2
9764,2
12357,1
204050,1
198032,1
18742,1
214390,1
38952,1
147314,1
13984,1
63444,1
38913,1
27473,1
9009,1
215402,1
53850,1
138650,1
33083,1
132270,1
47302,1
204436,1
131704,1
327712,1
44880,1
141177,1
204544,1
204601,1
9230,1
394437,1
215846,1
135423,1
36516,1
38186,1
51468,1
140766,1
38731,1
141518,1
63362,1
132224,1
135222,1
14576,1
397273,1
132322,1
137517,1
21840,1
28885,1
36850,1
24504,1
23352,1
138358,1
64422,1
9707,1
131138,1
7859,1
49676,1
133256,1
216154,1
2571,1
45221,1
135205,1
14113,1
45664,1
64049,1
44477,1
137130,1
29256,1
216346,1
42216,1
3223,1
135337,1
31080,1
11281,1
150078,1
31276,1
327724,1
58182,1
205193,1
60248,1
132943,1
12678,1
59939,1
37637,1
203147,1
399566,1
36459,1
329206,1
24736,1
133477,1
393874,1
58487,1
395162,1
32903,1
132272,1
137670,1
204770,1
58212,1
35593,1
400275,1
14555,1
18209,1
198913,1
50517,1
133210,1
135360,1
15318,1
198792,1
47447,1
4775,1
63993,1
133719,1
20294,1
136219,1
208488,1
200928,1
56341,1
398787,1
132557,1
4613,1
36057,1
131341,1
393689,1
18945,1
202024,1
23421,1
61976,1
132717,1
206672,1
44932,1
2665,1
200851,1
398493,1
50980,1
47577,1
48669,1
204034,1
196763,1
22878,1
13830,1
205275,1
36914,1
13627,1
23816,1
24572,1
9121,1
197816,1
400797,1
30058,1
50090,1
18310,1
58909,1
43027,1
17813,1
42106,1
132680,1
24389,1
53332,1
27264,1
4150,1
30600,1
133430,1
53292,1
