asn,nb_hostnames
395747,3267
35540,1503
21664,896
213120,650
394507,374
394192,216
12322,188
50474,187
8075,142
24600,130
2057,108
8560,107
204915,87
19551,82
37002,81
62567,73
39572,70
34306,67
50583,66
215859,56
57633,51
29222,49
8228,46
53589,45
15317,36
40824,33
209349,32
6656,30
60855,27
21351,25
21409,25
29169,25
8839,24
210403,23
50624,21
25117,19
2635,19
14489,18
63293,18
8304,18
31936,17
199777,17
7979,17
60068,16
14853,16
214455,15
51110,15
6738,15
60362,15
200356,15
210770,15
213394,14
6496,14
34993,14
12640,14
48140,13
60781,13
199636,13
50446,13
133795,13
31178,12
48703,11
200325,11
216353,11
45666,11
48809,11
213232,11
57809,10
14907,10
4200000021,9
59692,9
54994,9
199758,9
62979,9
48613,8
39104,8
41653,8
35280,8
9159,8
205461,8
141995,8
12565,8
30148,8
8195,8
33157,7
44297,7
39241,7
41233,7
42845,7
15401,7
197696,7
201085,7
201896,7
49981,6
199167,6
48744,6
8399,6
58061,6
401200,6
34235,6
64437,5
36420,5
43311,5
200019,5
13193,5
39072,5
53824,5
201595,5
208128,5
3457,5
50989,5
26496,5
208353,4
197883,4
39162,4
38369,4
37963,4
42567,4
3259,4
202425,4
48130,4
31586,4
51888,4
51468,4
13273,4
45090,4
199218,4
44907,3
206264,3
33930,3
203461,3
9180,3
207100,3
48594,3
6,3
10753,3
26347,3
44901,3
214124,3
1301,3
39534,3
47836,3
27589,3
22612,3
23889,3
47447,3
25540,3
34863,3
15699,3
43424,3
197562,3
49612,3
6185,3
6427,3
397181,3
61098,3
197816,3
61047,3
215300,3
43142,3
39781,3
13601,3
200102,3
7941,3
204835,3
47543,3
17668,3
395458,3
7203,3
202242,2
24961,2
39444,2
6724,2
32338,2
199441,2
14824,2
55293,2
61136,2
42456,2
20546,2
8069,2
34749,2
202757,2
56898,2
33191,2
47846,2
205876,2
205149,2
204050,2
39495,2
61168,2
44527,2
398256,2
2780,2
30961,2
20989,2
31577,2
202669,2
27647,2
62068,2
62243,2
21000,2
60331,2
199006,2
399566,2
25593,2
20994,2
26666,2
3223,2
3844,2
28398,2
18881,2
12956,2
263945,2
328832,2
6057,2
62768,2
17025,2
132337,2
19653,2
6762,2
328137,2
41722,2
28320,2
37662,2
15605,2
19422,2
56696,2
1916,2
50482,2
6698,2
14537,2
20529,2
202053,2
2027,2
41405,2
35744,2
15685,2
46606,2
8554,2
23576,2
24482,2
5761,2
16265,2
15826,2
198184,2
15489,2
14555,2
5410,2
12678,2
16236,2
48729,2
49714,2
44534,2
209928,2
44141,2
210032,2
207970,2
49287,2
47422,2
209567,1
32831,1
2514,1
39896,1
44477,1
212562,1
46475,1
22720,1
57694,1
34222,1
51025,1
40994,1
213466,1
133409,1
36459,1
27267,1
3920,1
203437,1
58212,1
44160,1
39542,1
204145,1
203984,1
197369,1
50618,1
197690,1
22653,1
210728,1
48017,1
28753,1
24898,1
198978,1
35425,1
211611,1
60368,1
29691,1
47820,1
15149,1
197056,1
52120,1
43858,1
204887,1
198610,1
55286,1
199524,1
9009,1
41191,1
60592,1
400513,1
27223,1
23352,1
33083,1
696,1
57168,1
200449,1
13830,1
197161,1
16001,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
39506,1
12696,1
49367,1
48763,1
209097,1
53667,1
61976,1
12595,1
42848,1
36786,1
20900,1
29182,1
21217,1
63362,1
28774,1
52034,1
142592,1
393689,1
32413,1
47300,1
210274,1
59689,1
47136,1
9370,1
24676,1
394277,1
51269,1
204800,1
57119,1
50982,1
58029,1
62856,1
57173,1
24971,1
30999,1
8921,1
210250,1
56837,1
40244,1
204142,1
328699,1
39686,1
24611,1
328853,1
54290,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
137409,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
205920,1
15802,1
14340,1
29605,1
205193,1
214390,1
43532,1
16128,1
395092,1
212363,1
29104,1
206874,1
202213,1
25009,1
50198,1
393874,1
14627,1
60620,1
36818,1
58487,1
212792,1
44407,1
206379,1
11281,1
216194,1
204601,1
207809,1
8361,1
49835,1
199968,1
38926,1
51038,1
53332,1
48426,1
47494,1
215402,1
201744,1
399250,1
205860,1
199712,1
204648,1
211187,1
7396,1
198792,1
42970,1
31727,1
206484,1
15703,1
202321,1
48813,1
202628,1
13571,1
24776,1
201425,1
197540,1
55470,1
47833,1
199236,1
21581,1
14576,1
42422,1
29110,1
212815,1
60550,1
39116,1
399358,1
41690,1
200508,1
139144,1
50980,1
394230,1
327956,1
204371,1
56403,1
12178,1
29608,1
211922,1
199426,1
10578,1
148000,1
208789,1
15456,1
16839,1
197778,1
208276,1
211068,1
197505,1
60114,1
49494,1
36666,1
206619,1
204846,1
34920,1
10480,1
34309,1
216154,1
329072,1
56798,1
44880,1
13442,1
198340,1
27264,1
4150,1
30600,1
30109,1
35344,1
29066,1
8768,1
62018,1
