asn,nb_hostnames
395747,3431
21664,640
213120,471
205275,435
215859,426
20616,370
58153,359
62567,306
394507,222
9009,211
394192,188
43927,164
203053,161
16276,156
8708,150
208096,132
8075,114
39572,73
24745,65
3223,62
2614,50
211611,41
214308,36
19551,31
31936,30
14907,27
31244,26
50939,25
5545,25
204915,24
42800,23
8919,23
51025,23
141995,21
214455,21
2635,20
60781,19
59776,19
201471,18
39737,18
51295,18
40975,17
59692,17
24971,17
63293,17
208058,16
40824,16
197248,15
64407,15
198627,15
35449,15
14853,15
33925,14
202115,14
34551,14
211612,12
49818,11
6663,11
57136,11
20523,11
48571,10
133795,10
47195,10
26496,10
21007,9
7979,9
201200,9
20929,8
57724,8
49468,8
25304,8
12322,8
58061,8
35280,8
41635,8
52130,8
50819,8
395458,8
204450,8
5541,8
33837,7
48881,7
8288,7
64437,7
22612,7
41075,7
49981,7
200325,7
27589,7
8751,7
42371,7
3164,7
35775,6
202425,6
32338,6
48161,6
29066,6
51278,6
42567,6
56771,6
6496,6
48760,6
39383,6
28924,6
6698,6
25278,6
39392,6
50347,6
36080,6
31554,6
207970,6
51177,6
41530,6
24600,6
328832,5
137409,5
24482,5
199524,5
49714,5
13238,5
49367,5
24961,5
30148,5
49077,5
44807,5
57098,5
48067,5
26666,5
6718,5
17668,5
5381,5
37963,4
60230,4
24839,4
39474,4
3844,4
28398,4
18881,4
12956,4
263945,4
8195,4
10753,4
6057,4
62768,4
17025,4
132337,4
19653,4
6762,4
328137,4
41722,4
28320,4
37662,4
15605,4
19422,4
56696,4
1916,4
50482,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
49287,4
396390,4
61568,4
29169,4
52167,4
45517,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
23520,4
48641,4
35360,4
7589,4
15958,4
14016,4
35600,4
38726,4
1031,4
29049,4
36678,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
60602,4
60090,4
200019,4
42296,4
49852,4
29085,4
15685,4
15512,4
136264,4
34022,4
3233,4
6693,4
215014,4
47381,4
215300,4
39345,4
34342,4
8560,4
21294,4
51013,4
34714,4
211701,4
34222,4
210579,4
204530,3
212816,3
14340,3
204800,3
214890,3
43037,3
202816,3
41353,3
59448,3
47225,3
48729,3
200386,3
3457,3
36420,3
34184,3
213980,3
30818,3
212221,3
212792,3
51954,3
200651,3
203417,3
133409,3
43891,3
34304,3
199513,3
20546,3
207728,3
59467,3
12178,3
44477,3
20847,3
59784,3
199968,3
207255,3
213634,3
43007,3
41537,3
44907,3
35124,3
49169,3
62243,3
42848,3
12675,3
50209,3
5403,3
206264,3
53667,3
44880,3
199218,3
197540,3
7203,3
46606,2
57746,2
54994,2
34655,2
7941,2
28721,2
29222,2
59892,2
205762,2
28743,2
207129,2
196763,2
8692,2
44901,2
6939,2
33854,2
21334,2
33157,2
12824,2
21288,2
58195,2
48689,2
199867,2
59999,2
62315,2
14824,2
43359,2
49383,2
9152,2
23576,2
43464,2
399566,2
43899,2
51852,2
51541,2
28853,2
209847,2
44696,2
31580,2
53824,2
43807,2
34794,2
57060,2
206892,2
47848,2
197216,2
48968,2
42280,2
16161,2
34309,2
44460,2
51605,2
42964,2
4258,2
211187,2
39815,2
29208,2
43937,2
49437,2
39877,2
14576,2
211768,2
35726,2
47544,2
56770,2
8856,2
6185,2
34543,2
42790,2
401200,2
14441,2
39790,2
35744,2
39668,2
202242,2
61213,2
41151,2
51284,2
43587,2
28753,2
6656,2
12678,2
205544,2
42422,2
55293,2
210927,2
40998,2
57775,2
56898,2
60089,2
44544,2
34711,2
51094,2
45090,2
8569,2
42656,2
30890,2
34432,1
39686,1
41824,1
202637,1
197019,1
197816,1
12577,1
51793,1
10480,1
53332,1
57344,1
201744,1
9121,1
50214,1
41859,1
30725,1
55106,1
9199,1
62302,1
393874,1
30109,1
42532,1
44133,1
38369,1
51689,1
51920,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
59735,1
58247,1
213737,1
22049,1
47220,1
44370,1
204601,1
60615,1
8262,1
51008,1
138650,1
47521,1
16282,1
48669,1
43938,1
214390,1
34275,1
59400,1
200088,1
48324,1
28925,1
35646,1
50102,1
211864,1
47890,1
60993,1
56570,1
208358,1
50090,1
63410,1
31074,1
41953,1
210444,1
61998,1
58521,1
209856,1
59524,1
47577,1
31278,1
3920,1
56837,1
41233,1
204949,1
212054,1
39502,1
34808,1
