asn,nb_hostnames
395747,3062
215859,1406
21664,513
213120,419
207604,385
16276,257
394507,221
61065,189
8400,187
394192,173
41528,165
13092,161
56452,155
62567,148
35779,134
48164,113
60781,102
8075,91
51278,86
39572,82
42186,68
204915,67
51859,65
208898,60
141995,45
12322,43
26496,41
14907,39
9009,37
2635,34
31936,31
5545,31
40824,31
49981,24
59692,24
211612,24
200325,21
19551,20
57724,20
13303,20
133795,19
60114,19
214455,19
8560,18
63293,18
59467,16
46606,15
22612,14
214308,14
12417,14
26347,13
63410,12
12644,12
12178,12
14853,12
27589,11
213306,11
51577,11
49714,11
13238,11
212531,10
29066,10
207970,10
58061,10
24971,10
15958,9
57344,9
202115,9
57595,9
14441,9
52130,9
197540,9
204800,9
49818,8
7979,8
201200,8
197248,8
20523,8
8262,7
55293,7
200514,7
32338,7
215322,7
42371,7
34594,7
34788,7
64437,7
204601,7
30818,6
203877,6
48254,6
200698,6
25431,6
202425,6
6698,6
25467,6
33837,6
199524,6
17668,6
202417,5
26666,5
41075,5
8771,5
7203,5
30148,5
29222,5
51025,5
62243,5
198785,5
6496,5
48894,5
61976,5
35648,5
31012,5
17025,5
35796,4
60592,4
44907,4
41336,4
24676,4
207068,4
52105,4
20546,4
202521,4
51013,4
196752,4
13091,4
207728,4
28753,4
206542,4
204548,4
53824,4
60009,4
51852,4
43128,4
44696,4
49412,4
56341,4
34222,4
42567,4
53667,4
328832,4
215300,4
45090,4
3457,4
24600,4
62068,3
5403,3
47195,3
8585,3
34779,3
25234,3
34362,3
44477,3
57352,3
47948,3
213980,3
19969,3
16161,3
43547,3
216053,3
51430,3
36080,3
200386,3
200019,3
48580,3
59886,3
39392,3
30904,3
52148,3
48314,3
215740,3
198371,3
47416,3
210656,3
206264,3
200651,3
31161,3
43359,3
36420,3
393299,3
32494,3
3844,3
201106,3
14117,3
49665,3
13030,3
28398,3
1273,3
61049,3
61573,3
18881,3
12956,3
8231,3
48571,3
263945,3
8529,3
64126,3
8195,3
10753,3
6057,3
62768,3
395458,3
132337,3
19653,3
1000,3
6762,3
131073,3
328137,3
41722,3
28320,3
18377,3
37662,3
6939,3
262427,3
37251,3
15605,3
19422,3
56696,3
327788,3
1916,3
132602,3
50482,3
9730,3
203744,3
43351,3
14576,3
200449,3
59737,3
197019,3
42656,3
47663,2
399566,2
216014,2
201012,2
59601,2
41897,2
60117,2
43427,2
205193,2
15554,2
58065,2
42422,2
7941,2
6711,2
47524,2
53755,2
211922,2
34131,2
393874,2
33182,2
57088,2
60248,2
398256,2
201744,2
42603,2
51433,2
401200,2
34369,2
44901,2
30961,2
23576,2
208443,2
206892,2
204530,2
48256,2
8288,2
6794,2
205313,2
61306,2
44112,2
28924,2
31424,2
46475,2
48729,2
211285,2
34798,2
200195,2
34342,2
56898,2
43191,2
210579,2
64407,2
55272,2
32780,2
31586,2
142592,2
34404,2
29085,2
44386,2
7859,2
8708,2
44143,2
210079,2
29208,2
205585,2
47521,2
6656,2
20068,2
203463,2
205762,2
43608,2
204753,2
2107,2
204544,2
202816,2
201512,2
23421,2
8387,2
51927,2
198610,2
202368,2
203752,2
10480,2
202242,2
38369,2
200928,2
47577,2
24611,2
43953,2
399250,2
206575,2
24961,2
60368,2
57550,2
12678,2
198203,2
59524,2
3209,2
9123,2
58212,2
48040,2
36352,2
37963,2
39896,1
56864,1
58010,1
36459,1
50537,1
44302,1
200440,1
58051,1
34547,1
6821,1
393689,1
212098,1
44932,1
14824,1
35280,1
21051,1
29141,1
53332,1
36057,1
207809,1
27223,1
200979,1
197553,1
49676,1
205373,1
215402,1
57775,1
41018,1
207560,1
47881,1
207953,1
50872,1
14466,1
44460,1
1764,1
63068,1
213737,1
3387,1
5761,1
30176,1
49172,1
35704,1
30083,1
8739,1
25393,1
211864,1
8692,1
42532,1
397273,1
199193,1
20799,1
213232,1
207697,1
400797,1
20559,1
43394,1
33157,1
54994,1
44009,1
214390,1
215845,1
20568,1
202543,1
35785,1
43927,1
48326,1
32903,1
137409,1
213438,1
62563,1
50090,1
31080,1
51304,1
397849,1
15685,1
34699,1
201777,1
399629,1
208488,1
8069,1
11281,1
42948,1
207746,1
35425,1
202448,1
56837,1
34772,1
59939,1
50980,1
47381,1
43641,1
137870,1
397423,1
42964,1
64427,1
197431,1
8672,1
6724,1
213166,1
13727,1
208058,1
48763,1
39796,1
210756,1
60580,1
34989,1
59448,1
208906,1
44133,1
50410,1
35744,1
214073,1
6185,1
65115,1
205316,1
39686,1
12640,1
139341,1
203506,1
2514,1
202977,1
39134,1
46844,1
400513,1
59609,1
215266,1
214813,1
50198,1
13442,1
33083,1
203824,1
61210,1
29691,1
44239,1
213206,1
60071,1
2108,1
212792,1
197664,1
399358,1
30456,1
202492,1
199401,1
197216,1
198649,1
207208,1
35634,1
399647,1
49486,1
398385,1
202634,1
38955,1
44310,1
210250,1
152880,1
59441,1
43037,1
25472,1
59784,1
39020,1
22720,1
203444,1
44306,1
35646,1
3223,1
34309,1
21581,1
59796,1
8920,1
