asn,nb_hostnames
395747,1243
61976,691
59467,575
49612,500
29182,318
49352,290
9123,266
210656,266
43298,226
198610,224
394192,174
201706,166
21664,153
213120,147
56341,140
207728,136
58061,129
215859,118
35540,104
210079,101
204601,99
44534,96
49714,96
210756,96
205312,93
207970,85
394507,82
59692,79
49665,78
39572,69
59601,67
49981,61
60781,57
15317,56
41976,49
42240,46
44128,45
8920,45
56694,41
48040,41
44310,40
48282,40
5537,39
44696,37
3058,35
41722,32
200019,32
42245,32
211381,31
30968,30
204039,30
207208,29
44112,29
33972,28
205954,28
211642,27
60922,26
42532,26
42745,25
8075,25
209030,25
58112,25
201186,23
44386,22
199867,22
8901,22
49675,21
206407,21
62567,21
48729,21
6697,20
206980,20
31936,20
20848,20
201119,19
7979,19
47111,19
32338,18
14907,18
57304,17
39134,16
201499,16
210644,16
50979,16
34147,15
201512,15
62243,15
31364,15
12322,14
24961,14
206817,14
214455,14
212490,13
44812,13
204915,12
21314,12
207104,12
216139,12
59939,12
3223,12
51520,12
214881,12
61400,12
60144,12
29066,11
208677,11
59840,11
62082,11
42121,11
50482,10
59796,10
44907,10
62358,10
48096,10
29226,10
44094,10
200449,10
395458,10
48009,10
214822,9
21051,9
216206,9
203725,9
37963,9
216475,8
216071,8
214927,8
44901,8
60651,8
198770,8
50448,8
210976,8
28753,8
19551,8
61280,8
63293,8
204770,8
17668,8
24600,8
47422,8
199148,7
202425,7
28917,7
14576,7
53667,7
33993,7
201012,7
51011,7
200487,7
44477,7
52130,7
35425,7
52000,7
49287,7
12555,6
38369,6
47577,6
64437,6
204343,6
200044,6
34662,6
51852,6
48614,6
3844,6
28398,6
18881,6
12956,6
263945,6
328832,6
8195,6
10753,6
6057,6
62768,6
17025,6
132337,6
19653,6
6762,6
328137,6
28320,6
6496,6
37662,6
15605,6
19422,6
56696,6
1916,6
207362,6
44704,6
213887,6
57352,6
42632,6
35598,6
199669,6
14956,6
57010,6
61424,6
40824,6
43267,6
56384,6
22612,5
51248,5
60602,5
48018,5
48684,5
60040,5
57487,5
28840,5
201643,5
203139,5
44256,5
48354,5
43362,5
211112,5
200039,5
137409,5
50853,5
205634,5
216154,5
29425,5
44014,5
212136,5
60879,5
209684,5
56462,5
41185,5
60068,4
54994,4
34887,4
56631,4
42179,4
39337,4
202984,4
50214,4
59504,4
197482,4
27589,4
202492,4
209361,4
59712,4
39266,4
202090,4
200107,4
47478,4
201848,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
9015,4
19782,4
