asn,nb_hostnames
395747,3721
21664,1347
213120,771
327755,499
394507,475
394192,410
204915,182
8075,161
62567,157
16276,126
215859,121
22612,116
141995,93
19551,63
39572,59
2635,49
46606,48
214455,42
31936,37
37963,36
63293,33
26496,33
401200,31
204800,30
47846,28
37010,28
60781,27
14907,25
14853,25
133795,24
14441,24
7979,22
48254,22
36890,21
26666,20
30148,19
38369,19
12322,19
12178,18
3457,18
8560,18
29222,16
36914,15
40824,15
328385,14
53667,14
55293,14
211612,13
53824,12
37153,11
29066,10
28753,10
36420,9
58061,9
13442,9
14555,9
6698,9
35425,9
54994,8
26347,8
14466,8
5545,8
36066,8
37654,8
200325,8
139341,8
10753,8
54641,8
45090,7
59692,7
58294,7
10480,7
397273,7
37006,7
44907,7
395458,7
24600,7
9,6
49287,6
328180,6
150078,6
786,6
200019,6
8839,6
199524,6
204450,6
207208,5
397849,5
31586,5
6496,5
19853,5
33837,5
3920,5
398256,5
398787,5
200449,5
202425,5
27589,5
202242,5
215846,5
197540,5
139144,5
6185,5
36352,5
396390,5
137409,4
24482,4
56696,4
8195,4
328832,4
215740,4
62068,4
5761,4
202053,4
14340,4
399250,4
198032,4
328864,4
34119,4
55470,4
33191,4
9605,4
327687,4
215322,4
4258,4
51852,4
2611,4
17668,4
199218,4
9764,4
399358,3
23576,3
139057,3
202492,3
17025,3
50482,3
63240,3
52468,3
45352,3
136373,3
6327,3
37662,3
41722,3
52320,3
62768,3
12956,3
17984,3
8919,3
328137,3
61568,3
29169,3
52167,3
45517,3
20764,3
2027,3
19653,3
13786,3
51530,3
196753,3
28320,3
64475,3
6762,3
207841,3
270014,3
136620,3
18881,3
5381,3
23520,3
48641,3
35360,3
8708,3
7589,3
132337,3
15958,3
2614,3
14016,3
15605,3
28398,3
35600,3
19422,3
38726,3
1031,3
3844,3
29049,3
36678,3
35598,3
1916,3
264409,3
52025,3
50628,3
14537,3
205920,3
6057,3
263945,3
15802,3
198993,3
34788,3
47002,3
35280,3
44009,3
63410,3
142592,3
210403,3
60144,3
22878,3
27647,3
32338,3
50474,3
13238,3
49714,3
46864,3
7941,3
393249,3
60230,3
51433,3
133210,3
135360,3
40021,3
52130,3
54290,3
23352,3
393960,3
40509,3
57169,3
36459,3
2018,3
199729,3
42848,3
200107,3
151373,3
210544,3
3387,3
53755,3
7859,3
56898,3
327724,3
33771,3
17841,3
399937,3
34993,3
131138,3
22720,3
2057,3
51970,2
328709,2
49981,2
14472,2
8739,2
206170,2
33265,2
212815,2
24971,2
2832,2
328089,2
17289,2
63993,2
9009,2
14315,2
6724,2
43190,2
394625,2
329278,2
46475,2
13830,2
62755,2
8304,2
138341,2
60550,2
214618,2
44477,2
24676,2
30961,2
41000,2
2665,2
2516,2
9059,2
200195,2
19969,2
36924,2
53850,2
61144,2
205762,2
328174,2
6939,2
58062,2
50980,2
36982,2
62243,2
328252,2
196645,2
59943,2
11106,2
205435,2
207970,2
64437,2
9121,2
12488,2
18945,2
214124,2
24611,2
63199,2
11807,2
12678,2
395092,2
8228,2
54913,2
201755,2
1152,2
7203,2
211922,1
20847,1
328019,1
32097,1
48040,1
29110,1
149098,1
22653,1
1741,1
197696,1
394432,1
10954,1
41653,1
36057,1
30475,1
46440,1
38185,1
393689,1
58521,1
205451,1
39444,1
205585,1
8523,1
136165,1
27500,1
7684,1
150436,1
329184,1
51540,1
45894,1
46981,1
23011,1
802,1
136891,1
37679,1
34655,1
19797,1
10411,1
39072,1
63290,1
198792,1
11281,1
12306,1
9452,1
49282,1
45420,1
399566,1
36930,1
200928,1
56341,1
396930,1
327905,1
327713,1
208128,1
55569,1
52148,1
14956,1
25145,1
34282,1
202656,1
9123,1
55532,1
25117,1
2675,1
48669,1
40539,1
50517,1
34754,1
4835,1
63837,1
12258,1
198610,1
60592,1
57687,1
24757,1
208561,1
17001,1
216154,1
394695,1
42567,1
210770,1
42400,1
13767,1
33472,1
59253,1
204436,1
60885,1
198913,1
13571,1
9688,1
63362,1
23522,1
30340,1
39134,1
62856,1
213438,1
328358,1
61969,1
41231,1
7489,1
214685,1
196763,1
30083,1
34222,1
56872,1
52129,1
11878,1
131353,1
12824,1
8705,1
30994,1
88,1
395532,1
398743,1
26752,1
63444,1
5467,1
376,1
15318,1
19648,1
199753,1
203976,1
2845,1
48760,1
21581,1
147168,1
43641,1
214390,1
39241,1
51888,1
12833,1
54643,1
209349,1
59774,1
39029,1
131283,1
210032,1
12816,1
2852,1
24961,1
148000,1
44136,1
152194,1
23816,1
24572,1
57305,1
15685,1
9752,1
8070,1
14113,1
37610,1
214744,1
41690,1
62744,1
51468,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
327788,1
132602,1
9730,1
25094,1
203417,1
27267,1
211864,1
200514,1
23421,1
53332,1
212422,1
56324,1
42846,1
45666,1
3361,1
215845,1
393874,1
44160,1
23393,1
37018,1
29264,1
36915,1
58487,1
28755,1
397423,1
20641,1
213394,1
17363,1
56798,1
202368,1
65115,1
199758,1
133050,1
207809,1
327884,1
57344,1
34699,1
81,1
12595,1
23470,1
48729,1
3320,1
19181,1
46130,1
152880,1
38719,1
696,1
199636,1
26277,1
212837,1
37611,1
216014,1
201936,1
31577,1
132856,1
61098,1
200000,1
46844,1
15966,1
27522,1
14824,1
202499,1
23724,1
4808,1
205111,1
13041,1
208216,1
206264,1
59467,1
3223,1
2514,1
201706,1
394230,1
31424,1
18905,1
19110,1
58182,1
14098,1
400754,1
52000,1
135905,1
55960,1
8622,1
210250,1
35258,1
3768,1
37545,1
33182,1
206484,1
132335,1
211611,1
51311,1
204846,1
53303,1
400940,1
12064,1
39896,1
680,1
203639,1
63760,1
40651,1
36850,1
59939,1
215300,1
59524,1
7040,1
20546,1
55688,1
199193,1
400797,1
41453,1
47263,1
