asn,nb_hostnames
395747,5247
21664,795
213120,555
394507,326
394192,169
8075,163
204915,152
39572,152
201768,126
3457,121
35540,112
34400,102
215859,101
62567,85
213797,74
49610,69
208520,57
37963,49
29684,47
15317,47
7979,45
35753,42
43766,40
214455,38
31936,32
22612,31
19905,31
60781,31
26496,28
19551,25
63293,24
199729,24
49474,23
17668,22
395458,21
139144,20
141995,20
6496,18
47794,18
14907,17
40824,17
15505,16
14441,16
10753,16
8195,16
50517,15
3311,15
59692,14
21002,14
38369,14
139341,13
2635,13
328832,13
24600,13
62452,12
27589,12
3844,12
28398,12
18881,12
12956,12
263945,12
6057,12
62768,12
17025,12
132337,12
19653,12
6762,12
328137,12
41722,12
28320,12
37662,12
15605,12
19422,12
56696,12
1916,12
50482,12
9730,12
32338,11
6427,11
53824,11
46606,11
54641,11
26666,10
29690,10
393299,10
32494,10
201106,10
14117,10
49665,10
13030,10
1273,10
61049,10
61573,10
8231,10
48571,10
8529,10
64126,10
1000,10
131073,10
18377,10
262427,10
37251,10
329356,10
132602,10
210275,10
30148,10
37728,10
14853,10
133795,9
35280,9
44907,9
62068,9
36420,9
203378,9
60068,9
55293,8
30815,8
397849,8
14466,7
13442,7
59771,7
50837,7
57900,7
63993,7
46844,7
202425,7
200019,7
51670,7
51975,7
30857,6
58061,6
50989,6
41176,6
60161,6
60050,6
56865,6
49240,6
49714,6
44534,6
56898,6
52148,6
43378,6
148000,6
63932,6
45090,6
47422,6
200325,5
56714,5
54994,5
49612,5
29066,5
207208,5
215300,5
12322,5
398256,5
204800,5
24731,4
48729,4
58521,4
3920,4
44138,4
200039,4
137409,4
24482,4
8560,4
64437,4
8960,4
62370,4
46475,4
51905,4
216014,4
49287,4
6698,4
199524,4
45644,3
47887,3
53667,3
132420,3
32097,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
9015,3
19782,3
61568,3
29169,3
132045,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
44684,3
35589,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
4134,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
23470,3
58294,3
18229,3
209029,3
33182,3
27267,3
35629,3
42567,3
49981,3
6185,3
59253,3
208472,3
211922,3
200449,3
212848,3
40009,3
201484,3
44577,3
43641,3
48254,3
41594,3
24961,3
51852,3
36352,3
42532,3
12178,3
6656,2
207970,2
42067,2
24971,2
205762,2
200651,2
132193,2
23576,2
7544,2
57799,2
23352,2
44009,2
14555,2
208058,2
40021,2
138341,2
215322,2
209497,2
17436,2
210248,2
36080,2
208710,2
399937,2
61398,2
33191,2
7941,2
133185,2
212889,2
14824,2
137978,2
26347,2
134251,2
206264,2
42848,2
29256,2
138358,2
63760,2
19324,2
48434,2
28753,2
147303,2
60248,2
5761,2
207728,2
33157,2
47524,2
205585,2
45773,2
132224,2
9829,2
19973,2
7203,2
9009,2
9764,2
61976,2
22720,2
39228,1
59323,1
394437,1
202982,1
13830,1
35338,1
20264,1
131283,1
65115,1
196763,1
43316,1
53332,1
209464,1
203995,1
57344,1
202115,1
215845,1
208488,1
24611,1
27264,1
4150,1
30600,1
393874,1
42910,1
63362,1
202242,1
34788,1
396032,1
12129,1
61210,1
14415,1
13601,1
204206,1
39825,1
8473,1
150078,1
203268,1
37637,1
198610,1
55569,1
202492,1
18310,1
134888,1
199218,1
30340,1
2571,1
15699,1
47447,1
214390,1
24736,1
13791,1
49676,1
34369,1
199758,1
63199,1
11807,1
139016,1
35179,1
57088,1
55235,1
150009,1
59939,1
56655,1
328553,1
216154,1
8361,1
210976,1
51304,1
136184,1
9752,1
16839,1
48932,1
64515,1
63444,1
6758,1
150008,1
141504,1
34222,1
328174,1
42428,1
28885,1
133037,1
38365,1
15149,1
9230,1
137854,1
16161,1
38193,1
131223,1
214303,1
26042,1
30995,1
4775,1
2780,1
394432,1
61493,1
210744,1
210250,1
205193,1
61073,1
24572,1
36459,1
61144,1
141004,1
205544,1
44932,1
50979,1
205373,1
197816,1
138424,1
8739,1
8796,1
141518,1
211942,1
49352,1
211904,1
50980,1
204050,1
197553,1
203417,1
49257,1
40699,1
214618,1
25820,1
38264,1
56872,1
151373,1
207569,1
48109,1
133430,1
395092,1
138650,1
399358,1
46864,1
202024,1
41690,1
394695,1
197540,1
40728,1
29182,1
42194,1
3387,1
399566,1
8069,1
141388,1
201744,1
63914,1
206878,1
6127,1
30818,1
147314,1
202368,1
36066,1
12678,1
11281,1
13984,1
135377,1
13627,1
23876,1
21245,1
327766,1
7590,1
204544,1
140708,1
49833,1
393689,1
400797,1
47195,1
36914,1
42333,1
150436,1
214905,1
62243,1
139880,1
32780,1
45221,1
137035,1
51433,1
43211,1
7859,1
197019,1
200195,1
213438,1
133477,1
9583,1
56126,1
9123,1
198032,1
35425,1
213473,1
140688,1
37936,1
39560,1
50090,1
200928,1
56341,1
14315,1
134963,1
133752,1
215740,1
38913,1
328654,1
24863,1
135222,1
204034,1
204770,1
22169,1
215402,1
209349,1
200000,1
2665,1
30246,1
13767,1
