asn,nb_hostnames
395747,712
21664,188
213120,164
394507,92
394192,81
39572,44
62567,31
8075,26
47846,24
204915,23
31936,21
63293,16
7979,16
214455,16
215859,15
45891,11
14853,10
15699,9
2635,9
19551,9
133795,8
58294,8
4738,8
22612,7
199524,6
12178,5
26666,5
16276,5
26496,5
37963,5
33837,4
139341,4
38369,4
58061,4
14907,4
202425,4
40021,3
38544,3
36420,3
44907,3
5761,3
60781,3
53667,3
5545,3
30148,3
211612,3
51852,2
27589,2
55293,2
6185,2
46606,2
10480,2
215740,2
200325,2
34655,2
9009,2
3920,2
26347,2
8560,2
398256,2
200019,2
40824,2
136921,2
214124,2
397849,2
54994,2
3457,2
13238,2
49714,2
56898,2
4258,2
50980,2
62082,1
44696,1
28839,1
48254,1
51433,1
64437,1
44477,1
139144,1
40539,1
55470,1
22653,1
136557,1
208561,1
202492,1
22720,1
140688,1
36057,1
202242,1
31586,1
400940,1
56163,1
18945,1
398743,1
131965,1
32338,1
393874,1
18400,1
141995,1
33265,1
55688,1
200000,1
12322,1
207970,1
53824,1
62243,1
27267,1
24611,1
206264,1
397273,1
11281,1
133050,1
63362,1
7941,1
61976,1
59692,1
28753,1
401200,1
399937,1
53332,1
58487,1
133096,1
19969,1
134948,1
9552,1
41824,1
56128,1
61144,1
62755,1
24600,1
400797,1
36459,1
58010,1
17363,1
14985,1
17025,1
38719,1
10753,1
46475,1
23421,1
55792,1
393689,1
41690,1
200195,1
213438,1
6698,1
