asn,nb_hostnames
395747,1115
213120,379
21664,296
394507,155
394192,133
39572,63
31936,34
204915,34
62567,31
8075,26
35540,25
7979,22
214455,20
2635,19
215859,19
19551,17
327861,17
36958,14
15317,14
14907,13
63293,11
14853,10
26496,8
60781,7
46606,7
14441,7
50989,6
47748,6
44534,6
49714,6
36902,6
37963,6
40824,6
60068,6
27589,5
12488,5
401200,5
51433,5
207970,5
139341,5
58061,5
205585,5
38365,5
34788,4
5761,4
59692,4
57633,4
8839,4
44907,4
54994,4
32338,4
30148,4
36420,4
12178,4
199524,4
22612,3
200019,3
59467,3
6185,3
63199,3
132224,3
55293,3
133795,3
38369,3
49981,3
6496,3
327979,3
13442,3
62243,3
9009,3
202368,3
8560,3
50980,3
213232,3
56898,2
44244,2
4258,2
53824,2
204544,2
48254,2
12322,2
37611,2
214124,2
9730,2
40021,2
328037,2
26666,2
47271,2
64437,2
200325,2
45644,2
34369,2
7941,2
398787,2
26347,2
57088,2
51852,2
202425,2
60248,2
6698,2
17668,2
24600,2
208561,1
49612,1
44932,1
22720,1
204050,1
328174,1
7859,1
1624,1
36459,1
399358,1
44386,1
138341,1
61976,1
11281,1
43211,1
48729,1
61144,1
28753,1
214744,1
14555,1
205373,1
48669,1
211942,1
207728,1
43487,1
48040,1
22653,1
393299,1
32494,1
3844,1
201106,1
14117,1
49665,1
13030,1
28398,1
1273,1
61049,1
61573,1
18881,1
12956,1
8231,1
48571,1
263945,1
8529,1
64126,1
328832,1
8195,1
10753,1
6057,1
62768,1
17025,1
395458,1
132337,1
19653,1
1000,1
6762,1
131073,1
328137,1
41722,1
28320,1
18377,1
37662,1
6427,1
262427,1
37251,1
15605,1
19422,1
56696,1
329356,1
1916,1
132602,1
50482,1
43358,1
399250,1
6168,1
215300,1
147303,1
204800,1
29166,1
201085,1
44239,1
208161,1
206264,1
204548,1
49676,1
34147,1
151373,1
207304,1
208128,1
45090,1
15685,1
23889,1
201512,1
51013,1
30361,1
61969,1
203444,1
23724,1
38019,1
135054,1
134770,1
4808,1
34655,1
22560,1
50722,1
14115,1
59441,1
201012,1
39239,1
23576,1
47577,1
59796,1
24482,1
25117,1
393689,1
41690,1
135222,1
398743,1
55470,1
205193,1
400797,1
198032,1
200195,1
213438,1
37153,1
208488,1
131283,1
202521,1
214390,1
24611,1
137409,1
211922,1
54641,1
43298,1
34309,1
137978,1
3920,1
61098,1
63362,1
43415,1
8960,1
51888,1
44477,1
24898,1
24961,1
60114,1
393874,1
327766,1
53332,1
13830,1
9752,1
45894,1
18945,1
30961,1
46475,1
62082,1
201896,1
42312,1
140688,1
