asn,nb_hostnames
395747,4929
21664,745
394507,503
394192,407
213120,405
204915,296
16276,261
215859,228
39572,159
62567,107
8075,98
22612,63
52148,58
214455,58
5545,52
141995,52
7979,49
31936,48
26496,36
60781,34
47846,33
40824,31
133795,30
395458,29
3457,28
15706,28
63293,27
27589,27
204450,26
32338,25
19551,24
37963,23
38369,21
29066,20
26666,20
14907,20
139341,19
10753,19
6496,19
17668,19
8195,18
17025,18
328832,17
211612,17
24600,17
46606,16
50482,16
37662,16
41722,16
62768,16
12956,16
328137,16
19653,16
28320,16
6762,16
18881,16
56696,16
132337,16
15605,16
28398,16
19422,16
3844,16
1916,16
6057,16
263945,16
55293,16
12178,16
24961,15
60144,15
14441,15
2635,15
204800,15
36420,14
137409,14
24482,14
8560,14
49287,14
30148,13
63240,13
52468,13
45352,13
136373,13
6327,13
52320,13
17984,13
8919,13
396390,13
61568,13
29169,13
52167,13
45517,13
20764,13
2027,13
13786,13
51530,13
196753,13
64475,13
207841,13
270014,13
136620,13
5381,13
23520,13
48641,13
35360,13
8708,13
7589,13
15958,13
2614,13
14016,13
35600,13
38726,13
1031,13
29049,13
36678,13
35598,13
264409,13
52025,13
50628,13
14537,13
205920,13
15802,13
58521,13
12488,12
23352,11
53824,11
14853,11
207208,10
44907,10
58061,10
59692,10
139144,10
200325,10
54641,10
12322,9
56898,9
57724,8
46844,8
37474,7
45090,7
62068,7
13238,7
49714,7
204436,7
13442,7
28753,7
201768,7
49981,6
215300,6
51433,6
33837,6
10480,6
34400,6
3920,5
54994,5
8960,5
6698,5
216014,5
211942,5
42567,5
200019,5
61976,5
14466,4
207970,4
150078,4
6185,4
35425,4
214124,4
62243,4
64437,4
205585,4
202425,4
50517,4
26347,4
206264,4
9009,4
140688,4
37728,4
8069,4
151373,4
50474,4
210275,4
58294,4
51468,4
398256,4
199524,4
33157,4
199729,4
7941,3
34119,3
207809,3
211922,3
35753,3
53667,3
9121,3
5761,3
39015,3
48729,3
30340,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6939,3
262427,3
37251,3
327788,3
132602,3
9730,3
205544,3
62563,3
19905,3
327712,3
33387,3
23470,3
139057,3
57775,3
49610,3
45144,3
400754,3
43378,2
9916,2
207728,2
29684,2
26277,2
36998,2
200651,2
50980,2
148000,2
44477,2
50979,2
198993,2
56341,2
22169,2
49352,2
216154,2
29222,2
15505,2
36066,2
51905,2
37153,2
14576,2
393689,2
22720,2
397273,2
208710,2
33191,2
48434,2
395092,2
204206,2
205435,2
27267,2
30058,2
213797,2
3387,2
55960,2
208520,2
200449,2
138341,2
24971,2
142592,2
9123,2
197540,2
36459,2
14555,2
35280,2
59253,2
198032,2
6879,2
29256,2
24611,2
48254,2
63068,2
6127,2
32780,2
215322,2
42848,2
45420,2
202024,2
14315,2
46475,2
34788,2
14361,2
204601,2
204846,2
61102,2
36944,2
17561,2
150436,2
34222,2
42868,2
199218,2
36352,2
49474,2
20756,2
5498,1
44577,1
8517,1
43766,1
51304,1
38544,1
13446,1
57344,1
213232,1
57,1
56851,1
199193,1
51182,1
63362,1
208488,1
60362,1
207569,1
8739,1
4617,1
203147,1
207304,1
44932,1
200904,1
399358,1
51852,1
60114,1
211864,1
41528,1
37917,1
51975,1
214677,1
8622,1
53332,1
18905,1
393874,1
13886,1
15479,1
14113,1
200000,1
210032,1
201684,1
28885,1
36891,1
62744,1
36131,1
34931,1
13037,1
25234,1
198792,1
44128,1
200532,1
137517,1
21840,1
30961,1
34920,1
5467,1
215845,1
205193,1
196763,1
202242,1
55684,1
31264,1
10578,1
48314,1
133618,1
41690,1
7203,1
3208,1
23576,1
212772,1
31408,1
25184,1
40509,1
15535,1
14472,1
200195,1
213438,1
35744,1
51392,1
12678,1
200487,1
29544,1
40021,1
4608,1
63410,1
41231,1
41111,1
37010,1
399566,1
214303,1
55106,1
17055,1
36914,1
27473,1
2675,1
1152,1
14340,1
38955,1
51970,1
53038,1
393347,1
60524,1
3311,1
198610,1
7684,1
14415,1
33664,1
35179,1
38185,1
48760,1
30277,1
328654,1
24863,1
216139,1
204039,1
44901,1
212490,1
34655,1
47760,1
2665,1
59796,1
39686,1
32097,1
34342,1
27223,1
398743,1
205762,1
65115,1
29091,1
203417,1
36850,1
211521,1
214390,1
13627,1
397423,1
54290,1
11281,1
34388,1
210756,1
212477,1
57352,1
42846,1
215402,1
40699,1
49635,1
59467,1
3768,1
29690,1
12833,1
51358,1
786,1
204548,1
30475,1
328853,1
34282,1
49833,1
9752,1
400797,1
8705,1
63199,1
19973,1
13601,1
18229,1
23011,1
6738,1
9760,1
8523,1
42249,1
15817,1
20847,1
43955,1
39832,1
4258,1
27897,1
63210,1
21245,1
55235,1
210311,1
40476,1
196913,1
2561,1
36884,1
401605,1
4769,1
212216,1
59939,1
152880,1
29302,1
7859,1
327724,1
14824,1
49130,1
397849,1
11807,1
401200,1
42961,1
57687,1
702,1
202368,1
56872,1
206596,1
63760,1
204050,1
6848,1
56337,1
43962,1
7506,1
202492,1
47625,1
48324,1
44160,1
15318,1
204544,1
52012,1
200851,1
61969,1
55272,1
202656,1
22989,1
35258,1
61144,1
50332,1
328553,1
36057,1
12486,1
51894,1
