asn,nb_hostnames
395747,3212
21664,1188
213120,660
394192,433
8075,431
394507,327
43948,247
44136,245
12929,147
39651,143
41174,131
215859,113
62567,108
16276,107
5381,92
8473,84
2832,71
197332,70
197308,59
41528,59
206170,54
39572,51
202816,48
42649,42
51468,39
19551,37
35041,34
14907,34
8523,34
44581,33
29024,33
31936,28
2635,26
29217,26
211612,25
49409,24
29672,24
205585,24
2119,23
41216,23
48579,22
59692,22
211551,21
214455,21
200325,19
141995,18
34385,18
51433,18
63293,17
60781,17
5545,17
52011,16
199544,16
57724,16
31080,14
133795,13
40824,13
48220,12
200719,12
64437,11
202053,11
58061,11
395458,11
208001,10
20514,10
6496,10
27589,10
15991,10
24714,10
17668,10
8769,9
53667,9
3457,9
8560,9
52130,9
2845,9
207970,9
14853,9
13238,8
49714,8
10753,8
328832,8
56736,8
202368,8
197942,8
56682,8
29602,8
204450,8
35678,7
59467,7
17025,7
50482,7
37662,7
41722,7
62768,7
12956,7
328137,7
19653,7
24600,7
28320,7
6762,7
18881,7
56696,7
132337,7
15605,7
28398,7
19422,7
3844,7
1916,7
8195,7
6057,7
263945,7
211899,7
42595,7
49981,7
204915,7
49676,7
7979,7
42400,7
39078,6
137409,6
8708,6
7589,6
33837,6
25176,6
60248,6
6782,6
206799,6
202425,6
26666,6
8535,6
204601,6
215740,6
216350,6
35280,6
49232,6
51008,6
25466,6
6698,6
15688,6
133409,5
198568,5
50572,5
24482,5
2841,5
38369,5
196724,5
12322,5
19905,5
30818,5
36420,5
44320,5
2833,5
44696,5
57602,5
49272,5
5761,4
206387,4
12178,4
19399,4
51899,4
63240,4
52468,4
45352,4
136373,4
6327,4
52320,4
17984,4
8919,4
49287,4
396390,4
61568,4
29169,4
52167,4
45517,4
20764,4
2027,4
13786,4
51530,4
196753,4
64475,4
207841,4
270014,4
136620,4
23520,4
48641,4
35360,4
15958,4
2614,4
14016,4
35600,4
38726,4
1031,4
29049,4
36678,4
35598,4
264409,4
52025,4
50628,4
14537,4
205920,4
15802,4
30148,4
205316,4
39658,4
31264,4
25387,4
6939,4
205696,4
61213,4
205644,4
2799,4
12640,4
212216,4
2843,4
198965,4
51852,4
12935,4
34941,4
42303,4
56711,4
215783,4
199902,4
32338,4
12525,4
207728,4
213232,4
53824,3
