asn,nb_hostnames
395747,4438
21664,1314
213120,869
394192,345
394507,318
37963,168
8075,164
39572,163
19551,145
16276,118
38369,76
45090,72
139341,56
62567,54
201106,48
204915,40
36678,39
395458,37
14853,35
204450,34
140290,33
5545,32
214455,32
2635,31
54994,30
31936,29
215859,28
38719,27
4837,26
14907,26
19324,25
17668,25
45352,24
24482,23
30148,23
6496,23
135054,22
59253,21
396986,21
150436,21
40065,21
7979,21
394432,21
139144,21
3758,20
60781,20
63293,20
328832,20
10753,20
40824,20
138341,19
132200,19
17025,19
50482,19
37662,19
41722,19
62768,19
12956,19
328137,19
137409,19
19653,19
24600,19
28320,19
6762,19
18881,19
56696,19
132337,19
15605,19
28398,19
19422,19
3844,19
1916,19
8195,19
6057,19
263945,19
131138,19
49287,18
38019,18
4835,18
59692,17
13442,17
63240,17
52468,17
136373,17
6327,17
52320,17
17984,17
8919,17
396390,17
61568,17
29169,17
52167,17
45517,17
20764,17
2027,17
13786,17
51530,17
196753,17
64475,17
207841,17
270014,17
136620,17
5381,17
23520,17
48641,17
35360,17
8708,17
7589,17
15958,17
2614,17
14016,17
35600,17
38726,17
1031,17
29049,17
35598,17
264409,17
52025,17
50628,17
14537,17
205920,17
15802,17
211612,16
26496,14
23724,14
4808,13
401200,13
23576,13
140928,12
45474,12
205585,12
27589,12
22612,11
3457,11
35280,11
35908,11
9986,11
53667,10
200325,10
24572,10
131073,10
63199,10
26666,10
9764,10
17761,9
51433,9
133795,9
37936,9
23816,9
6939,9
33837,8
1250,8
8796,8
18377,8
135905,7
23979,7
49676,7
44907,7
906,7
6698,7
141995,7
131659,7
9930,6
49981,6
45898,6
36420,6
55293,6
139057,6
393299,6
32494,6
14117,6
49665,6
13030,6
1273,6
61049,6
61573,6
8231,6
48571,6
8529,6
64126,6
1000,6
262427,6
37251,6
327788,6
132602,6
9730,6
58061,6
64437,5
149656,5
60248,5
200019,5
4817,5
25820,5
213232,5
32338,5
133210,5
135360,5
202425,5
4694,5
26347,5
63993,5
9419,5
49714,5
13238,5
57724,5
207728,5
10480,5
42567,5
6185,5
9505,5
136959,5
134963,4
42532,4
4538,4
136190,4
58619,4
2497,4
38631,4
204601,4
9371,4
397849,4
30058,4
8560,4
215300,4
9688,4
202368,4
12322,4
11878,4
56898,4
151373,4
18310,4
202053,4
20661,4
7203,4
53824,4
199218,4
36080,3
135437,3
132111,3
4792,3
26042,3
132198,3
7658,3
206264,3
12178,3
18403,3
43641,3
207970,3
34369,3
46844,3
204544,3
399358,3
27647,3
38386,3
9370,3
8069,3
17436,3
53303,3
53850,3
10099,3
5761,3
32097,3
7684,3
40021,3
12640,3
62243,3
7941,3
131704,3
45894,3
47384,3
135623,3
7859,3
17841,3
212216,3
398256,3
199524,3
133861,3
4769,3
197540,3
61976,3
134542,3
63838,2
59524,2
54641,2
33191,2
62068,2
24161,2
63837,2
399566,2
400940,2
52130,2
37944,2
45576,2
59019,2
51852,2
200449,2
134760,2
9760,2
133752,2
44932,2
36459,2
147303,2
33387,2
32780,2
17733,2
44239,2
54801,2
132288,2
133775,2
131660,2
45668,2
211922,2
131965,2
55951,2
63210,2
3920,2
200324,2
38283,2
205762,2
135377,2
201706,2
201512,2
23820,2
7616,2
138160,2
393689,2
58541,2
63139,2
136191,2
58563,2
136188,2
35112,2
34309,2
206888,2
20068,2
14576,2
215740,2
137687,2
58466,2
63932,2
4616,2
393874,2
44386,2
137718,2
48434,2
202492,2
38731,2
45753,2
46606,2
137539,2
9802,2
140224,2
134176,2
62838,1
214618,1
45644,1
40430,1
136412,1
36516,1
140605,1
50214,1
64422,1
133050,1
56771,1
30880,1
131173,1
134770,1
138650,1
7630,1
141388,1
7664,1
41690,1
9506,1
7040,1
59078,1
395162,1
12678,1
201670,1
47002,1
198993,1
131723,1
199193,1
133385,1
17992,1
50979,1
201755,1
58294,1
207640,1
34222,1
55992,1
30109,1
136785,1
205373,1
51008,1
133798,1
58513,1
44112,1
207208,1
35634,1
399647,1
39686,1
53332,1
9858,1
41231,1
33083,1
216047,1
215845,1
57088,1
58593,1
24367,1
59073,1
38182,1
21581,1
63362,1
18978,1
328206,1
13506,1
45477,1
50980,1
36818,1
216014,1
44696,1
40699,1
212552,1
134238,1
63444,1
44009,1
23693,1
4713,1
136170,1
136052,1
151334,1
131582,1
56111,1
786,1
136800,1
35425,1
211942,1
212792,1
61210,1
48326,1
139659,1
8001,1
216154,1
15703,1
34918,1
152644,1
18051,1
65115,1
132068,1
9431,1
43211,1
40394,1
17784,1
3223,1
36850,1
200195,1
213438,1
47846,1
139456,1
35179,1
29066,1
201064,1
53587,1
397273,1
7489,1
46475,1
23522,1
140688,1
24211,1
24611,1
14340,1
211505,1
131447,1
134251,1
62856,1
6352,1
13767,1
31080,1
211392,1
200651,1
200320,1
213995,1
132224,1
135222,1
23033,1
4515,1
39392,1
49304,1
58476,1
17564,1
135133,1
46039,1
138997,1
55656,1
9952,1
3768,1
36914,1
215402,1
55247,1
133826,1
23421,1
214685,1
14315,1
9924,1
63835,1
3387,1
204770,1
64923,1
137697,1
133430,1
9906,1
9752,1
201744,1
134766,1
18945,1
137552,1
38544,1
43358,1
16848,1
9440,1
7544,1
59796,1
214390,1
47577,1
211413,1
33157,1
147168,1
59467,1
134481,1
35916,1
134809,1
133470,1
44244,1
9707,1
60077,1
63866,1
17451,1
153454,1
63410,1
20799,1
30961,1
59441,1
134546,1
18182,1
131623,1
205193,1
55960,1
58540,1
30209,1
7715,1
34947,1
208161,1
30083,1
203444,1
401696,1
54913,1
140766,1
13984,1
41608,1
55720,1
13041,1
21121,1
45370,1
19084,1
16034,1
204800,1
23856,1
10032,1
2665,1
58461,1
133058,1
62563,1
9059,1
61144,1
43955,1
16972,1
54288,1
198032,1
138415,1
59371,1
135387,1
45420,1
133256,1
148000,1
53755,1
11106,1
3361,1
24971,1
59210,1
141504,1
9292,1
18229,1
4847,1
55532,1
206972,1
400797,1
207143,1
136465,1
62325,1
5377,1
131283,1
7671,1
132056,1
211316,1
22653,1
36352,1
132193,1
131106,1
215467,1
49099,1
207809,1
131601,1
963,1
2514,1
200928,1
56341,1
30818,1
33265,1
11281,1
9009,1
210110,1
40850,1
46440,1
