asn,nb_hostnames
395747,2653
48894,697
43128,598
21664,583
213120,526
215859,459
41828,353
2107,335
394507,246
60114,239
394192,214
42681,190
62567,181
34779,139
28682,136
8075,125
35540,123
59834,105
6764,75
57854,69
141995,58
58046,52
39572,51
60435,50
197540,43
12417,38
152356,38
51025,36
14907,32
56635,32
47904,32
19551,28
31936,27
207746,27
214455,25
15317,24
26496,24
204915,20
60068,19
198627,19
59692,19
12778,19
2635,18
51577,18
12322,18
60781,17
133795,17
40824,17
50195,16
51859,16
63293,15
39387,14
200325,14
60009,13
47917,13
39392,12
8400,11
200440,11
8560,11
32338,11
52130,11
14853,11
57554,10
34788,10
214308,10
31545,10
29015,9
41543,9
29085,9
39210,9
41182,9
36420,9
43037,9
198785,9
202242,9
61969,9
198524,9
35648,9
49981,8
44632,8
58061,8
17668,8
28834,7
6496,7
20546,7
49612,7
206566,7
60047,7
3457,6
205316,6
214744,6
20523,6
55293,6
24971,6
48314,6
41916,6
200386,6
6427,6
50989,6
202425,6
64437,6
29066,6
27647,6
12178,6
197664,6
6794,5
43061,5
51013,5
5403,5
328832,5
8288,5
27589,5
16184,5
57623,5
202492,5
213306,5
7393,5
14537,5
47447,5
28850,5
24600,5
213232,5
28838,4
34594,4
25499,4
208243,4
212548,4
397423,4
7979,4
393299,4
32494,4
3844,4
201106,4
14117,4
49665,4
13030,4
28398,4
1273,4
61049,4
61573,4
18881,4
12956,4
8231,4
48571,4
263945,4
8529,4
64126,4
8195,4
10753,4
6057,4
62768,4
17025,4
395458,4
132337,4
19653,4
1000,4
6762,4
131073,4
328137,4
41722,4
28320,4
18377,4
37662,4
262427,4
37251,4
15605,4
19422,4
56696,4
329356,4
1916,4
132602,4
50482,4
9730,4
14441,4
204601,4
15685,4
9001,4
207970,4
46606,4
6698,4
34222,4
20522,4
47948,4
8692,4
30818,4
15554,4
47381,4
200449,4
26666,4
201563,4
38955,4
49714,4
44534,4
24676,4
29405,4
44696,4
30961,4
30148,4
31080,4
35023,3
42948,3
53667,3
215740,3
9009,3
199524,3
51565,3
44085,3
62297,3
200019,3
29222,3
215300,3
209847,3
34920,3
34309,3
41336,3
15393,3
41970,3
399566,3
206264,3
206575,3
59524,3
45002,3
44907,3
41640,3
9146,3
34772,3
20634,3
50815,3
49818,3
200514,3
42848,3
16161,3
202115,3
196895,3
2780,3
203463,3
5761,3
57352,3
401200,3
199218,3
12437,3
52030,3
51852,3
211922,3
57169,3
57788,3
49494,3
12874,3
44073,3
42567,3
204548,3
42656,3
56341,3
31012,3
48040,3
56898,2
15889,2
48164,2
37963,2
42371,2
51615,2
206808,2
44477,2
35280,2
201744,2
44133,2
207697,2
212363,2
41582,2
207604,2
199236,2
34362,2
8856,2
56651,2
35779,2
24961,2
25277,2
41505,2
398256,2
201200,2
56682,2
3330,2
51143,2
8375,2
44823,2
29686,2
197907,2
39202,2
10480,2
49636,2
205762,2
200651,2
8535,2
57088,2
206344,2
15425,2
61065,2
211187,2
40994,2
7203,2
25034,2
6656,2
211864,2
15512,2
