asn,nb_hostnames
395747,2367
51013,845
198627,623
21664,462
213120,420
29405,380
51025,362
215859,357
8288,333
24971,311
39392,169
62567,159
51278,158
394507,157
34432,156
16276,139
394192,135
48689,135
15685,134
8075,121
197642,100
2607,99
197019,95
57788,68
24806,65
34222,57
8257,56
39572,49
25234,43
15962,41
214308,40
2819,36
24641,34
141995,33
25373,31
39790,30
31936,28
215846,27
41824,24
14907,23
43037,23
5545,21
211612,20
59692,19
26496,19
25248,17
200325,17
57707,16
15512,16
212224,16
64407,16
20523,16
50128,16
204949,16
38952,16
63293,15
43614,15
214455,15
197248,15
52130,15
40824,15
208058,14
206344,14
2852,14
202115,14
29208,13
42422,12
196944,12
206548,12
19551,12
57724,12
58061,11
133795,11
15425,11
50825,11
60781,11
35280,10
25496,10
204915,10
59925,9
49818,9
28952,9
49981,9
42656,9
211490,8
32338,8
42371,8
12322,8
35328,8
34342,8
3457,7
25424,7
42841,7
2635,7
44672,7
14853,7
30818,6
47381,6
197013,6
47169,6
202425,6
27589,6
41075,6
20546,6
28924,6
61976,6
30898,6
48760,6
202242,5
64437,5
207728,5
213232,5
59467,5
204601,5
198346,5
29085,5
207970,5
62083,5
33837,5
12824,5
31080,5
16161,5
8560,4
204530,4
199524,4
51586,4
26666,4
47195,4
56682,4
207981,4
208906,4
56566,4
28753,4
6496,4
6939,4
49714,4
13238,4
206892,4
206712,4
205316,4
55293,4
47232,4
3330,4
17668,4
43542,3
214744,3
56656,3
37963,3
58328,3
401200,3
34820,3
30904,3
200844,3
44696,3
6698,3
200019,3
45090,3
215300,3
25512,3
213980,3
44477,3
44460,3
44907,3
1955,3
8856,3
205300,3
41722,3
59448,3
12417,3
196752,3
34443,3
43413,3
30148,3
197451,3
47544,3
39210,3
60114,3
48894,3
51248,3
210579,3
48040,3
198785,3
29066,3
207255,3
9159,3
59939,3
24600,3
197540,3
33664,3
59774,2
61998,2
53667,2
61425,2
202564,2
20568,2
49494,2
28755,2
9009,2
21288,2
12743,2
62243,2
13274,2
21430,2
44133,2
210756,2
49044,2
30836,2
15967,2
20723,2
56898,2
39456,2
60715,2
211187,2
50980,2
42000,2
43298,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
18881,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
328832,2
8195,2
10753,2
6057,2
62768,2
17025,2
395458,2
132337,2
19653,2
1000,2
6762,2
131073,2
328137,2
28320,2
18377,2
37662,2
262427,2
37251,2
15605,2
19422,2
56696,2
327788,2
1916,2
132602,2
50482,2
9730,2
211768,2
14340,2
50953,2
12508,2
50338,2
39896,2
14824,2
5761,2
24727,2
48304,2
8400,2
201922,2
36420,2
12678,2
7941,2
200449,2
34702,2
202053,2
12640,2
211922,2
14537,2
60230,2
204058,2
39817,2
47493,2
59871,2
205081,2
7203,2
15554,2
62449,2
49798,2
30109,2
49659,2
24690,2
211864,2
42964,2
25393,2
202682,2
59524,2
206264,2
210379,2
43359,2
207325,2
44880,2
206575,2
58014,2
51331,2
42848,2
203417,2
8692,2
8535,2
23576,2
50840,2
31586,2
15953,2
9764,2
208712,1
200114,1
14441,1
47890,1
43351,1
51008,1
44136,1
48314,1
200651,1
12912,1
48950,1
203328,1
56837,1
202492,1
51947,1
20988,1
203444,1
42572,1
198543,1
214390,1
53332,1
64999,1
32632,1
60533,1
34040,1
200195,1
213438,1
24909,1
197875,1
28771,1
48896,1
5403,1
209847,1
56864,1
58010,1
200356,1
203178,1
51400,1
136264,1
197307,1
6656,1
32780,1
30725,1
202223,1
212422,1
6185,1
46606,1
14744,1
60086,1
34275,1
60602,1
202521,1
50979,1
201744,1
27223,1
197398,1
208443,1
2108,1
41690,1
57007,1
39020,1
45894,1
42532,1
216083,1
35785,1
44386,1
23421,1
48417,1
50410,1
32903,1
27647,1
28725,1
44901,1
199600,1
33083,1
39686,1
8481,1
29182,1
205865,1
16298,1
20677,1
47577,1
213205,1
20509,1
64427,1
43070,1
204907,1
393874,1
201163,1
51920,1
50698,1
44453,1
59776,1
35744,1
10480,1
48326,1
212138,1
211689,1
21787,1
49127,1
12874,1
48661,1
42681,1
207945,1
34798,1
134963,1
395162,1
56624,1
49985,1
204039,1
205275,1
24482,1
25011,1
7979,1
61210,1
2571,1
24676,1
198167,1
202816,1
206775,1
206980,1
212792,1
21334,1
58153,1
399358,1
57352,1
47777,1
42567,1
9371,1
61065,1
57775,1
41018,1
207560,1
205193,1
39478,1
43937,1
20522,1
7859,1
57081,1
36459,1
214072,1
59834,1
22612,1
34309,1
61400,1
209050,1
201348,1
51605,1
211316,1
201265,1
24611,1
49206,1
200000,1
215402,1
8620,1
197431,1
38949,1
209531,1
207517,1
20889,1
60071,1
205762,1
65115,1
57606,1
30961,1
57547,1
65000,1
57475,1
207481,1
207203,1
35425,1
44302,1
29389,1
29686,1
3209,1
197083,1
200088,1
11281,1
197046,1
57560,1
8312,1
3920,1
6724,1
201200,1
13535,1
47447,1
12954,1
64488,1
60798,1
1764,1
34989,1
43248,1
199218,1
208488,1
205373,1
213306,1
33157,1
216014,1
50313,1
25117,1
199636,1
204668,1
50689,1
43091,1
24961,1
201706,1
205948,1
204394,1
197296,1
19969,1
198547,1
60009,1
43896,1
36352,1
207697,1
213737,1
53755,1
51577,1
207640,1
56324,1
48729,1
30886,1
28834,1
33191,1
41591,1
8251,1
