asn,nb_hostnames
395747,2232
21664,780
213120,477
394507,380
394192,273
62567,121
204915,117
8075,102
215859,59
39572,56
22612,49
2635,42
35540,39
19551,39
214455,37
31936,30
37963,26
26496,26
63293,24
38369,22
60781,20
133795,20
7979,18
47846,18
46606,17
14853,17
12178,14
14907,13
30148,13
8560,11
141995,10
3457,10
14441,10
36420,9
49025,8
139341,8
58061,8
60068,8
40824,8
44907,7
37153,7
202492,7
26666,7
54641,7
24600,7
49287,6
200325,6
45090,6
40021,6
12322,6
150078,5
27589,5
54994,5
19648,5
14555,5
55470,5
6185,5
58294,5
15317,5
5761,5
48254,5
47002,5
10753,5
199524,5
53824,4
786,4
23352,4
3920,4
55293,4
13442,4
401200,4
200449,4
6496,4
50989,4
9009,4
52130,4
42848,4
54801,4
22720,4
44009,3
32338,3
53667,3
151373,3
397849,3
35425,3
200019,3
12129,3
34931,3
202425,3
29066,3
214124,3
49610,3
202053,3
62068,3
26347,3
10480,3
12488,3
199729,3
55960,3
7941,3
61976,3
204800,3
30961,2
56898,2
139057,2
328252,2
11106,2
14340,2
200000,2
19853,2
11807,2
204548,2
46475,2
216154,2
31586,2
329109,2
20264,2
36988,2
201755,2
400754,2
205435,2
14315,2
26277,2
35280,2
205585,2
8288,2
52148,2
15699,2
50980,2
28753,2
55688,2
14466,2
62243,2
44534,2
49714,2
33191,2
36459,2
4258,2
23470,2
47384,2
17561,2
3387,2
60144,2
204601,2
215322,2
329184,2
51468,2
37309,2
139144,2
34655,2
58521,2
24611,2
6698,2
399566,1
51433,1
212490,1
393874,1
139659,1
40651,1
51970,1
49612,1
210250,1
214744,1
3768,1
45644,1
57687,1
142592,1
46981,1
136165,1
30340,1
10578,1
203639,1
12833,1
214685,1
150436,1
40539,1
46864,1
34920,1
29614,1
30988,1
37350,1
30994,1
53850,1
8987,1
3361,1
204544,1
13438,1
55569,1
6427,1
329023,1
47521,1
59692,1
26752,1
12400,1
64437,1
132856,1
147168,1
137409,1
37449,1
205762,1
10098,1
8262,1
33387,1
36963,1
37164,1
212216,1
400940,1
45664,1
20559,1
202368,1
399358,1
7040,1
63362,1
59939,1
1851,1
59524,1
22653,1
59467,1
24961,1
8705,1
59253,1
18779,1
215300,1
328170,1
51392,1
53589,1
1152,1
200532,1
199218,1
400797,1
50517,1
9760,1
395092,1
196645,1
34119,1
42400,1
55532,1
17025,1
200195,1
213438,1
60885,1
211864,1
41690,1
33265,1
63410,1
61098,1
22560,1
24971,1
38365,1
18310,1
22075,1
201200,1
213737,1
45894,1
196763,1
33956,1
141518,1
58153,1
202242,1
34222,1
132335,1
400275,1
14472,1
399250,1
17363,1
214390,1
197019,1
43948,1
208488,1
39134,1
206972,1
62856,1
39202,1
52011,1
12064,1
9688,1
48729,1
25820,1
8659,1
60230,1
12843,1
208561,1
53332,1
44160,1
208176,1
58487,1
12996,1
199867,1
32097,1
207970,1
18905,1
12641,1
140688,1
2665,1
25145,1
207208,1
206264,1
39817,1
49635,1
14113,1
34888,1
398256,1
36850,1
29571,1
9371,1
13830,1
36516,1
131283,1
398743,1
49981,1
198032,1
60114,1
11281,1
57344,1
398787,1
15817,1
398017,1
9752,1
328832,1
2611,1
51852,1
18945,1
59796,1
51540,1
50474,1
200928,1
56341,1
39239,1
43962,1
201936,1
61144,1
702,1
393689,1
63760,1
13984,1
397273,1
140290,1
4134,1
36352,1
198993,1
48669,1
35908,1
7859,1
3360,1
7506,1
12678,1
394230,1
203976,1
16839,1
44477,1
138341,1
553,1
397423,1
6724,1
37100,1
8070,1
15318,1
58611,1
152880,1
