asn,nb_hostnames
395747,319
21664,196
213120,191
35540,108
394507,92
202242,83
394192,60
52030,49
197664,41
215859,40
15433,38
8075,25
19551,16
199325,10
63293,10
205139,8
20522,8
14907,8
39572,8
62567,8
141995,7
2635,6
14853,6
31936,5
8560,5
20580,5
47242,4
12874,4
48815,3
196874,3
214455,3
137,3
203612,3
13182,3
12640,3
60781,3
8968,2
29177,2
399566,2
203201,2
45041,2
58061,2
133795,2
44907,2
29082,2
31617,2
60798,2
3457,2
34699,2
30148,2
39217,2
12954,2
34931,1
206566,1
16161,1
29222,1
26666,1
30848,1
7979,1
393874,1
31586,1
11281,1
60087,1
33964,1
64437,1
205762,1
6185,1
8612,1
139144,1
49367,1
204915,1
202346,1
42567,1
35744,1
211187,1
52130,1
200325,1
60068,1
30961,1
13284,1
13160,1
43843,1
60114,1
20546,1
12322,1
24608,1
12779,1
44803,1
7941,1
34655,1
54994,1
34920,1
399358,1
199524,1
42692,1
41690,1
8660,1
24611,1
30722,1
36459,1
201579,1
34222,1
203461,1
35357,1
207697,1
50198,1
