asn,nb_hostnames
395747,3658
21664,1036
394507,683
213120,637
35540,525
394192,317
204915,162
8075,149
8346,139
62567,117
215859,108
210403,100
50474,87
12322,81
39572,77
29222,70
46606,67
328147,62
8560,46
19551,46
214455,41
26496,41
53589,38
31936,35
141995,34
328650,34
37963,33
2057,32
24600,32
6496,29
7979,26
202492,25
63293,25
37649,24
14853,23
22612,22
15317,22
36420,22
2635,22
38369,21
54641,21
40824,21
14907,20
60781,19
395458,19
29169,18
47422,18
54994,17
49287,16
59692,16
60068,15
8195,15
10753,14
133795,14
376,14
8228,14
25117,13
8839,13
12178,13
328832,12
49981,12
30148,12
62068,12
17025,12
14441,11
2611,11
58061,11
200019,11
17668,11
50482,10
37662,10
41722,10
62768,10
12956,10
328137,10
137409,10
19653,10
24482,10
28320,10
6762,10
18881,10
56696,10
132337,10
15605,10
28398,10
19422,10
3844,10
1916,10
14537,10
6057,10
263945,10
3457,10
200356,10
37196,10
47846,10
57633,10
35589,10
14466,10
63240,9
52468,9
45352,9
136373,9
6327,9
52320,9
17984,9
9015,9
19782,9
61568,9
200039,9
132045,9
20764,9
2027,9
13786,9
51530,9
196753,9
64475,9
207841,9
270014,9
44684,9
23520,9
48641,9
35360,9
8708,9
7589,9
15958,9
2614,9
14016,9
35600,9
38726,9
1031,9
29049,9
4134,9
35598,9
264409,9
52025,9
50628,9
205920,9
15802,9
60362,9
4200000021,9
45090,9
26666,9
207208,9
204800,9
200325,8
210770,8
1897,8
53824,8
44907,8
55293,8
139144,8
34993,7
44534,7
49714,7
14576,7
139341,7
203461,6
327809,6
64437,6
216014,6
24961,6
50989,6
9009,6
36352,6
6698,6
202425,5
51468,5
44976,5
401200,5
49152,5
150078,5
22049,5
6185,5
199524,5
213232,5
27589,4
53755,4
10480,4
398256,4
49612,4
5761,4
34222,4
6713,4
215740,4
215300,4
200521,4
8304,4
48744,4
207970,4
3920,4
23352,4
46475,4
30961,4
151373,4
34863,4
56341,4
202242,4
13442,4
35425,4
6427,4
199218,4
216154,3
139057,3
49352,3
16326,3
328558,3
21409,3
56898,3
42567,3
214124,3
397849,3
206264,3
13193,3
39241,3
51888,3
36786,3
39072,3
61098,3
28753,3
2665,3
44009,3
40699,3
32338,3
3296,3
34119,3
41653,3
6724,3
59253,3
60855,3
198610,3
198993,3
201936,3
48729,3
328252,3
42848,3
6656,3
205762,3
213394,3
26347,3
50446,3
7941,3
199729,3
199636,3
50980,3
138341,3
24611,3
209349,3
62243,2
9760,2
36459,2
40476,2
327712,2
63410,2
328193,2
44160,2
25094,2
397273,2
48809,2
215322,2
8069,2
197540,2
31586,2
35744,2
57809,2
199777,2
207758,2
14315,2
18779,2
12640,2
696,2
34699,2
212490,2
44477,2
140688,2
15685,2
52130,2
23576,2
4258,2
201896,2
211922,2
208128,2
20546,2
29182,2
8399,2
196645,2
52030,2
53667,2
43311,2
17561,2
205585,2
51430,2
216353,2
9123,2
8987,2
33157,2
51625,2
36666,2
3387,2
23816,2
24572,2
54643,2
48703,2
7203,2
200449,2
28683,2
65001,2
35280,2
611,2
39444,2
29066,2
37153,2
33956,2
328259,2
12874,2
14472,2
26277,2
58521,2
137,2
46864,2
9986,2
52148,2
33191,2
213737,2
202053,2
24971,2
200107,2
20580,2
22720,2
9764,2
42240,2
29544,1
47836,1
210544,1
51433,1
142592,1
60009,1
23033,1
12926,1
41191,1
20264,1
9038,1
48140,1
208096,1
210274,1
40651,1
20068,1
214390,1
8473,1
39825,1
210848,1
786,1
42910,1
42400,1
399566,1
15808,1
28977,1
132824,1
36891,1
8517,1
39162,1
28178,1
205312,1
211904,1
54606,1
63447,1
12993,1
2602,1
22169,1
204601,1
135905,1
198340,1
37107,1
55017,1
14555,1
61136,1
34388,1
60798,1
148000,1
12386,1
50517,1
199325,1
214744,1
45753,1
18310,1
208276,1
49835,1
19905,1
60342,1
55470,1
8705,1
14415,1
35916,1
394277,1
328853,1
6738,1
11019,1
199167,1
11807,1
62755,1
8309,1
48669,1
29608,1
60368,1
327769,1
10954,1
202368,1
40021,1
1152,1
43532,1
47300,1
212792,1
41410,1
36080,1
34619,1
51970,1
15826,1
13601,1
48763,1
2675,1
37611,1
398787,1
60144,1
31178,1
29571,1
41690,1
20900,1
9605,1
5467,1
15480,1
204548,1
50624,1
35258,1
39134,1
62370,1
400754,1
216071,1
214319,1
216194,1
393689,1
200928,1
201744,1
44850,1
137718,1
4835,1
41231,1
39506,1
61251,1
203417,1
55569,1
205193,1
34235,1
61144,1
37648,1
28971,1
30722,1
399358,1
207728,1
328997,1
39896,1
13571,1
208488,1
39104,1
204544,1
65115,1
42745,1
2780,1
199758,1
61976,1
36884,1
56798,1
198792,1
15479,1
16839,1
14824,1
29110,1
64999,1
32632,1
47543,1
140290,1
14489,1
200532,1
19983,1
48813,1
23393,1
33676,1
214618,1
12678,1
22953,1
16061,1
328867,1
202321,1
41372,1
1048,1
51852,1
134365,1
53038,1
212422,1
7859,1
11281,1
9752,1
201188,1
398017,1
133618,1
24898,1
36066,1
206192,1
6127,1
59467,1
208789,1
198203,1
27264,1
4150,1
30600,1
45666,1
28838,1
39029,1
24691,1
9505,1
393874,1
31705,1
15703,1
3728,1
42422,1
37738,1
65002,1
44166,1
3208,1
31577,1
42656,1
393249,1
58487,1
201085,1
34920,1
207809,1
15966,1
5410,1
44407,1
198913,1
51269,1
46844,1
28704,1
212815,1
61306,1
12064,1
9208,1
56872,1
12565,1
49610,1
12417,1
200102,1
215845,1
30983,1
200195,1
213438,1
3352,1
59787,1
205435,1
57344,1
134926,1
197712,1
36925,1
39686,1
29691,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
47123,1
18978,1
400797,1
3768,1
59689,1
15318,1
60230,1
203639,1
13984,1
57687,1
53332,1
9159,1
207660,1
22653,1
60550,1
394695,1
150436,1
8657,1
61047,1
57352,1
29302,1
211381,1
210032,1
15456,1
23522,1
36995,1
400275,1
197562,1
48040,1
205461,1
47524,1
63760,1
4837,1
60922,1
553,1
2514,1
201706,1
36850,1
215402,1
133409,1
680,1
48254,1
152880,1
327746,1
29264,1
16128,1
204039,1
135377,1
15149,1
208353,1
399250,1
9121,1
