asn,nb_hostnames
395747,4523
21664,1050
213120,564
394507,449
394192,400
204915,210
62567,172
39572,160
215859,149
16276,124
8075,122
202492,68
2635,55
22612,54
214455,49
31936,47
19551,44
5545,44
26496,39
46606,38
7979,32
40824,32
60781,30
14907,29
49287,29
395458,28
14441,27
204450,26
63293,25
37371,24
48254,24
37963,24
141995,23
211612,22
133795,21
38369,21
55293,21
32338,21
53824,20
10480,19
6496,18
14853,18
30148,17
3457,17
10753,17
17668,17
328832,16
27589,16
200325,16
51468,16
24600,16
12322,16
58061,15
17025,15
50482,15
37662,15
41722,15
62768,15
12956,15
328137,15
19653,15
28320,15
6762,15
18881,15
56696,15
132337,15
15605,15
28398,15
19422,15
3844,15
1916,15
8195,15
6057,15
263945,15
44907,14
137409,14
24482,14
62068,14
36420,14
12178,14
139341,13
47846,13
63240,13
52468,13
45352,13
136373,13
6327,13
52320,13
17984,13
8919,13
396390,13
61568,13
29169,13
52167,13
45517,13
20764,13
2027,13
13786,13
51530,13
196753,13
64475,13
207841,13
270014,13
136620,13
5381,13
23520,13
48641,13
35360,13
8708,13
7589,13
15958,13
2614,13
14016,13
35600,13
38726,13
1031,13
29049,13
36678,13
35598,13
264409,13
52025,13
50628,13
14537,13
205920,13
15802,13
207208,13
54994,12
49981,12
36914,11
24757,11
37473,11
26666,11
36066,11
46844,10
3920,9
45090,9
8560,9
56898,9
216014,9
150078,9
49714,9
13238,9
59692,9
54641,9
401200,8
137,8
44009,8
52148,8
13442,8
58521,8
204800,8
200019,7
9121,7
199524,7
64437,6
55470,6
28753,6
215300,6
40021,6
33837,6
6185,6
26347,5
214124,5
28977,5
9123,5
151373,5
202425,5
57724,5
6698,5
48040,5
24961,4
14576,4
12488,4
35425,4
29066,4
398256,4
60144,4
7941,4
786,4
328250,4
34699,4
198610,4
30990,4
397273,4
199729,4
34619,4
7203,4
9009,3
131659,3
35744,3
216154,3
206264,3
210250,3
27223,3
139057,3
30083,3
133618,3
37153,3
50980,3
8069,3
329163,3
62243,3
5761,3
329184,3
42745,3
213232,3
207970,3
61976,3
17561,3
49610,3
399250,3
2611,3
55960,3
211922,3
8705,3
199218,3
22720,3
20,2
33191,2
3401,2
328319,2
4769,2
49352,2
197540,2
51433,2
142592,2
208561,2
140688,2
63760,2
42873,2
210275,2
61144,2
200449,2
11106,2
46864,2
211942,2
135905,2
14113,2
47524,2
205435,2
53667,2
214618,2
54643,2
59796,2
3387,2
328089,2
44136,2
394695,2
215845,2
397849,2
37010,2
60368,2
133719,2
44239,2
14466,2
12064,2
2665,2
327687,2
393689,2
61102,2
200195,2
29222,2
23576,2
201936,2
48729,2
57344,2
210848,2
51970,2
212490,2
47002,2
47195,2
399358,2
207728,2
215846,2
21245,2
393299,2
32494,2
201106,2
14117,2
49665,2
13030,2
1273,2
61049,2
