asn,nb_hostnames
395747,2560
21664,728
213120,607
394507,305
394192,274
62567,111
8075,102
39572,87
35540,76
215859,68
31586,58
263240,53
204915,52
31936,46
7979,44
2635,40
40824,29
54641,28
55293,27
12178,27
214455,27
19551,26
15317,26
35744,26
30961,24
263799,24
14441,24
60781,23
63293,23
46606,20
27589,19
1152,19
14907,18
47846,17
51468,17
133795,17
20847,15
12859,15
15703,15
41887,15
206281,15
60068,15
14853,15
27553,13
38369,12
26496,11
395458,10
47422,10
39292,9
58061,9
30148,9
397849,9
139341,8
200325,8
40021,7
42567,7
58521,7
42585,7
27521,7
20264,7
59692,7
22612,7
6496,7
36420,6
328832,6
26666,6
10753,6
137409,6
24482,6
8708,6
37963,6
24586,6
63410,6
20559,6
50989,6
53824,6
49287,6
24600,6
138341,5
64437,5
141995,5
215300,5
205876,5
6724,5
54994,5
24971,5
202053,5
23352,5
17025,5
50482,5
63240,5
52468,5
45352,5
136373,5
6327,5
37662,5
41722,5
52320,5
62768,5
12956,5
17984,5
9015,5
19782,5
328137,5
61568,5
29169,5
200039,5
132045,5
20764,5
2027,5
19653,5
13786,5
51530,5
196753,5
28320,5
64475,5
6762,5
207841,5
270014,5
44684,5
18881,5
35589,5
23520,5
56696,5
48641,5
35360,5
7589,5
17668,5
132337,5
15958,5
2614,5
14016,5
15605,5
28398,5
35600,5
19422,5
38726,5
1031,5
3844,5
29049,5
4134,5
35598,5
1916,5
264409,5
52025,5
50628,5
14537,5
8195,5
205920,5
6057,5
263945,5
15802,5
200019,5
3223,5
13442,5
204800,5
8560,4
49981,4
48645,4
212098,4
5761,4
6185,4
52580,4
62003,4
401200,4
202425,4
45090,4
44907,4
213504,4
200449,4
12322,4
4258,4
31673,4
22720,4
6698,4
24595,4
8839,3
47121,3
31624,3
52130,3
28836,3
214124,3
9009,3
3457,3
50980,3
206264,3
32338,3
34655,3
198610,3
59943,3
207829,3
7941,3
264645,3
9123,3
24961,3
199524,3
211922,3
7203,3
38365,3
62353,3
51088,2
36459,2
15879,2
15149,2
11807,2
211499,2
8069,2
42093,2
398256,2
35425,2
15966,2
213065,2
34920,2
49677,2
216353,2
216154,2
62068,2
39704,2
33157,2
2514,2
62856,2
200195,2
62243,2
10480,2
24730,2
44534,2
49714,2
10954,2
400754,2
151373,2
29001,2
13830,2
10929,2
29028,2
60550,2
38913,2
36080,2
51852,2
29066,2
57088,2
56898,2
33191,2
40699,2
50474,2
213192,2
196752,2
57633,2
27223,2
5639,2
205461,2
48729,2
48040,2
200569,1
1124,1
202553,1
26505,1
203639,1
33676,1
29063,1
53332,1
61098,1
212792,1
36850,1
393874,1
150436,1
210243,1
48669,1
396356,1
202368,1
26752,1
214673,1
51433,1
63199,1
64416,1
203037,1
23576,1
56872,1
210977,1
150078,1
15699,1
215730,1
53850,1
12678,1
8312,1
20953,1
41690,1
328174,1
36066,1
60114,1
53667,1
48314,1
61306,1
58212,1
46864,1
61065,1
60144,1
200000,1
39804,1
22049,1
35260,1
140688,1
398743,1
40539,1
14315,1
28753,1
214390,1
14956,1
9752,1
59524,1
210728,1
198203,1
24611,1
393689,1
61969,1
11139,1
56851,1
24282,1
51758,1
208561,1
214685,1
54552,1
39686,1
133409,1
32097,1
10578,1
205157,1
46844,1
215402,1
27715,1
59253,1
199218,1
22653,1
3920,1
203172,1
32632,1
138650,1
27264,1
4150,1
30600,1
61976,1
198340,1
33182,1
39134,1
63760,1
213438,1
201706,1
36666,1
205193,1
30475,1
215540,1
209377,1
61144,1
20546,1
44477,1
204601,1
42755,1
52148,1
15201,1
57168,1
46475,1
213232,1
18747,1
197540,1
48254,1
16350,1
2611,1
28685,1
2057,1
30361,1
23470,1
399522,1
4129,1
133050,1
43190,1
44066,1
62082,1
43641,1
41653,1
34222,1
215467,1
216071,1
197902,1
45666,1
400797,1
18905,1
8481,1
208258,1
50684,1
139144,1
49612,1
399566,1
33265,1
63362,1
200651,1
55569,1
45420,1
215740,1
28604,1
61210,1
131965,1
202075,1
207970,1
12640,1
59939,1
12595,1
47543,1
26042,1
28917,1
399358,1
49352,1
210976,1
35280,1
18229,1
59467,1
13601,1
205585,1
8228,1
26347,1
207647,1
201401,1
142592,1
34953,1
18945,1
200353,1
29584,1
42422,1
27647,1
200044,1
12313,1
11816,1
7859,1
45894,1
200352,1
29097,1
55033,1
14576,1
204983,1
397423,1
8987,1
54913,1
207208,1
11281,1
3387,1
