asn,nb_hostnames
395747,2148
21664,591
213120,391
394507,244
394192,203
204915,92
62567,87
8075,81
39572,77
215859,55
214455,36
31936,36
35540,32
7979,32
22612,31
19551,31
2635,30
47846,29
63293,27
15317,20
133795,20
60781,20
14907,17
38369,16
37963,16
139341,14
14853,14
395458,14
47422,14
327687,11
10753,11
6496,11
12178,11
24600,11
30148,9
40824,9
26666,9
3457,8
49287,8
137409,8
4134,8
328832,8
49981,8
141995,8
60068,8
26496,8
44009,7
17025,7
50482,7
63240,7
52468,7
45352,7
136373,7
6327,7
37662,7
41722,7
52320,7
62768,7
12956,7
17984,7
9015,7
19782,7
328137,7
61568,7
29169,7
200039,7
132045,7
20764,7
2027,7
19653,7
13786,7
51530,7
196753,7
24482,7
28320,7
64475,7
6762,7
207841,7
270014,7
44684,7
18881,7
35589,7
23520,7
56696,7
48641,7
35360,7
8708,7
7589,7
17668,7
132337,7
15958,7
2614,7
14016,7
15605,7
28398,7
35600,7
19422,7
38726,7
1031,7
3844,7
29049,7
35598,7
1916,7
264409,7
52025,7
50628,7
14537,7
8195,7
205920,7
6057,7
263945,7
15802,7
28753,7
44907,7
36914,7
27589,7
200325,7
202492,7
37100,6
32338,6
13442,6
46606,6
49025,6
36420,6
6185,5
58061,5
37010,5
10480,5
200019,5
28977,5
3920,4
23352,4
53824,4
5761,4
327724,4
47002,4
12322,4
62068,4
207208,4
8560,4
54641,4
55293,4
204800,4
202425,3
200449,3
51894,3
142592,3
52148,3
58521,3
26347,3
56898,3
60144,3
150078,3
14441,3
50989,3
148000,3
52130,3
33387,3
7941,3
58294,3
198993,2
45644,2
45090,2
31586,2
2018,2
50980,2
14315,2
62243,2
16839,2
327755,2
14555,2
199218,2
398256,2
9009,2
33771,2
137331,2
34655,2
38185,2
205435,2
15706,2
53667,2
46475,2
2665,2
328252,2
40021,2
54994,2
210250,2
33182,2
401200,2
139144,2
42848,2
60248,2
14466,2
137978,2
398787,2
22720,2
397849,2
399250,1
35425,1
400797,1
215322,1
204544,1
206264,1
204846,1
39134,1
397273,1
18229,1
140290,1
51375,1
19969,1
139057,1
215300,1
328358,1
11281,1
61144,1
24961,1
37654,1
18945,1
147168,1
14340,1
53332,1
7040,1
395092,1
57344,1
10798,1
328089,1
7859,1
55470,1
24186,1
37684,1
200107,1
12678,1
202816,1
44477,1
56655,1
36352,1
198610,1
6698,1
36459,1
49612,1
214685,1
8705,1
24611,1
201200,1
51970,1
44932,1
8739,1
327766,1
63362,1
48254,1
57,1
8070,1
9688,1
3387,1
23470,1
60230,1
42400,1
132856,1
48040,1
10929,1
60526,1
205762,1
59939,1
49714,1
44534,1
62856,1
48295,1
399358,1
13830,1
136052,1
208488,1
9121,1
207970,1
132043,1
15318,1
12491,1
201936,1
203461,1
35744,1
24757,1
26277,1
41690,1
54552,1
329184,1
64437,1
202917,1
63410,1
46864,1
31727,1
25697,1
399566,1
13438,1
11105,1
36998,1
42567,1
36850,1
34222,1
33191,1
37153,1
198032,1
8262,1
393874,1
40651,1
136165,1
9752,1
35280,1
15699,1
328813,1
393689,1
398743,1
29091,1
28824,1
201768,1
133050,1
25504,1
214390,1
147303,1
214124,1
31264,1
51433,1
202242,1
203639,1
4258,1
199524,1
12097,1
22653,1
43641,1
17363,1
8622,1
34119,1
200851,1
12488,1
3768,1
50517,1
48669,1
202368,1
30994,1
140688,1
133643,1
54290,1
34931,1
46440,1
18905,1
216154,1
37679,1
141504,1
2675,1
208176,1
55960,1
400940,1
9129,1
37594,1
