asn,nb_hostnames
395747,288
213120,90
21664,66
394507,55
394192,33
39572,21
214455,18
62567,16
8075,14
16276,13
1897,11
63293,10
52580,8
31936,8
328191,6
28604,6
14907,6
8657,6
7979,5
204915,5
14853,5
36420,4
58521,4
141995,4
2635,3
12353,3
19551,3
44907,3
3457,3
24768,3
38369,3
215859,2
58061,2
138341,2
59787,2
33876,2
133795,2
12833,2
62416,2
12322,2
54994,2
30148,2
25253,2
29003,2
200325,1
211612,1
5626,1
15201,1
10954,1
150078,1
51433,1
34655,1
8473,1
6656,1
7941,1
34788,1
37963,1
13238,1
49714,1
55293,1
6185,1
200019,1
11281,1
50980,1
393874,1
36459,1
12926,1
60781,1
23470,1
28753,1
9009,1
40699,1
34309,1
30277,1
208561,1
5761,1
24600,1
41690,1
31586,1
139341,1
396356,1
53755,1
53055,1
394603,1
39384,1
24611,1
50474,1
26496,1
