asn,nb_hostnames
395747,4063
21664,1253
213120,781
394507,463
394192,415
8075,239
16276,183
204915,156
23352,133
62567,119
19551,106
215859,90
46606,81
39572,76
26496,71
22612,50
211612,43
14441,41
16592,37
31936,36
8560,35
264720,35
14754,35
10480,31
2635,30
26617,29
5545,26
63293,26
7979,26
53824,25
214455,24
30148,24
27903,24
14853,24
3457,22
204800,22
60781,21
262199,20
133795,20
37963,20
54641,20
14907,17
59692,17
40824,17
26666,16
16906,16
36420,16
26347,15
48254,15
263783,15
205193,14
213232,14
12178,13
401200,13
53667,13
61502,13
39020,12
63410,12
55293,11
267752,11
200325,11
27589,11
200019,11
38369,10
23470,10
57724,10
10753,10
139341,9
397849,9
13442,9
31577,9
42532,9
30340,8
12322,8
40021,8
23520,8
58521,8
46844,8
141995,8
400754,8
45090,8
6698,8
395458,8
214124,7
42612,7
44907,7
27729,7
17668,7
22720,7
18945,6
54994,6
33837,6
49981,6
30961,6
58061,6
328832,6
6496,6
206264,6
64437,6
215300,6
36080,6
53755,6
7203,6
24600,6
18881,6
27716,6
204450,6
26505,5
202425,5
25354,5
27708,5
17025,5
50482,5
37662,5
41722,5
62768,5
12956,5
328137,5
19653,5
28320,5
6762,5
56696,5
132337,5
15605,5
28398,5
19422,5
3844,5
1916,5
8195,5
6057,5
263945,5
265780,5
54290,5
5761,5
29169,5
61976,5
199524,5
200521,4
139144,4
29066,4
49714,4
13238,4
24482,4
27773,4
52468,4
27823,4
278,4
49287,4
137409,4
150078,4
56958,4
265811,4
197712,4
49635,4
19373,4
46475,4
62243,4
27223,4
42567,4
36352,4
33157,4
6185,4
14576,3
33676,3
63993,3
34119,3
36066,3
13767,3
36776,3
17079,3
30083,3
35280,3
152586,3
399566,3
63240,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
199968,3
40699,3
204601,3
15699,3
13601,3
205796,3
19648,3
30058,3
266686,3
23383,3
207970,3
25970,3
264637,3
6939,3
18747,3
27522,3
33182,3
7941,3
216154,3
23576,3
398256,3
14117,3
9094,3
60550,2
62068,2
1251,2
200449,2
3352,2
400275,2
393874,2
56898,2
269777,2
215845,2
29182,2
200320,2
201744,2
59253,2
267860,2
28103,2
30109,2
34222,2
22653,2
397423,2
207728,2
50980,2
24611,2
16371,2
264713,2
200960,2
60144,2
8739,2
47846,2
203976,2
206102,2
14824,2
211922,2
203178,2
53303,2
57542,2
9760,2
393299,2
32494,2
201106,2
49665,2
13030,2
1273,2
61049,2
61573,2
8231,2
48571,2
8529,2
64126,2
1000,2
131073,2
18377,2
262427,2
37251,2
327788,2
132602,2
9730,2
139057,2
23243,2
797,2
215740,2
4258,2
8069,2
24961,2
14466,2
33191,2
36459,2
23522,2
27263,2
263714,2
44128,2
36057,2
58182,2
24971,2
31586,2
32338,2
212792,2
45504,2
27651,2
10929,2
771,2
48040,2
199218,2
20033,2
13348,2
42240,2
9764,2
215402,1
273584,1
267739,1
200000,1
200195,1
213438,1
45420,1
200386,1
34309,1
61144,1
4149,1
21581,1
14000,1
22056,1
205544,1
18905,1
14555,1
39134,1
49127,1
12678,1
208488,1
393689,1
32866,1
39686,1
44477,1
26042,1
48324,1
41690,1
270155,1
17216,1
198792,1
394432,1
397273,1
35744,1
202492,1
15130,1
198934,1
265650,1
60362,1
198968,1
216014,1
17147,1
26752,1
30361,1
44998,1
12993,1
208561,1
58212,1
400513,1
138650,1
150436,1
151373,1
3790,1
18801,1
265652,1
43962,1
203417,1
22049,1
62838,1
25234,1
53930,1
398743,1
52438,1
22625,1
37936,1
51013,1
52489,1
263173,1
201706,1
9059,1
48729,1
42106,1
399629,1
4566,1
196752,1
142592,1
214390,1
52148,1
147168,1
25697,1
13324,1
34931,1
11041,1
53332,1
1835,1
207809,1
201936,1
19324,1
152880,1
198993,1
15138,1
9009,1
12824,1
13830,1
60200,1
36850,1
399358,1
42422,1
25607,1
28753,1
58065,1
28513,1
198032,1
28084,1
206980,1
3209,1
200784,1
262197,1
394303,1
3920,1
208769,1
48763,1
18779,1
210250,1
263695,1
46864,1
55593,1
63362,1
32780,1
202054,1
30277,1
6724,1
211864,1
12357,1
200107,1
31627,1
263761,1
56872,1
209674,1
262168,1
60009,1
210630,1
30455,1
22169,1
34699,1
13506,1
49352,1
9752,1
214308,1
55081,1
41976,1
398787,1
11014,1
53107,1
19969,1
30246,1
132111,1
27882,1
28250,1
198610,1
22221,1
267797,1
51852,1
52286,1
9123,1
27647,1
2514,1
42220,1
57352,1
61210,1
197540,1
3387,1
28544,1
205762,1
65115,1
16496,1
271803,1
27,1
23421,1
43641,1
200928,1
56341,1
60922,1
138341,1
395226,1
2665,1
63760,1
51433,1
24572,1
58689,1
197019,1
8361,1
52423,1
395409,1
56803,1
131965,1
197772,1
19169,1
18522,1
60527,1
34655,1
273216,1
266907,1
216071,1
207569,1
42730,1
32097,1
62856,1
3816,1
14745,1
200508,1
4694,1
28299,1
22194,1
28810,1
400175,1
15273,1
397497,1
400940,1
12064,1
40651,1
212096,1
26277,1
395412,1
212332,1
30880,1
22445,1
265730,1
200651,1
27264,1
4150,1
30600,1
41231,1
11807,1
11281,1
396356,1
51894,1
14340,1
60114,1
28526,1
200514,1
2497,1
61098,1
11432,1
8473,1
39825,1
198066,1
7684,1
