asn,nb_hostnames
395747,451
213120,302
21664,204
394192,121
394507,87
8075,32
39572,23
62567,20
16276,17
2635,17
31936,13
14853,12
19551,11
215859,11
26496,10
214455,10
204915,9
63293,9
7979,7
211612,7
53824,7
14907,6
133795,6
200325,6
8839,5
27781,4
33837,4
46606,4
60781,4
8560,4
54641,4
11139,3
5761,3
36057,3
20847,3
36420,3
40021,3
27734,3
27653,2
42585,2
55293,2
22625,2
62856,2
40244,2
44907,2
205461,2
36066,2
26666,2
63410,2
14441,2
33265,2
6185,2
41887,2
30148,2
58061,2
12178,2
401200,2
48703,2
216353,2
7859,2
213232,2
33664,2
20033,2
209349,1
11281,1
22653,1
139341,1
33392,1
36511,1
64437,1
36678,1
61168,1
41690,1
63362,1
5639,1
11816,1
60855,1
208353,1
50980,1
201085,1
15685,1
31586,1
7941,1
18945,1
12357,1
61098,1
12488,1
29222,1
202242,1
702,1
24586,1
51433,1
51888,1
398402,1
24611,1
48729,1
23470,1
139144,1
52301,1
55017,1
25117,1
33512,1
12640,1
12091,1
24482,1
13601,1
62119,1
59692,1
10929,1
14415,1
208128,1
200428,1
39292,1
5545,1
62082,1
27264,1
4150,1
30600,1
36459,1
45666,1
3728,1
45894,1
393874,1
34655,1
48669,1
40699,1
9009,1
206281,1
22720,1
37963,1
57633,1
26752,1
22612,1
12322,1
33157,1
202553,1
46475,1
51468,1
54994,1
