asn,nb_hostnames
395747,5168
21664,651
394192,414
213120,351
394507,277
16276,273
29256,256
39572,235
204915,198
215859,155
62567,87
8075,78
7979,63
5545,55
31936,50
214455,42
22612,40
32338,38
40824,37
141995,36
26496,34
60781,31
9121,30
27589,27
133795,25
63293,24
47846,24
49981,22
37963,21
14907,21
19551,20
211612,18
38369,18
14441,18
59692,18
204800,17
29066,16
139341,16
201768,16
57724,15
8560,14
8705,14
26666,14
36420,13
40699,13
58521,13
55293,13
30148,12
12178,12
14853,12
44907,11
58061,11
53824,11
54641,11
207208,10
64437,10
46844,10
6698,10
54994,9
3457,9
200325,9
56898,9
200019,9
12322,9
216014,9
214124,9
395458,9
17668,9
60144,8
215300,8
139144,8
49714,8
13238,8
6496,8
42567,8
61976,8
207970,7
207728,7
328832,7
62068,7
202425,7
33837,7
10753,7
24600,7
35425,7
199524,7
13442,6
2635,6
398256,6
202561,6
17025,6
50482,6
37662,6
41722,6
62768,6
12956,6
328137,6
19653,6
28320,6
6762,6
18881,6
56696,6
132337,6
15605,6
28398,6
19422,6
3844,6
1916,6
8195,6
6057,6
263945,6
46606,6
45090,6
48040,6
34400,6
204450,6
24961,5
3920,5
8517,5
198610,5
23470,5
200651,5
8708,5
211922,5
204601,5
200449,5
199729,5
15802,5
197540,4
14576,4
206264,4
6185,4
43641,4
48729,4
137409,4
53667,4
397273,4
8069,4
52148,4
50474,4
202024,4
45352,4
24482,4
139057,4
202492,4
50980,4
21245,4
210275,4
10480,4
62243,4
49287,4
7941,3
205585,3
34119,3
53850,3
399250,3
150078,3
50979,3
63240,3
52468,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
29169,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
36678,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
8739,3
51433,3
401200,3
57775,3
35753,3
151373,3
198913,3
33664,3
46475,3
49352,3
23352,3
9009,3
215845,3
212792,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
131073,3
18377,3
6939,3
262427,3
37251,3
327788,3
132602,3
9730,3
204206,3
400754,3
199218,3
7203,3
33157,3
395092,2
22169,2
139256,2
399358,2
32097,2
42848,2
34619,2
3311,2
15699,2
27223,2
201012,2
205435,2
201744,2
9123,2
63760,2
51664,2
36352,2
44932,2
42532,2
44477,2
6724,2
42910,2
209003,2
21840,2
3387,2
5761,2
197720,2
213797,2
44880,2
59467,2
35080,2
34222,2
203639,2
40021,2
215206,2
24971,2
58294,2
150436,2
204544,2
59796,2
205275,2
26347,2
8960,2
47524,2
48434,2
56341,2
57352,2
210544,2
11807,2
57152,2
51894,2
23576,2
54643,2
33387,2
61102,2
205762,2
65115,2
10954,2
17561,2
49474,2
42240,2
20756,2
394303,1
48669,1
205254,1
44386,1
33182,1
213205,1
34655,1
53332,1
51852,1
27473,1
400797,1
58212,1
214390,1
211871,1
34388,1
216071,1
196645,1
13820,1
2571,1
50517,1
6879,1
201713,1
15967,1
211904,1
10508,1
56038,1
198792,1
30475,1
204050,1
34275,1
14824,1
63362,1
34788,1
200000,1
207809,1
199973,1
5467,1
202656,1
7859,1
14472,1
48254,1
4258,1
203417,1
215322,1
2057,1
9000,1
10122,1
40680,1
14361,1
202816,1
29091,1
47952,1
34342,1
59442,1
213995,1
24611,1
196763,1
51468,1
61144,1
137718,1
4835,1
35258,1
213535,1
204039,1
203576,1
203147,1
18905,1
39686,1
207304,1
51970,1
135391,1
26277,1
14956,1
216154,1
17363,1
40034,1
205335,1
152622,1
60922,1
202368,1
266444,1
6848,1
31674,1
208710,1
55045,1
142592,1
12488,1
18424,1
24168,1
29684,1
48287,1
8203,1
57513,1
208520,1
34996,1
59939,1
62563,1
50090,1
205578,1
7684,1
198983,1
401605,1
29222,1
197942,1
42003,1
204846,1
2665,1
35280,1
35744,1
62744,1
208488,1
393347,1
393689,1
30968,1
52012,1
199867,1
14315,1
3320,1
138341,1
61306,1
16371,1
205111,1
201512,1
35179,1
397849,1
198032,1
23421,1
42216,1
41690,1
41441,1
30818,1
12833,1
30058,1
12678,1
202620,1
25234,1
43955,1
58112,1
13830,1
20847,1
57687,1
215402,1
9021,1
29686,1
44901,1
44160,1
212531,1
148000,1
393874,1
42868,1
50041,1
20546,1
400513,1
11281,1
208096,1
19973,1
211942,1
201706,1
207569,1
140290,1
18229,1
213212,1
14555,1
36459,1
200487,1
12735,1
209349,1
15796,1
30340,1
39020,1
11178,1
200514,1
216047,1
210579,1
211187,1
44803,1
3208,1
7678,1
36850,1
215740,1
52130,1
38955,1
29302,1
34432,1
200851,1
786,1
15897,1
63905,1
19905,1
47577,1
48760,1
32780,1
31727,1
42745,1
12129,1
10578,1
212301,1
216139,1
201233,1
56872,1
200195,1
213438,1
209853,1
14415,1
205193,1
13886,1
57088,1
213232,1
214744,1
60527,1
201079,1
6738,1
211381,1
63210,1
135752,1
12929,1
55569,1
22720,1
60232,1
200928,1
13627,1
18310,1
133719,1
212216,1
13601,1
28977,1
31440,1
24586,1
13041,1
57344,1
30873,1
26832,1
2119,1
210756,1
48295,1
328200,1
25516,1
33191,1
8456,1
52030,1
214677,1
198993,1
28836,1
203378,1
399566,1
49127,1
7715,1
216395,1
