asn,nb_hostnames
395747,2128
21664,644
213120,412
394507,314
394192,249
8075,115
204915,91
215859,89
62567,80
37153,78
39572,60
37611,51
214455,40
35540,39
31936,32
2635,32
7979,29
22612,25
63293,24
133795,22
329184,22
19551,19
2018,19
328037,15
60781,14
26496,14
141995,13
327762,13
12258,13
14853,13
32398,11
12178,11
329223,10
327979,9
36943,9
47846,9
40824,9
37963,8
26666,8
58294,8
60068,8
14441,7
14907,7
46606,7
30148,7
53755,7
199524,7
38369,6
36982,6
10753,6
27589,6
58061,6
328690,6
214124,5
200325,5
200019,5
5761,5
40021,5
50989,5
13442,5
15317,5
49025,5
24600,5
36420,4
328064,4
52130,4
401200,4
37130,4
6185,4
55293,4
53824,4
198993,4
44907,4
6496,4
139144,4
46475,4
37311,4
202425,4
46864,4
8560,4
12322,4
8195,4
9129,4
17668,4
202492,3
4258,3
200449,3
10480,3
60144,3
139341,3
328832,3
31586,3
328513,3
8094,3
7941,3
398256,3
3457,3
37028,3
55470,3
150078,3
28753,3
37510,3
37394,3
213232,3
327765,3
328137,3
37251,3
56696,3
60897,2
9009,2
399250,2
36066,2
57344,2
36459,2
328882,2
15699,2
14340,2
48038,2
50980,2
58521,2
47002,2
36874,2
55688,2
37501,2
43641,2
393299,2
32494,2
3844,2
201106,2
14117,2
49665,2
13030,2
28398,2
1273,2
61049,2
61573,2
18881,2
12956,2
8231,2
48571,2
263945,2
8529,2
64126,2
6057,2
62768,2
17025,2
395458,2
132337,2
19653,2
1000,2
6762,2
131073,2
41722,2
28320,2
18377,2
37662,2
6427,2
262427,2
15605,2
19422,2
329356,2
1916,2
132602,2
50482,2
9730,2
3387,2
131660,2
56898,2
20264,2
133096,2
54994,2
200000,2
3920,2
397849,2
14988,2
53667,2
35425,2
328170,2
32338,2
9986,2
14315,2
44534,2
49714,2
328531,2
10798,2
59692,2
328174,2
33387,2
22720,2
6698,2
395532,1
397423,1
37515,1
62248,1
32632,1
147168,1
393874,1
202368,1
142592,1
54290,1
132420,1
11773,1
212872,1
35589,1
148000,1
9916,1
63410,1
7859,1
37680,1
33182,1
27647,1
48729,1
34655,1
4738,1
23522,1
214390,1
51468,1
53332,1
23889,1
15318,1
207970,1
37532,1
329042,1
8473,1
211859,1
33191,1
61976,1
131223,1
60114,1
132856,1
208561,1
140163,1
17363,1
329305,1
32097,1
23367,1
400797,1
208488,1
45090,1
44160,1
62082,1
44477,1
23470,1
214677,1
8069,1
34309,1
36776,1
198032,1
54641,1
36850,1
63362,1
56958,1
24482,1
3768,1
206264,1
20616,1
61969,1
34779,1
134691,1
140688,1
36352,1
61144,1
24971,1
51433,1
45894,1
62243,1
4872,1
18945,1
36692,1
203639,1
204548,1
23352,1
202656,1
205072,1
133050,1
397273,1
214685,1
13830,1
24961,1
18229,1
14466,1
328633,1
23576,1
205585,1
24611,1
34119,1
63760,1
34931,1
26277,1
48254,1
197540,1
20294,1
19853,1
40539,1
210250,1
37342,1
34888,1
11807,1
37179,1
400513,1
44009,1
7040,1
37604,1
48669,1
328241,1
786,1
37520,1
16839,1
52148,1
131429,1
2665,1
9752,1
59253,1
12640,1
58153,1
51852,1
136165,1
393689,1
37172,1
51905,1
38185,1
49287,1
60230,1
399358,1
53850,1
328169,1
58487,1
204800,1
32298,1
39134,1
396257,1
22653,1
395092,1
41690,1
33873,1
398743,1
200514,1
141518,1
329523,1
394695,1
11845,1
64437,1
15149,1
137409,1
40651,1
329301,1
11281,1
34222,1
12678,1
18522,1
329206,1
200195,1
213438,1
37100,1
215300,1
6724,1
328101,1
