asn,nb_hostnames
395747,311
213120,228
21664,145
394192,89
394507,81
8075,30
39572,22
62567,17
2635,14
31936,13
14853,13
63293,11
214455,10
215859,10
7979,7
35540,6
19551,5
26496,5
8560,4
30148,4
8739,4
14907,4
133795,4
401200,4
55293,3
5761,3
200325,3
60781,3
6185,3
12178,3
264645,3
60068,3
46475,2
36420,2
702,2
46606,2
44907,2
34655,2
14441,2
21345,1
18747,1
14415,1
397273,1
30689,1
20264,1
139341,1
48669,1
61098,1
41690,1
40021,1
22933,1
22653,1
48763,1
26347,1
204915,1
53824,1
3387,1
24611,1
13601,1
50980,1
27264,1
4150,1
30600,1
200019,1
57344,1
398402,1
33664,1
22612,1
36459,1
9009,1
7941,1
199524,1
4258,1
22414,1
8987,1
58061,1
8001,1
12640,1
205373,1
208561,1
11281,1
26666,1
393874,1
64437,1
200195,1
213438,1
6698,1
26752,1
54641,1
15685,1
