asn,nb_hostnames
395747,2472
394507,715
21664,572
213120,415
16276,241
394192,190
204915,113
62567,105
39572,95
8075,85
215859,79
36420,64
31936,45
12322,41
214455,38
7979,37
47846,36
5545,31
210403,31
19551,30
63293,26
50474,25
60781,25
200356,24
4200000021,24
38369,20
22612,19
44976,18
8560,18
26496,18
53589,17
2057,17
24600,17
14907,16
14853,16
49981,15
133795,14
37963,13
29222,13
395458,12
204450,12
32338,11
6496,11
12178,11
40824,11
29169,11
54641,10
52148,10
139341,10
10753,9
3457,9
26666,9
58061,8
49287,8
8839,8
30148,8
29066,8
46606,8
2635,8
137409,7
36678,7
14537,7
328832,7
62068,7
44907,7
55293,7
54994,7
207208,6
141995,6
17025,6
50482,6
63240,6
52468,6
45352,6
136373,6
6327,6
37662,6
41722,6
52320,6
62768,6
12956,6
17984,6
8919,6
396390,6
328137,6
61568,6
52167,6
45517,6
20764,6
2027,6
19653,6
13786,6
51530,6
196753,6
24482,6
28320,6
64475,6
6762,6
207841,6
270014,6
136620,6
18881,6
5381,6
23520,6
56696,6
48641,6
35360,6
8708,6
7589,6
17668,6
132337,6
15958,6
2614,6
14016,6
15605,6
28398,6
35600,6
19422,6
38726,6
1031,6
3844,6
29049,6
35598,6
1916,6
264409,6
52025,6
50628,6
8195,6
205920,6
6057,6
263945,6
15802,6
200107,6
25117,6
27589,6
14441,6
10480,6
8228,6
200019,5
58521,5
211612,5
202492,5
9009,5
34993,5
56898,5
3920,4
34863,4
42848,4
139144,4
39072,4
328594,4
205435,4
65002,4
210770,4
6185,4
2665,4
214124,4
5761,4
23352,4
57633,4
199524,4
204800,4
24898,3
36666,3
139057,3
2611,3
49714,3
13238,3
200325,3
376,3
7941,3
198993,3
29608,3
46864,3
49610,3
35280,3
36786,3
60230,3
44009,3
50980,3
198610,3
8304,3
150078,3
39241,3
60362,3
53824,3
216014,3
31586,3
48744,3
201896,3
199729,3
13442,3
33157,3
209349,3
51888,2
46475,2
14472,2
15706,2
56341,2
37010,2
216154,2
30961,2
57724,2
15964,2
26347,2
62243,2
45666,2
4258,2
13193,2
37474,2
36057,2
48813,2
8622,2
64437,2
39239,2
45090,2
49677,2
3387,2
15817,2
51970,2
37385,2
8517,2
28753,2
50446,2
41653,2
151373,2
39444,2
44160,2
328252,2
35425,2
14315,2
61098,2
696,2
6713,2
42567,2
20756,2
213232,2
53303,1
30992,1
214390,1
26277,1
210032,1
11281,1
57344,1
212815,1
35744,1
8921,1
5467,1
14824,1
20847,1
12488,1
21449,1
210275,1
42422,1
197540,1
36912,1
20994,1
329523,1
9752,1
36459,1
57687,1
62856,1
15479,1
200449,1
14466,1
48669,1
202053,1
46440,1
29264,1
51433,1
24961,1
205585,1
53332,1
41410,1
397849,1
34655,1
15318,1
199193,1
13273,1
201768,1
44932,1
51905,1
205215,1
208276,1
203976,1
48254,1
31264,1
22953,1
208353,1
55569,1
198792,1
215300,1
41690,1
199167,1
50517,1
51894,1
55470,1
2602,1
9688,1
57775,1
63068,1
19983,1
208675,1
35344,1
131138,1
22720,1
15489,1
140290,1
39015,1
327802,1
61144,1
6879,1
208096,1
60550,1
140688,1
12678,1
7203,1
40651,1
59939,1
36850,1
51430,1
14555,1
27522,1
6738,1
42400,1
8288,1
47195,1
786,1
24691,1
206672,1
399358,1
50979,1
49352,1
48040,1
8262,1
3208,1
18229,1
29091,1
37649,1
29302,1
400275,1
8346,1
55960,1
15456,1
34235,1
212490,1
204601,1
55081,1
10578,1
202368,1
31043,1
206264,1
400797,1
150436,1
6656,1
30983,1
51269,1
207970,1
8070,1
8705,1
211316,1
203639,1
14576,1
52030,1
215322,1
10098,1
398256,1
200532,1
39134,1
3296,1
31689,1
205762,1
18905,1
393689,1
22653,1
680,1
29110,1
208789,1
205461,1
208488,1
19973,1
56798,1
28683,1
65001,1
328853,1
60855,1
21217,1
34222,1
327712,1
39506,1
43311,1
43142,1
204846,1
34119,1
202321,1
213394,1
15826,1
142592,1
40539,1
11807,1
201085,1
208520,1
28810,1
36998,1
40021,1
24611,1
63410,1
36066,1
14489,1
208128,1
31727,1
60144,1
13571,1
202917,1
12640,1
6698,1
15966,1
393874,1
4808,1
398017,1
204544,1
196763,1
44477,1
8069,1
32903,1
34788,1
24757,1
20580,1
13601,1
59692,1
21409,1
