asn,nb_hostnames
395747,3788
21664,1206
213120,753
35540,463
394192,425
394507,424
204915,161
8075,153
62567,140
210403,119
50474,108
215859,95
39572,83
12322,67
24691,47
37963,47
31936,43
2057,43
19551,42
8560,36
214455,35
29222,34
7979,34
47846,32
141995,31
22612,30
53589,30
2635,29
38369,29
30982,26
36420,25
14853,25
202492,23
63293,23
26496,22
24600,21
14907,20
133795,18
15317,18
48254,17
40824,17
14441,16
49287,16
28683,16
8839,15
60781,14
60068,14
30148,13
46606,13
54994,12
26666,12
65001,12
3457,12
139341,12
59692,11
6496,11
204800,11
29169,11
36924,10
57633,10
55293,10
12178,10
25117,10
54641,10
34993,10
8228,9
14555,9
45090,9
207758,8
2611,8
58061,8
44907,8
60362,8
34240,8
58521,8
33157,8
51433,7
62068,7
205585,7
397273,7
200019,7
53824,7
13442,7
54801,7
210770,7
6185,7
151373,6
5761,6
49981,6
36666,6
10480,6
200325,6
40021,6
207208,6
199524,6
8304,5
2665,5
53667,5
200107,5
48809,5
26347,5
139144,5
48040,5
401200,5
200449,5
202053,5
60855,5
50989,5
199218,5
6698,5
22720,5
39072,4
6656,4
44534,4
49714,4
3920,4
35280,4
139057,4
29066,4
60248,4
202425,4
41653,4
60144,4
28753,4
1916,4
61098,4
48744,4
202368,4
10753,4
44009,4
150078,4
9009,4
328832,4
51468,4
27589,4
201896,4
209349,4
31586,3
12640,3
8069,3
56898,3
696,3
34863,3
203461,3
34788,3
50980,3
39241,3
37153,3
133618,3
214124,3
36786,3
212216,3
45666,3
199729,3
328252,3
15699,3
62243,3
47836,3
48729,3
43311,3
24757,3
51888,3
4258,3
16326,3
52148,3
50446,3
7941,3
397849,3
200356,3
56341,3
199777,3
59796,3
140688,3
35425,3
199867,3
216014,3
61976,3
376,3
34119,3
15817,3
201936,3
55960,3
204601,3
51894,3
7203,3
17025,3
395458,3
17668,3
213232,3
64437,2
209003,2
33191,2
60550,2
55688,2
6713,2
30983,2
42848,2
20546,2
216353,2
39444,2
138341,2
14466,2
30961,2
680,2
37010,2
207970,2
20264,2
9123,2
204544,2
12678,2
24611,2
49352,2
19983,2
39104,2
3387,2
212815,2
399358,2
8739,2
10954,2
44880,2
397423,2
205762,2
14489,2
34619,2
26277,2
11878,2
213394,2
17561,2
63410,2
4200000021,2
202242,2
208128,2
203639,2
45420,2
216154,2
23576,2
36459,2
21409,2
214744,2
6427,2
34369,2
35744,2
398256,2
32338,2
23352,2
327712,2
46475,2
215740,2
57809,2
6724,2
202321,2
50482,2
37662,2
41722,2
62768,2
12956,2
328137,2
137409,2
19653,2
24482,2
28320,2
6762,2
18881,2
56696,2
132337,2
15605,2
28398,2
19422,2
3844,2
8195,2
6057,2
263945,2
43142,2
15456,2
2675,2
198913,2
6738,2
14415,2
205435,2
213737,2
34655,2
12565,2
58182,2
48813,2
201706,2
43948,2
204050,2
11807,2
8346,2
51970,2
212490,2
14315,2
33956,2
8399,2
36352,2
42240,2
47422,2
14472,2
38365,2
28838,1
39029,1
29182,1
17363,1
37693,1
15826,1
38631,1
48684,1
10098,1
49835,1
7065,1
41690,1
42422,1
16839,1
30058,1
37648,1
25094,1
8920,1
46844,1
48669,1
44932,1
55470,1
37424,1
12993,1
35258,1
55272,1
393874,1
41191,1
212531,1
40539,1
201085,1
37611,1
36884,1
23522,1
20900,1
198792,1
50583,1
210544,1
29571,1
39896,1
25697,1
13193,1
3768,1
200195,1
213438,1
216194,1
18779,1
394230,1
29091,1
196763,1
152880,1
8262,1
61065,1
200651,1
60922,1
9752,1
55569,1
205312,1
53332,1
34304,1
42745,1
37037,1
36066,1
239,1
59689,1
42845,1
214390,1
58487,1
2780,1
24961,1
199758,1
196645,1
44244,1
215540,1
39506,1
50979,1
20994,1
13041,1
150436,1
400275,1
53755,1
42868,1
62744,1
65002,1
15964,1
44901,1
11281,1
14824,1
7859,1
40651,1
31617,1
50517,1
210032,1
55017,1
15703,1
44477,1
43424,1
59253,1
37229,1
198610,1
7489,1
33930,1
1835,1
786,1
204251,1
394277,1
49676,1
200000,1
2602,1
58010,1
22953,1
41410,1
10578,1
15480,1
30361,1
3296,1
51269,1
203178,1
48594,1
398017,1
13037,1
133409,1
13571,1
43211,1
8705,1
63993,1
204039,1
19648,1
63240,1
52468,1
45352,1
136373,1
6327,1
52320,1
17984,1
9015,1
19782,1
61568,1
200039,1
132045,1
20764,1
2027,1
13786,1
51530,1
196753,1
64475,1
207841,1
270014,1
44684,1
35589,1
23520,1
48641,1
35360,1
8708,1
7589,1
15958,1
2614,1
14016,1
35600,1
38726,1
1031,1
29049,1
4134,1
35598,1
264409,1
52025,1
50628,1
14537,1
205920,1
15802,1
27500,1
208276,1
23011,1
48613,1
200532,1
37054,1
57344,1
59524,1
53850,1
198993,1
36995,1
57168,1
58294,1
18905,1
13101,1
44386,1
51852,1
56798,1
208488,1
61136,1
61168,1
31124,1
135575,1
21840,1
206264,1
20989,1
16128,1
40699,1
37577,1
57352,1
20580,1
34432,1
22653,1
24971,1
29614,1
30988,1
37350,1
211505,1
2514,1
395092,1
63362,1
37582,1
51430,1
47300,1
9159,1
208353,1
30475,1
5467,1
61306,1
138152,1
61251,1
393845,1
50624,1
208161,1
37649,1
8921,1
34235,1
8987,1
13830,1
41231,1
394497,1
63199,1
36891,1
61144,1
29992,1
208789,1
29110,1
208813,1
399566,1
197562,1
25543,1
31178,1
48703,1
15967,1
42567,1
59467,1
206672,1
44160,1
60087,1
21449,1
48426,1
203976,1
30109,1
15318,1
205544,1
199636,1
400797,1
28810,1
203417,1
202521,1
36818,1
35344,1
133719,1
197696,1
199167,1
205461,1
328066,1
23393,1
9208,1
208561,1
61323,1
32903,1
42400,1
328147,1
42800,1
211392,1
142592,1
57687,1
62082,1
328797,1
18229,1
29264,1
63760,1
28704,1
329523,1
47160,1
60592,1
399250,1
37074,1
34222,1
51038,1
211490,1
39134,1
212772,1
140290,1
15966,1
215300,1
8517,1
37385,1
36850,1
16652,1
393689,1
36114,1
14956,1
15138,1
209995,1
60527,1
204846,1
329278,1
42656,1
393299,1
32494,1
201106,1
14117,1
49665,1
13030,1
1273,1
61049,1
61573,1
8231,1
48571,1
8529,1
64126,1
1000,1
131073,1
18377,1
262427,1
37251,1
329356,1
132602,1
9730,1
400130,1
59441,1
64999,1
32632,1
15489,1
47543,1
