asn,nb_hostnames
395747,6392
21664,762
213120,469
394507,187
149640,148
394192,125
8075,122
62567,116
19551,110
139591,85
7715,74
39572,65
37963,55
16276,54
139341,49
136995,37
7616,35
132866,33
38296,32
54994,27
23884,27
58955,26
204915,25
211612,25
5545,24
55808,23
135566,23
139144,23
134402,21
32338,20
153730,20
63293,18
31936,17
215859,16
214455,16
38369,15
56067,14
7979,14
14907,14
23969,14
45328,13
60781,12
134166,12
56309,12
131447,12
200325,11
30148,10
3457,10
24572,10
131392,10
38631,10
138341,10
6496,10
14853,10
23816,9
45753,9
133795,9
45090,9
395458,9
17668,9
26496,8
9546,7
136393,7
63989,7
45533,7
59692,7
137409,7
4762,6
18386,6
13442,6
53667,6
55545,6
136523,6
17025,6
50482,6
37662,6
41722,6
10753,6
62768,6
12956,6
328137,6
19653,6
24600,6
28320,6
6762,6
18881,6
56696,6
132337,6
15605,6
28398,6
19422,6
3844,6
1916,6
8195,6
328832,6
6057,6
263945,6
141995,6
204450,6
9649,5
135381,5
135290,5
45752,5
36420,5
33837,5
47846,5
2635,5
62243,5
58061,5
35280,5
138160,5
40824,5
59253,4
131472,4
213232,4
134481,4
26277,4
151373,4
131073,4
6698,4
63972,4
134240,4
64437,4
135623,4
153182,4
133210,4
135360,4
23974,4
24060,4
24482,4
6939,4
58521,4
49287,4
36678,4
9475,4
208770,3
38328,3
58692,3
150686,3
63199,3
140699,3
9464,3
135616,3
18256,3
6185,3
147176,3
132032,3
206264,3
23576,3
215300,3
14441,3
63240,3
52468,3
45352,3
136373,3
6327,3
52320,3
17984,3
8919,3
396390,3
61568,3
29169,3
52167,3
45517,3
20764,3
2027,3
13786,3
51530,3
196753,3
64475,3
207841,3
270014,3
136620,3
5381,3
23520,3
48641,3
35360,3
8708,3
7589,3
15958,3
2614,3
14016,3
35600,3
38726,3
1031,3
29049,3
35598,3
264409,3
52025,3
50628,3
14537,3
205920,3
15802,3
393299,3
32494,3
201106,3
14117,3
49665,3
13030,3
1273,3
61049,3
61573,3
8231,3
48571,3
8529,3
64126,3
1000,3
18377,3
262427,3
37251,3
327788,3
132602,3
9730,3
55720,3
27589,3
202492,3
49714,3
13238,3
204601,3
44907,3
134073,3
17478,3
40850,3
63139,3
131138,3
26666,3
9764,3
398256,3
9486,2
45806,2
136023,2
136147,2
150436,2
4694,2
55514,2
133193,2
133947,2
9411,2
138156,2
18310,2
205762,2
149656,2
134137,2
142299,2
37936,2
207970,2
202425,2
28753,2
5761,2
131460,2
132163,2
49981,2
18018,2
57724,2
7630,2
7941,2
132842,2
22612,2
23820,2
200019,2
55476,2
199524,2
394432,2
4835,2
17841,1
55451,1
34309,1
23522,1
200449,1
3758,1
141685,1
135012,1
45420,1
136191,1
38019,1
135054,1
58563,1
396986,1
4837,1
139889,1
18403,1
7671,1
3839,1
27647,1
45894,1
147027,1
132013,1
132133,1
214390,1
38886,1
203976,1
200195,1
213438,1
44386,1
55293,1
63760,1
400797,1
7859,1
215402,1
42532,1
65115,1
24961,1
393689,1
133760,1
7203,1
397273,1
137058,1
152915,1
57088,1
8560,1
131965,1
55488,1
135918,1
14340,1
400754,1
137394,1
521,1
139057,1
3320,1
152461,1
26042,1
56898,1
133328,1
45985,1
33191,1
24455,1
15201,1
15685,1
29091,1
151825,1
36080,1
206170,1
135967,1
46440,1
55635,1
208128,1
30818,1
212792,1
45197,1
34222,1
59524,1
133861,1
140688,1
131106,1
38566,1
36459,1
63362,1
29066,1
208058,1
41690,1
18197,1
24971,1
9986,1
200651,1
401200,1
24237,1
29182,1
205193,1
134774,1
393874,1
61210,1
54288,1
131659,1
11281,1
62068,1
18362,1
24611,1
2514,1
23470,1
14576,1
204800,1
397849,1
12678,1
40034,1
9009,1
55938,1
46606,1
134963,1
9707,1
216047,1
40728,1
131257,1
399358,1
48040,1
51852,1
38623,1
42567,1
64050,1
